version,1.7.0
info,balls_per_over,6
info,team,Namibia
info,team,Tanzania
info,gender,female
info,season,2023/24
info,date,2024/03/10
info,event,Women's African Games
info,match_number,9
info,venue,"Achimota Senior Secondary School A Field, Accra"
info,city,Accra
info,toss_winner,Namibia
info,toss_decision,bat
info,player_of_match,S Mtae
info,umpire,S Dambanevana
info,umpire,S Lackay
info,reserve_umpire,Patric Makumbi
info,match_referee,ET Dube
info,winner,Tanzania
info,winner_wickets,1
info,player,Namibia,Yasmeen Khan
info,player,Namibia,KA Green
info,player,Namibia,M Gorases
info,player,Namibia,W Mwatile
info,player,Namibia,E Van Zyl
info,player,Namibia,JA Diergaardt
info,player,Namibia,B Manuel
info,player,Namibia,D Foerster
info,player,Namibia,M Mwatile
info,player,Namibia,V Hamunyela
info,player,Namibia,S Tuhadeleni
info,player,Tanzania,S Mtae
info,player,Tanzania,PZ Kamunya
info,player,Tanzania,NJ Pius
info,player,Tanzania,HM Omary
info,player,Tanzania,AS Qwele
info,player,Tanzania,A Mohamed
info,player,Tanzania,TS Omary
info,player,Tanzania,MA Swedy
info,player,Tanzania,SF Jerome
info,player,Tanzania,MH Ushanga
info,player,Tanzania,SD Hussein
info,registry,people,A Mohamed,86a68879
info,registry,people,AS Qwele,26b3df21
info,registry,people,B Manuel,06cbeba1
info,registry,people,D Foerster,5596d5bf
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,ET Dube,4c0891bc
info,registry,people,HM Omary,2cbe5db1
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,KA Green,fa9fdefa
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mwatile,92b9e9af
info,registry,people,MA Swedy,202ce08c
info,registry,people,MH Ushanga,0286eabe
info,registry,people,NJ Pius,f4270fc7
info,registry,people,PZ Kamunya,6e60bbe2
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Lackay,d3a9aadd
info,registry,people,S Mtae,bb641155
info,registry,people,S Tuhadeleni,13f7c5f4
info,registry,people,SD Hussein,5f36cd39
info,registry,people,SF Jerome,e393c6c1
info,registry,people,TS Omary,88e90658
info,registry,people,V Hamunyela,d758a366
info,registry,people,W Mwatile,5728635a
info,registry,people,Yasmeen Khan,ade5c0c0
ball,1,0.1,Namibia,Yasmeen Khan,KA Green,PZ Kamunya,0,0,,,,,,"",""
ball,1,0.2,Namibia,Yasmeen Khan,KA Green,PZ Kamunya,0,0,,,,,,"",""
ball,1,0.3,Namibia,Yasmeen Khan,KA Green,PZ Kamunya,0,0,,,,,,"",""
ball,1,0.4,Namibia,Yasmeen Khan,KA Green,PZ Kamunya,0,0,,,,,,"",""
ball,1,0.5,Namibia,Yasmeen Khan,KA Green,PZ Kamunya,1,0,,,,,,"",""
ball,1,0.6,Namibia,KA Green,Yasmeen Khan,PZ Kamunya,0,0,,,,,,"",""
ball,1,1.1,Namibia,Yasmeen Khan,KA Green,AS Qwele,0,0,,,,,,"",""
ball,1,1.2,Namibia,Yasmeen Khan,KA Green,AS Qwele,0,1,1,,,,,"",""
ball,1,1.3,Namibia,Yasmeen Khan,KA Green,AS Qwele,0,0,,,,,,"",""
ball,1,1.4,Namibia,Yasmeen Khan,KA Green,AS Qwele,6,0,,,,,,"",""
ball,1,1.5,Namibia,Yasmeen Khan,KA Green,AS Qwele,0,0,,,,,,"",""
ball,1,1.6,Namibia,Yasmeen Khan,KA Green,AS Qwele,4,0,,,,,,"",""
ball,1,1.7,Namibia,Yasmeen Khan,KA Green,AS Qwele,0,0,,,,,,"",""
ball,1,2.1,Namibia,KA Green,Yasmeen Khan,PZ Kamunya,0,0,,,,,,"",""
ball,1,2.2,Namibia,KA Green,Yasmeen Khan,PZ Kamunya,0,0,,,,,,"",""
ball,1,2.3,Namibia,KA Green,Yasmeen Khan,PZ Kamunya,0,0,,,,,,"",""
ball,1,2.4,Namibia,KA Green,Yasmeen Khan,PZ Kamunya,0,0,,,,,,"",""
ball,1,2.5,Namibia,KA Green,Yasmeen Khan,PZ Kamunya,1,0,,,,,,"",""
ball,1,2.6,Namibia,Yasmeen Khan,KA Green,PZ Kamunya,0,0,,,,,,"",""
ball,1,3.1,Namibia,KA Green,Yasmeen Khan,AS Qwele,2,0,,,,,,"",""
ball,1,3.2,Namibia,KA Green,Yasmeen Khan,AS Qwele,0,1,1,,,,,"",""
ball,1,3.3,Namibia,KA Green,Yasmeen Khan,AS Qwele,0,0,,,,,,"",""
