version,1.7.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Ireland
info,gender,male
info,season,2023/24
info,date,2023/12/09
info,event,Ireland tour of Zimbabwe
info,match_number,2
info,venue,Harare Sports Club
info,city,Harare
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,HT Tector
info,umpire,I Chabi
info,umpire,L Rusere
info,reserve_umpire,C Phiri
info,tv_umpire,F Mutizwa
info,match_referee,AJ Pycroft
info,winner,Ireland
info,winner_wickets,4
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,TS Kamunhukamwe
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,BJ Bennett
info,player,Zimbabwe,C Madande
info,player,Zimbabwe,LM Jongwe
info,player,Zimbabwe,T Gwandu
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,B Muzarabani
info,player,Ireland,A Balbirnie
info,player,Ireland,PR Stirling
info,player,Ireland,L Tucker
info,player,Ireland,HT Tector
info,player,Ireland,C Campher
info,player,Ireland,GH Dockrell
info,player,Ireland,MR Adair
info,player,Ireland,GJ Delany
info,player,Ireland,TF van Woerkom
info,player,Ireland,CA Young
info,player,Ireland,J Little
info,registry,people,A Balbirnie,6ef13460
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,BJ Bennett,eaa36b2a
info,registry,people,C Campher,478a63e7
info,registry,people,C Madande,3560a786
info,registry,people,C Phiri,ade73404
info,registry,people,CA Young,bd0a4a7d
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GJ Delany,33b3d2df
info,registry,people,HT Tector,59ea70a4
info,registry,people,I Chabi,5e39110e
info,registry,people,J Little,9061a703
info,registry,people,L Rusere,6a4734ae
info,registry,people,L Tucker,3979b5e0
info,registry,people,LM Jongwe,b8704508
info,registry,people,MR Adair,fc55ec67
info,registry,people,PR Stirling,cf494ffe
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,SC Williams,afe57f7a
info,registry,people,T Gwandu,d1d83db3
info,registry,people,T Marumani,3d5d51a5
info,registry,people,TF van Woerkom,70f2f922
info,registry,people,TS Kamunhukamwe,4e1b4323
info,registry,people,W Madhevere,a879b92c
ball,1,0.1,Zimbabwe,W Madhevere,T Marumani,MR Adair,1,0,,,,,,"",""
ball,1,0.2,Zimbabwe,T Marumani,W Madhevere,MR Adair,0,0,,,,,,lbw,T Marumani
ball,1,0.3,Zimbabwe,TS Kamunhukamwe,W Madhevere,MR Adair,0,1,1,,,,,"",""
ball,1,0.4,Zimbabwe,TS Kamunhukamwe,W Madhevere,MR Adair,0,2,,,,2,,"",""
ball,1,0.5,Zimbabwe,TS Kamunhukamwe,W Madhevere,MR Adair,0,0,,,,,,"",""
ball,1,0.6,Zimbabwe,TS Kamunhukamwe,W Madhevere,MR Adair,0,0,,,,,,"",""
ball,1,0.7,Zimbabwe,TS Kamunhukamwe,W Madhevere,MR Adair,0,0,,,,,,"",""
ball,1,1.1,Zimbabwe,W Madhevere,TS Kamunhukamwe,J Little,0,0,,,,,,"",""
ball,1,1.2,Zimbabwe,W Madhevere,TS Kamunhukamwe,J Little,0,2,,,,2,,"",""
ball,1,1.3,Zimbabwe,W Madhevere,TS Kamunhukamwe,J Little,0,0,,,,,,"",""
ball,1,1.4,Zimbabwe,W Madhevere,TS Kamunhukamwe,J Little,0,0,,,,,,"",""
ball,1,1.5,Zimbabwe,W Madhevere,TS Kamunhukamwe,J Little,1,0,,,,,,"",""
ball,1,1.6,Zimbabwe,TS Kamunhukamwe,W Madhevere,J Little,0,1,1,,,,,"",""
ball,1,1.7,Zimbabwe,TS Kamunhukamwe,W Madhevere,J Little,2,0,,,,,,"",""
ball,1,2.1,Zimbabwe,W Madhevere,TS Kamunhukamwe,MR Adair,2,0,,,,,,"",""
ball,1,2.2,Zimbabwe,W Madhevere,TS Kamunhukamwe,MR Adair,4,0,,,,,,"",""
ball,1,2.3,Zimbabwe,W Madhevere,TS Kamunhukamwe,MR Adair,1,0,,,,,,"",""
ball,1,2.4,Zimbabwe,TS Kamunhukamwe,W Madhevere,MR Adair,0,0,,,,,,"",""
ball,1,2.5,Zimbabwe,TS Kamunhukamwe,W Madhevere,MR Adair,1,0,,,,,,"",""
ball,1,2.6,Zimbabwe,W Madhevere,TS Kamunhukamwe,MR Adair,0,0,,,,,,caught,W Madhevere
ball,1,3.1,Zimbabwe,TS Kamunhukamwe,SC Williams,J Little,0,0,,,,,,"",""
