version,1.7.0
info,balls_per_over,6
info,team,Cayman Islands
info,team,Argentina
info,gender,male
info,season,2024/25
info,date,2024/12/15
info,event,ICC Men's T20 World Cup Sub Regional Americas Qualifier
info,match_number,30
info,venue,"Hurlingham Club Ground, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Argentina
info,toss_decision,field
info,player_of_match,C Wright
info,umpire,Jermaine Lindo
info,umpire,R Shah
info,reserve_umpire,Vijaya Mallela
info,match_referee,Phil Whitticase
info,winner,Cayman Islands
info,winner_runs,22
info,player,Cayman Islands,J Baker
info,player,Cayman Islands,YSD Seneveratne
info,player,Cayman Islands,AR Naidoo
info,player,Cayman Islands,S Foster
info,player,Cayman Islands,RA Sealy
info,player,Cayman Islands,ROC Dunka
info,player,Cayman Islands,C Wright
info,player,Cayman Islands,T Taylor
info,player,Cayman Islands,AF Ifill
info,player,Cayman Islands,Ronald Ebanks
info,player,Cayman Islands,A Morris
info,player,Argentina,Lucas Rossi
info,player,Argentina,Guido Angeletti
info,player,Argentina,P Baron
info,player,Argentina,A Kirschbaum
info,player,Argentina,A Ferguson
info,player,Argentina,T Rossi
info,player,Argentina,AAP Rivero
info,player,Argentina,Manuel Iturbe
info,player,Argentina,H Fennell
info,player,Argentina,A Mustafa
info,player,Argentina,Santiago Iturbe
info,registry,people,A Ferguson,4a8d1b14
info,registry,people,A Kirschbaum,d953bf92
info,registry,people,A Morris,04cf2e94
info,registry,people,A Mustafa,a4571ba9
info,registry,people,AAP Rivero,1911dcbc
info,registry,people,AF Ifill,0e6c2f00
info,registry,people,AR Naidoo,68886c16
info,registry,people,C Wright,d465c6d7
info,registry,people,Guido Angeletti,6d6f52fc
info,registry,people,H Fennell,0d38ab25
info,registry,people,J Baker,a12672e0
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,Lucas Rossi,2064e555
info,registry,people,Manuel Iturbe,bddbf5ec
info,registry,people,P Baron,c6d1b1e4
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,R Shah,3424e050
info,registry,people,RA Sealy,1e98804a
info,registry,people,ROC Dunka,762f43b7
info,registry,people,Ronald Ebanks,e21ef7ec
info,registry,people,S Foster,3595ad3b
info,registry,people,Santiago Iturbe,851b0636
info,registry,people,T Rossi,5470418a
info,registry,people,T Taylor,1d6e8f52
info,registry,people,Vijaya Mallela,85b6244a
info,registry,people,YSD Seneveratne,0f71478c
ball,1,0.1,Cayman Islands,J Baker,YSD Seneveratne,A Kirschbaum,1,0,,,,,,"",""
ball,1,0.2,Cayman Islands,YSD Seneveratne,J Baker,A Kirschbaum,1,0,,,,,,"",""
ball,1,0.3,Cayman Islands,J Baker,YSD Seneveratne,A Kirschbaum,0,0,,,,,,"",""
ball,1,0.4,Cayman Islands,J Baker,YSD Seneveratne,A Kirschbaum,0,0,,,,,,"",""
ball,1,0.5,Cayman Islands,J Baker,YSD Seneveratne,A Kirschbaum,1,0,,,,,,"",""
ball,1,0.6,Cayman Islands,YSD Seneveratne,J Baker,A Kirschbaum,0,0,,,,,,caught,YSD Seneveratne
ball,1,1.1,Cayman Islands,J Baker,AR Naidoo,H Fennell,4,0,,,,,,"",""
ball,1,1.2,Cayman Islands,J Baker,AR Naidoo,H Fennell,0,0,,,,,,"",""
ball,1,1.3,Cayman Islands,J Baker,AR Naidoo,H Fennell,1,0,,,,,,"",""
ball,1,1.4,Cayman Islands,AR Naidoo,J Baker,H Fennell,0,0,,,,,,"",""
ball,1,1.5,Cayman Islands,AR Naidoo,J Baker,H Fennell,2,0,,,,,,"",""
ball,1,1.6,Cayman Islands,AR Naidoo,J Baker,H Fennell,0,1,1,,,,,"",""
ball,1,1.7,Cayman Islands,AR Naidoo,J Baker,H Fennell,0,0,,,,,,"",""
ball,1,2.1,Cayman Islands,J Baker,AR Naidoo,T Rossi,0,0,,,,,,"",""
ball,1,2.2,Cayman Islands,J Baker,AR Naidoo,T Rossi,6,0,,,,,,"",""
ball,1,2.3,Cayman Islands,J Baker,AR Naidoo,T Rossi,4,0,,,,,,"",""
ball,1,2.4,Cayman Islands,J Baker,AR Naidoo,T Rossi,0,0,,,,,,"",""
ball,1,2.5,Cayman Islands,J Baker,AR Naidoo,T Rossi,6,0,,,,,,"",""
ball,1,2.6,Cayman Islands,J Baker,AR Naidoo,T Rossi,1,0,,,,,,"",""
ball,1,3.1,Cayman Islands,J Baker,AR Naidoo,H Fennell,0,0,,,,,,caught,J Baker
ball,1,3.2,Cayman Islands,S Foster,AR Naidoo,H Fennell,0,0,,,,,,"",""
ball,1,3.3,Cayman Islands,S Foster,AR Naidoo,H Fennell,0,0,,,,,,"",""
ball,1,3.4,Cayman Islands,S Foster,AR Naidoo,H Fennell,0,0,,,,,,"",""
