version,1.7.0
info,balls_per_over,6
info,team,Kuwait
info,team,Malaysia
info,gender,male
info,season,2023/24
info,date,2024/03/09
info,event,Malaysia Open T20 Championship
info,match_number,7
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Malaysia
info,toss_decision,field
info,player_of_match,Syed Aziz
info,umpire,Sarika Prasad
info,umpire,Tabarak Dar
info,reserve_umpire,Nasir Ali
info,tv_umpire,V Kalidas
info,match_referee,Ramesh Menon
info,winner,Malaysia
info,winner_wickets,7
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,Usman Patel
info,player,Kuwait,Nimish Lathief
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Shiraz Khan
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Parvindar Kumar
info,player,Kuwait,Sayed Monib
info,player,Kuwait,Mohamed Shafeeq
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,Syed Aziz
info,player,Malaysia,S Muniandy
info,player,Malaysia,M Syahadat Ramli
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,Khizar Hayat
info,player,Malaysia,Pavandeep Singh
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,Khizar Hayat,78bbeba1
info,registry,people,M Syahadat Ramli,5efa8af3
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mohamed Shafeeq,ff13b10c
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Nasir Ali,567675c8
info,registry,people,Nimish Lathief,b561e8ea
info,registry,people,Parvindar Kumar,7a27bee5
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Ramesh Menon,4ed80d22
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Shiraz Khan,f310704c
info,registry,people,Syed Aziz,6667067e
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Usman Patel,415c6ccf
info,registry,people,V Kalidas,42d76418
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Yasin Patel,ecdd8d60
info,registry,people,Zubaidi Zulkifle,dca8273d
ball,1,0.1,Kuwait,Meet Bhavsar,R Sandaruwan,Syed Aziz,0,0,,,,,,"",""
ball,1,0.2,Kuwait,Meet Bhavsar,R Sandaruwan,Syed Aziz,0,2,2,,,,,"",""
ball,1,0.3,Kuwait,R Sandaruwan,Meet Bhavsar,Syed Aziz,0,0,,,,,,"",""
ball,1,0.4,Kuwait,R Sandaruwan,Meet Bhavsar,Syed Aziz,2,0,,,,,,"",""
ball,1,0.5,Kuwait,R Sandaruwan,Meet Bhavsar,Syed Aziz,0,0,,,,,,"",""
ball,1,0.6,Kuwait,R Sandaruwan,Meet Bhavsar,Syed Aziz,1,0,,,,,,"",""
ball,1,0.7,Kuwait,Meet Bhavsar,R Sandaruwan,Syed Aziz,1,0,,,,,,"",""
ball,1,1.1,Kuwait,Meet Bhavsar,R Sandaruwan,Pavandeep Singh,0,0,,,,,,caught,Meet Bhavsar
ball,1,1.2,Kuwait,Usman Patel,R Sandaruwan,Pavandeep Singh,0,0,,,,,,"",""
ball,1,1.3,Kuwait,Usman Patel,R Sandaruwan,Pavandeep Singh,0,0,,,,,,"",""
ball,1,1.4,Kuwait,Usman Patel,R Sandaruwan,Pavandeep Singh,0,0,,,,,,bowled,Usman Patel
ball,1,1.5,Kuwait,Nimish Lathief,R Sandaruwan,Pavandeep Singh,0,0,,,,,,"",""
ball,1,1.6,Kuwait,Nimish Lathief,R Sandaruwan,Pavandeep Singh,1,0,,,,,,"",""
ball,1,2.1,Kuwait,Nimish Lathief,R Sandaruwan,Syed Aziz,0,0,,,,,,"",""
ball,1,2.2,Kuwait,Nimish Lathief,R Sandaruwan,Syed Aziz,0,0,,,,,,"",""
ball,1,2.3,Kuwait,Nimish Lathief,R Sandaruwan,Syed Aziz,4,0,,,,,,"",""
ball,1,2.4,Kuwait,Nimish Lathief,R Sandaruwan,Syed Aziz,0,1,,,,1,,"",""
ball,1,2.5,Kuwait,R Sandaruwan,Nimish Lathief,Syed Aziz,0,0,,,,,,caught,R Sandaruwan
ball,1,2.6,Kuwait,MNM Aslam,Nimish Lathief,Syed Aziz,0,0,,,,,,"",""
ball,1,3.1,Kuwait,Nimish Lathief,MNM Aslam,Pavandeep Singh,0,0,,,,,,"",""
ball,1,3.2,Kuwait,Nimish Lathief,MNM Aslam,Pavandeep Singh,1,0,,,,,,"",""
ball,1,3.3,Kuwait,MNM Aslam,Nimish Lathief,Pavandeep Singh,0,0,,,,,,caught,MNM Aslam
ball,1,3.4,Kuwait,Yasin Patel,Nimish Lathief,Pavandeep Singh,0,0,,,,,,"",""
ball,1,3.5,Kuwait,Yasin Patel,Nimish Lathief,Pavandeep Singh,0,0,,,,,,"",""
ball,1,3.6,Kuwait,Yasin Patel,Nimish Lathief,Pavandeep Singh,0,0,,,,,,"",""
ball,1,4.1,Kuwait,Nimish Lathief,Yasin Patel,Syed Aziz,0,0,,,,,,"",""
ball,1,4.2,Kuwait,Nimish Lathief,Yasin Patel,Syed Aziz,0,0,,,,,,"",""
ball,1,4.3,Kuwait,Nimish Lathief,Yasin Patel,Syed Aziz,0,0,,,,,,"",""
ball,1,4.4,Kuwait,Nimish Lathief,Yasin Patel,Syed Aziz,0,0,,,,,,"",""
ball,1,4.5,Kuwait,Nimish Lathief,Yasin Patel,Syed Aziz,0,0,,,,,,"",""
ball,1,4.6,Kuwait,Nimish Lathief,Yasin Patel,Syed Aziz,0,0,,,,,,"",""
ball,1,5.1,Kuwait,Yasin Patel,Nimish Lathief,Pavandeep Singh,0,0,,,,,,"",""
ball,1,5.2,Kuwait,Yasin Patel,Nimish Lathief,Pavandeep Singh,4,0,,,,,,"",""
ball,1,5.3,Kuwait,Yasin Patel,Nimish Lathief,Pavandeep Singh,1,0,,,,,,"",""
ball,1,5.4,Kuwait,Nimish Lathief,Yasin Patel,Pavandeep Singh,1,0,,,,,,"",""
ball,1,5.5,Kuwait,Yasin Patel,Nimish Lathief,Pavandeep Singh,0,0,,,,,,"",""
ball,1,5.6,Kuwait,Yasin Patel,Nimish Lathief,Pavandeep Singh,1,0,,,,,,"",""
ball,1,6.1,Kuwait,Yasin Patel,Nimish Lathief,S Vijay Unni,1,0,,,,,,"",""
ball,1,6.2,Kuwait,Nimish Lathief,Yasin Patel,S Vijay Unni,1,0,,,,,,"",""
ball,1,6.3,Kuwait,Yasin Patel,Nimish Lathief,S Vijay Unni,0,0,,,,,,"",""
ball,1,6.4,Kuwait,Yasin Patel,Nimish Lathief,S Vijay Unni,0,0,,,,,,"",""
ball,1,6.5,Kuwait,Yasin Patel,Nimish Lathief,S Vijay Unni,0,0,,,,,,"",""
