version,1.7.0
info,balls_per_over,6
info,team,India
info,team,England
info,gender,male
info,season,2024/25
info,date,2025/02/02
info,event,England tour of India
info,match_number,5
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,England
info,toss_decision,field
info,player_of_match,Abhishek Sharma
info,umpire,R Pandit
info,umpire,VK Sharma
info,reserve_umpire,KN Ananthapadmanabhan
info,tv_umpire,J Madanagopal
info,match_referee,J Srinath
info,winner,India
info,winner_runs,150
info,player,India,SV Samson
info,player,India,Abhishek Sharma
info,player,India,Tilak Varma
info,player,India,SA Yadav
info,player,India,S Dube
info,player,India,HH Pandya
info,player,India,RK Singh
info,player,India,AR Patel
info,player,India,Mohammed Shami
info,player,India,Ravi Bishnoi
info,player,India,CV Varun
info,player,England,PD Salt
info,player,England,BM Duckett
info,player,England,JC Buttler
info,player,England,HC Brook
info,player,England,LS Livingstone
info,player,England,JG Bethell
info,player,England,BA Carse
info,player,England,J Overton
info,player,England,JC Archer
info,player,England,AU Rashid
info,player,England,MA Wood
info,registry,people,AR Patel,2e171977
info,registry,people,AU Rashid,249d60c9
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,BA Carse,cad40f5e
info,registry,people,BM Duckett,5f26f677
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HC Brook,4ae1755b
info,registry,people,HH Pandya,dbe50b21
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Overton,59559bc2
info,registry,people,J Srinath,bad31fac
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JG Bethell,3c55c703
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MA Wood,8d92a2c3
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Pandit,8a604384
info,registry,people,RK Singh,0a509d6b
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,S Dube,a4e37e47
info,registry,people,SA Yadav,271f83cd
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,VK Sharma,a7a49df4
ball,1,0.1,India,SV Samson,Abhishek Sharma,JC Archer,6,0,,,,,,"",""
ball,1,0.2,India,SV Samson,Abhishek Sharma,JC Archer,0,0,,,,,,"",""
ball,1,0.3,India,SV Samson,Abhishek Sharma,JC Archer,0,0,,,,,,"",""
ball,1,0.4,India,SV Samson,Abhishek Sharma,JC Archer,0,0,,,,,,"",""
ball,1,0.5,India,SV Samson,Abhishek Sharma,JC Archer,6,0,,,,,,"",""
ball,1,0.6,India,SV Samson,Abhishek Sharma,JC Archer,4,0,,,,,,"",""
ball,1,1.1,India,Abhishek Sharma,SV Samson,MA Wood,0,0,,,,,,"",""
ball,1,1.2,India,Abhishek Sharma,SV Samson,MA Wood,2,0,,,,,,"",""
ball,1,1.3,India,Abhishek Sharma,SV Samson,MA Wood,2,0,,,,,,"",""
ball,1,1.4,India,Abhishek Sharma,SV Samson,MA Wood,1,0,,,,,,"",""
ball,1,1.5,India,SV Samson,Abhishek Sharma,MA Wood,0,0,,,,,,caught,SV Samson
ball,1,1.6,India,Tilak Varma,Abhishek Sharma,MA Wood,0,0,,,,,,"",""
ball,1,2.1,India,Abhishek Sharma,Tilak Varma,JC Archer,0,0,,,,,,"",""
ball,1,2.2,India,Abhishek Sharma,Tilak Varma,JC Archer,4,0,,,,,,"",""
ball,1,2.3,India,Abhishek Sharma,Tilak Varma,JC Archer,0,0,,,,,,"",""
ball,1,2.4,India,Abhishek Sharma,Tilak Varma,JC Archer,2,0,,,,,,"",""
ball,1,2.5,India,Abhishek Sharma,Tilak Varma,JC Archer,6,0,,,,,,"",""
ball,1,2.6,India,Abhishek Sharma,Tilak Varma,JC Archer,6,0,,,,,,"",""
ball,1,3.1,India,Tilak Varma,Abhishek Sharma,MA Wood,1,0,,,,,,"",""
ball,1,3.2,India,Abhishek Sharma,Tilak Varma,MA Wood,4,0,,,,,,"",""
ball,1,3.3,India,Abhishek Sharma,Tilak Varma,MA Wood,4,0,,,,,,"",""
ball,1,3.4,India,Abhishek Sharma,Tilak Varma,MA Wood,0,0,,,,,,"",""
ball,1,3.5,India,Abhishek Sharma,Tilak Varma,MA Wood,6,0,,,,,,"",""
