version,1.7.0
info,balls_per_over,6
info,team,France
info,team,Samoa
info,gender,female
info,season,2024/25
info,date,2025/03/12
info,event,The Pacific-France Women Championship
info,match_number,4
info,venue,"N'Du Stadium, Noumea, New Caledonia"
info,city,Noumea
info,toss_winner,France
info,toss_decision,bat
info,player_of_match,O Lefaga
info,winner,Samoa
info,winner_wickets,8
info,player,France,F Cagnewa
info,player,France,L Wahmowe
info,player,France,K Moingoto
info,player,France,A Konhu
info,player,France,NJ Qaeze
info,player,France,L Fainicka
info,player,France,H Wenehoua
info,player,France,R Siwa
info,player,France,G Jaine
info,player,France,S Rokuad
info,player,France,V Kai
info,player,Samoa,F Sisifo
info,player,Samoa,T Iosefo
info,player,Samoa,AF Mapu
info,player,Samoa,J Sanele
info,player,Samoa,O Lefaga
info,player,Samoa,NJM Salima
info,player,Samoa,TH Semau
info,player,Samoa,MFL Tafea
info,player,Samoa,A Sootaga
info,player,Samoa,V Talalelei
info,player,Samoa,Leitu Leong
info,registry,people,A Konhu,c7071bf6
info,registry,people,A Sootaga,967984d0
info,registry,people,AF Mapu,d9238aee
info,registry,people,F Cagnewa,80d1b020
info,registry,people,F Sisifo,eff8319a
info,registry,people,G Jaine,be7a4419
info,registry,people,H Wenehoua,edf72654
info,registry,people,J Sanele,67bd483c
info,registry,people,K Moingoto,4325e7ae
info,registry,people,L Fainicka,d69196e9
info,registry,people,L Wahmowe,c0f5447e
info,registry,people,Leitu Leong,672e1aea
info,registry,people,MFL Tafea,01733928
info,registry,people,NJ Qaeze,d4992df7
info,registry,people,NJM Salima,13cc5f9d
info,registry,people,O Lefaga,540fb139
info,registry,people,R Siwa,bd2a2bbc
info,registry,people,S Rokuad,27b6d24d
info,registry,people,T Iosefo,335b2768
info,registry,people,TH Semau,175d59dd
info,registry,people,V Kai,d7d8f0ed
info,registry,people,V Talalelei,8989e980
ball,1,0.1,France,F Cagnewa,L Wahmowe,J Sanele,0,0,,,,,,"",""
ball,1,0.2,France,F Cagnewa,L Wahmowe,J Sanele,0,0,,,,,,"",""
ball,1,0.3,France,F Cagnewa,L Wahmowe,J Sanele,0,0,,,,,,"",""
ball,1,0.4,France,F Cagnewa,L Wahmowe,J Sanele,1,0,,,,,,"",""
ball,1,0.5,France,L Wahmowe,F Cagnewa,J Sanele,3,0,,,,,,"",""
ball,1,0.6,France,F Cagnewa,L Wahmowe,J Sanele,2,0,,,,,,"",""
ball,1,1.1,France,L Wahmowe,F Cagnewa,O Lefaga,0,1,1,,,,,"",""
ball,1,1.2,France,L Wahmowe,F Cagnewa,O Lefaga,0,0,,,,,,"",""
ball,1,1.3,France,L Wahmowe,F Cagnewa,O Lefaga,0,0,,,,,,"",""
ball,1,1.4,France,L Wahmowe,F Cagnewa,O Lefaga,0,0,,,,,,"",""
ball,1,1.5,France,L Wahmowe,F Cagnewa,O Lefaga,0,0,,,,,,"",""
ball,1,1.6,France,L Wahmowe,F Cagnewa,O Lefaga,0,0,,,,,,bowled,L Wahmowe
ball,1,1.7,France,K Moingoto,F Cagnewa,O Lefaga,0,0,,,,,,"",""
ball,1,2.1,France,F Cagnewa,K Moingoto,J Sanele,2,0,,,,,,"",""
ball,1,2.2,France,F Cagnewa,K Moingoto,J Sanele,0,0,,,,,,"",""
ball,1,2.3,France,F Cagnewa,K Moingoto,J Sanele,0,0,,,,,,"",""
ball,1,2.4,France,F Cagnewa,K Moingoto,J Sanele,2,0,,,,,,"",""
ball,1,2.5,France,F Cagnewa,K Moingoto,J Sanele,0,0,,,,,,"",""
ball,1,2.6,France,F Cagnewa,K Moingoto,J Sanele,0,0,,,,,,"",""
ball,1,3.1,France,K Moingoto,F Cagnewa,O Lefaga,0,0,,,,,,"",""
