version,1.7.0
info,balls_per_over,6
info,team,Nigeria
info,team,Namibia
info,gender,male
info,season,2023/24
info,date,2023/11/30
info,event,ICC Men's T20 World Cup Africa Region Qualifier
info,match_number,21
info,venue,"Wanderers Cricket Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Nigeria
info,toss_decision,bat
info,player_of_match,MG Erasmus
info,umpire,D Odhiambo
info,umpire,S Dambanevana
info,reserve_umpire,L Rusere
info,match_referee,GH Pienaar
info,winner,Namibia
info,winner_wickets,8
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,AA Onikoyi
info,player,Nigeria,D Ajekun
info,player,Nigeria,AE Isesele
info,player,Nigeria,I Danladi
info,player,Nigeria,IO Okpe
info,player,Nigeria,R Abdulkareem
info,player,Nigeria,P Useni
info,player,Nigeria,SA Okpe
info,player,Nigeria,C Udekwe
info,player,Nigeria,Joshua Asia
info,player,Namibia,M van Lingen
info,player,Namibia,N Davin
info,player,Namibia,MG Erasmus
info,player,Namibia,JP Kotze
info,player,Namibia,HN Ya France
info,player,Namibia,JJ Smit
info,player,Namibia,BM Scholtz
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,D Wiese
info,player,Namibia,T Lungameni
info,player,Namibia,ZE Green
info,registry,people,AA Onikoyi,409ce380
info,registry,people,AE Isesele,5249f9c4
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,C Udekwe,74a578d0
info,registry,people,D Ajekun,2494ff9e
info,registry,people,D Odhiambo,45994517
info,registry,people,D Wiese,aa8d28ae
info,registry,people,GH Pienaar,3516e46b
info,registry,people,HN Ya France,915264c2
info,registry,people,I Danladi,c156cc1f
info,registry,people,IO Okpe,1c5c3dce
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,JP Kotze,9f308dfc
info,registry,people,Joshua Asia,c4ecc42c
info,registry,people,L Rusere,6a4734ae
info,registry,people,M van Lingen,7eb36269
info,registry,people,MG Erasmus,95a5e066
info,registry,people,N Davin,72e361fe
info,registry,people,P Useni,71fa64d6
info,registry,people,R Abdulkareem,b9e07e44
info,registry,people,S Dambanevana,039923bd
info,registry,people,SA Okpe,681f522f
info,registry,people,Sulaimon Runsewe,c25d26dc
info,registry,people,T Lungameni,1688f2dc
info,registry,people,ZE Green,8716233e
ball,1,0.1,Nigeria,Sulaimon Runsewe,AA Onikoyi,D Wiese,0,0,,,,,,"",""
ball,1,0.2,Nigeria,Sulaimon Runsewe,AA Onikoyi,D Wiese,0,0,,,,,,"",""
ball,1,0.3,Nigeria,Sulaimon Runsewe,AA Onikoyi,D Wiese,0,0,,,,,,"",""
ball,1,0.4,Nigeria,Sulaimon Runsewe,AA Onikoyi,D Wiese,0,0,,,,,,"",""
ball,1,0.5,Nigeria,Sulaimon Runsewe,AA Onikoyi,D Wiese,0,0,,,,,,"",""
ball,1,0.6,Nigeria,Sulaimon Runsewe,AA Onikoyi,D Wiese,0,0,,,,,,"",""
ball,1,1.1,Nigeria,AA Onikoyi,Sulaimon Runsewe,BM Scholtz,0,0,,,,,,"",""
ball,1,1.2,Nigeria,AA Onikoyi,Sulaimon Runsewe,BM Scholtz,2,0,,,,,,"",""
ball,1,1.3,Nigeria,AA Onikoyi,Sulaimon Runsewe,BM Scholtz,0,0,,,,,,"",""
ball,1,1.4,Nigeria,AA Onikoyi,Sulaimon Runsewe,BM Scholtz,1,0,,,,,,"",""
ball,1,1.5,Nigeria,Sulaimon Runsewe,AA Onikoyi,BM Scholtz,1,0,,,,,,"",""
ball,1,1.6,Nigeria,AA Onikoyi,Sulaimon Runsewe,BM Scholtz,1,0,,,,,,"",""
ball,1,2.1,Nigeria,AA Onikoyi,Sulaimon Runsewe,D Wiese,0,0,,,,,,"",""
ball,1,2.2,Nigeria,AA Onikoyi,Sulaimon Runsewe,D Wiese,0,0,,,,,,caught,AA Onikoyi
ball,1,2.3,Nigeria,D Ajekun,Sulaimon Runsewe,D Wiese,0,0,,,,,,"",""
ball,1,2.4,Nigeria,D Ajekun,Sulaimon Runsewe,D Wiese,0,0,,,,,,"",""
ball,1,2.5,Nigeria,D Ajekun,Sulaimon Runsewe,D Wiese,1,0,,,,,,"",""
ball,1,2.6,Nigeria,Sulaimon Runsewe,D Ajekun,D Wiese,1,0,,,,,,"",""
ball,1,3.1,Nigeria,Sulaimon Runsewe,D Ajekun,T Lungameni,0,0,,,,,,"",""
ball,1,3.2,Nigeria,Sulaimon Runsewe,D Ajekun,T Lungameni,0,0,,,,,,"",""
