version,1.7.0
info,balls_per_over,6
info,team,Saudi Arabia
info,team,Nepal
info,gender,male
info,season,2024
info,date,2024/04/17
info,event,ACC Men's Premier Cup
info,match_number,18
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
info,city,Al Amarat
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,Gulsan Jha
info,umpire,Morshed Ali Khan
info,umpire,V Kalidas
info,reserve_umpire,N D'Souza
info,tv_umpire,Tabarak Dar
info,match_referee,Hamim Khan
info,winner,Nepal
info,winner_wickets,6
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Waji Ul Hassan
info,player,Saudi Arabia,Kashif Abbas
info,player,Saudi Arabia,Hisham Sheikh
info,player,Saudi Arabia,Usman Khalid
info,player,Saudi Arabia,Saad Khan
info,player,Saudi Arabia,Zain Ul Abidin
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,Ishtiaq Ahmad
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,Kushal Malla
info,player,Nepal,DS Airee
info,player,Nepal,Gulsan Jha
info,player,Nepal,RK Paudel
info,player,Nepal,S Jora
info,player,Nepal,Karan KC
info,player,Nepal,Pratis GC
info,player,Nepal,A Bohara
info,player,Nepal,LN Rajbanshi
info,registry,people,A Bohara,64fb6b15
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,DS Airee,1747ea18
info,registry,people,Faisal Khan,a7553f15
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,Hamim Khan,f82540a3
info,registry,people,Hisham Sheikh,c4441675
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kashif Abbas,63578359
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,LN Rajbanshi,6ad2d5f7
info,registry,people,Manan Ali,d0b643e1
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,N D'Souza,4b7f60af
info,registry,people,Pratis GC,c1077ba3
info,registry,people,RK Paudel,1a3cc554
info,registry,people,S Jora,156378d8
info,registry,people,Saad Khan,28e0f645
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Usman Khalid,314f0889
info,registry,people,Usman Najeeb,615688b6
info,registry,people,V Kalidas,42d76418
info,registry,people,Waji Ul Hassan,6892f9c3
info,registry,people,Zain Ul Abidin,b93b87ae
ball,1,0.1,Saudi Arabia,Faisal Khan,Manan Ali,Karan KC,6,0,,,,,,"",""
ball,1,0.2,Saudi Arabia,Faisal Khan,Manan Ali,Karan KC,0,0,,,,,,caught,Faisal Khan
ball,1,0.3,Saudi Arabia,Abdul Waheed,Manan Ali,Karan KC,1,0,,,,,,"",""
ball,1,0.4,Saudi Arabia,Manan Ali,Abdul Waheed,Karan KC,0,0,,,,,,"",""
ball,1,0.5,Saudi Arabia,Manan Ali,Abdul Waheed,Karan KC,0,0,,,,,,"",""
ball,1,0.6,Saudi Arabia,Manan Ali,Abdul Waheed,Karan KC,1,0,,,,,,"",""
ball,1,1.1,Saudi Arabia,Manan Ali,Abdul Waheed,LN Rajbanshi,1,0,,,,,,"",""
ball,1,1.2,Saudi Arabia,Abdul Waheed,Manan Ali,LN Rajbanshi,0,0,,,,,,"",""
ball,1,1.3,Saudi Arabia,Abdul Waheed,Manan Ali,LN Rajbanshi,0,1,1,,,,,"",""
ball,1,1.4,Saudi Arabia,Abdul Waheed,Manan Ali,LN Rajbanshi,4,0,,,,,,"",""
ball,1,1.5,Saudi Arabia,Abdul Waheed,Manan Ali,LN Rajbanshi,4,0,,,,,,"",""
ball,1,1.6,Saudi Arabia,Abdul Waheed,Manan Ali,LN Rajbanshi,1,0,,,,,,"",""
ball,1,1.7,Saudi Arabia,Manan Ali,Abdul Waheed,LN Rajbanshi,1,0,,,,,,"",""
ball,1,2.1,Saudi Arabia,Manan Ali,Abdul Waheed,Karan KC,0,0,,,,,,caught,Manan Ali
ball,1,2.2,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Karan KC,0,0,,,,,,"",""
ball,1,2.3,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Karan KC,0,0,,,,,,"",""
ball,1,2.4,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Karan KC,1,0,,,,,,"",""
ball,1,2.5,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Karan KC,6,0,,,,,,"",""
ball,1,2.6,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Karan KC,6,0,,,,,,"",""
ball,1,3.1,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,LN Rajbanshi,0,1,1,,,,,"",""
ball,1,3.2,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,LN Rajbanshi,1,0,,,,,,"",""
ball,1,3.3,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,LN Rajbanshi,1,0,,,,,,"",""
