version,1.7.0
info,balls_per_over,6
info,team,Thailand
info,team,Netherlands
info,gender,female
info,season,2022/23
info,date,2022/12/03
info,event,Netherlands Women tour of Thailand
info,match_number,4
info,venue,Royal Chiangmai Golf Club
info,city,Chiang Mai
info,toss_winner,Netherlands
info,toss_decision,field
info,player_of_match,N Chaiwai
info,umpire,AK Rana
info,umpire,Samad Akbar
info,reserve_umpire,Sarika Prasad
info,match_referee,Edwin Seah
info,winner,Thailand
info,winner_runs,31
info,player,Thailand,N Chantam
info,player,Thailand,N Koncharoenkai
info,player,Thailand,S Tippoch
info,player,Thailand,N Chaiwai
info,player,Thailand,P Maya
info,player,Thailand,C Sutthiruang
info,player,Thailand,R Kanoh
info,player,Thailand,Nanthita Boonsukham
info,player,Thailand,O Kamchomphu
info,player,Thailand,S Laomi
info,player,Thailand,T Putthawong
info,player,Netherlands,B de Leede
info,player,Netherlands,HDJ Siegers
info,player,Netherlands,SL Kalis
info,player,Netherlands,R Rijke
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,F Overdijk
info,player,Netherlands,AH Thomson
info,player,Netherlands,EN Lynch
info,player,Netherlands,S Siegers
info,player,Netherlands,C de Lange
info,player,Netherlands,HWA Landheer
info,registry,people,AH Thomson,5d2031f0
info,registry,people,AK Rana,562d74d0
info,registry,people,B de Leede,b3020075
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,C de Lange,c6a019f5
info,registry,people,EN Lynch,4d35d0b3
info,registry,people,Edwin Seah,be24f868
info,registry,people,F Overdijk,022745d5
info,registry,people,HDJ Siegers,6d48df01
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,Nanthita Boonsukham,12a2157e
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,R Kanoh,5959370f
info,registry,people,R Rijke,42e4b276
info,registry,people,S Laomi,4b15618c
info,registry,people,S Siegers,9a58f2c8
info,registry,people,S Tippoch,9c4b58db
info,registry,people,SL Kalis,2b150c6b
info,registry,people,Samad Akbar,f05bd21b
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,T Putthawong,23e3f2d6
ball,1,0.1,Thailand,N Chantam,N Koncharoenkai,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.2,Thailand,N Chantam,N Koncharoenkai,IJR Zwilling,4,0,,,,,,"",""
ball,1,0.3,Thailand,N Chantam,N Koncharoenkai,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.4,Thailand,N Chantam,N Koncharoenkai,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.5,Thailand,N Chantam,N Koncharoenkai,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.6,Thailand,N Chantam,N Koncharoenkai,IJR Zwilling,0,0,,,,,,"",""
ball,1,1.1,Thailand,N Koncharoenkai,N Chantam,C de Lange,4,0,,,,,,"",""
ball,1,1.2,Thailand,N Koncharoenkai,N Chantam,C de Lange,1,0,,,,,,"",""
ball,1,1.3,Thailand,N Chantam,N Koncharoenkai,C de Lange,1,0,,,,,,"",""
ball,1,1.4,Thailand,N Koncharoenkai,N Chantam,C de Lange,0,0,,,,,,"",""
ball,1,1.5,Thailand,N Koncharoenkai,N Chantam,C de Lange,0,0,,,,,,"",""
ball,1,1.6,Thailand,N Koncharoenkai,N Chantam,C de Lange,1,0,,,,,,"",""
ball,1,2.1,Thailand,N Koncharoenkai,N Chantam,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.2,Thailand,N Koncharoenkai,N Chantam,IJR Zwilling,1,0,,,,,,"",""
ball,1,2.3,Thailand,N Chantam,N Koncharoenkai,IJR Zwilling,1,0,,,,,,"",""
ball,1,2.4,Thailand,N Koncharoenkai,N Chantam,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.5,Thailand,N Koncharoenkai,N Chantam,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.6,Thailand,N Koncharoenkai,N Chantam,IJR Zwilling,0,1,1,,,,,"",""
ball,1,2.7,Thailand,N Koncharoenkai,N Chantam,IJR Zwilling,1,0,,,,,,"",""
ball,1,3.1,Thailand,N Koncharoenkai,N Chantam,C de Lange,0,0,,,,,,caught,N Koncharoenkai
ball,1,3.2,Thailand,S Tippoch,N Chantam,C de Lange,0,0,,,,,,"",""
ball,1,3.3,Thailand,S Tippoch,N Chantam,C de Lange,2,0,,,,,,"",""
ball,1,3.4,Thailand,S Tippoch,N Chantam,C de Lange,1,0,,,,,,"",""
ball,1,3.5,Thailand,N Chantam,S Tippoch,C de Lange,0,0,,,,,,caught,N Chantam
ball,1,3.6,Thailand,N Chaiwai,S Tippoch,C de Lange,0,0,,,,,,"",""
ball,1,4.1,Thailand,S Tippoch,N Chaiwai,EN Lynch,1,0,,,,,,"",""
