version,1.7.0
info,balls_per_over,6
info,team,India
info,team,Sri Lanka
info,gender,female
info,season,2024
info,date,2024/07/28
info,event,Women's Asia Cup
info,venue,Rangiri Dambulla International Stadium
info,city,Dambulla
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,H Madavi
info,umpire,Saleema Imtiaz
info,umpire,Shathira Jakir
info,reserve_umpire,Nur Hijrah
info,tv_umpire,H Yerzal
info,match_referee,GS Lakshmi
info,winner,Sri Lanka
info,winner_wickets,8
info,player,India,Shafali Verma
info,player,India,S Mandhana
info,player,India,U Chetry
info,player,India,H Kaur
info,player,India,JI Rodrigues
info,player,India,RM Ghosh
info,player,India,P Vastrakar
info,player,India,RP Yadav
info,player,India,DB Sharma
info,player,India,TP Kanwar
info,player,India,Renuka Singh
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,SIP Fernando
info,player,Sri Lanka,KDU Prabodhani
info,player,Sri Lanka,S Nisansala
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,DB Sharma,201fef33
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Kaur,53cd8da6
info,registry,people,H Madavi,85021bcd
info,registry,people,H Yerzal,86197ea5
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,KDU Prabodhani,a0fdf513
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,NND de Silva,f0b4294e
info,registry,people,Nur Hijrah,6c068720
info,registry,people,P Vastrakar,8026ea72
info,registry,people,RM Ghosh,721e0199
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,RP Yadav,6c3aef71
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Nisansala,1251a339
info,registry,people,SIP Fernando,5838cb64
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Shafali Verma,d8f59089
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,TP Kanwar,443c122f
info,registry,people,U Chetry,8f8f94fd
info,registry,people,WK Dilhari,c34a15e6
ball,1,0.1,India,Shafali Verma,S Mandhana,SIP Fernando,0,0,,,,,,"",""
ball,1,0.2,India,Shafali Verma,S Mandhana,SIP Fernando,0,0,,,,,,"",""
ball,1,0.3,India,Shafali Verma,S Mandhana,SIP Fernando,0,0,,,,,,"",""
ball,1,0.4,India,Shafali Verma,S Mandhana,SIP Fernando,4,0,,,,,,"",""
ball,1,0.5,India,Shafali Verma,S Mandhana,SIP Fernando,1,0,,,,,,"",""
ball,1,0.6,India,S Mandhana,Shafali Verma,SIP Fernando,0,1,1,,,,,"",""
ball,1,0.7,India,S Mandhana,Shafali Verma,SIP Fernando,0,0,,,,,,"",""
ball,1,1.1,India,Shafali Verma,S Mandhana,KDU Prabodhani,0,0,,,,,,"",""
ball,1,1.2,India,Shafali Verma,S Mandhana,KDU Prabodhani,4,0,,,,,,"",""
ball,1,1.3,India,Shafali Verma,S Mandhana,KDU Prabodhani,0,0,,,,,,"",""
ball,1,1.4,India,Shafali Verma,S Mandhana,KDU Prabodhani,1,0,,,,,,"",""
ball,1,1.5,India,S Mandhana,Shafali Verma,KDU Prabodhani,1,0,,,,,,"",""
ball,1,1.6,India,Shafali Verma,S Mandhana,KDU Prabodhani,0,0,,,,,,"",""
ball,1,2.1,India,S Mandhana,Shafali Verma,SIP Fernando,0,0,,,,,,"",""
ball,1,2.2,India,S Mandhana,Shafali Verma,SIP Fernando,4,0,,,,,,"",""
ball,1,2.3,India,S Mandhana,Shafali Verma,SIP Fernando,0,0,,,,,,"",""
ball,1,2.4,India,S Mandhana,Shafali Verma,SIP Fernando,0,0,,,,,,"",""
ball,1,2.5,India,S Mandhana,Shafali Verma,SIP Fernando,0,0,,,,,,"",""
ball,1,2.6,India,S Mandhana,Shafali Verma,SIP Fernando,4,0,,,,,,"",""
ball,1,3.1,India,Shafali Verma,S Mandhana,BMSM Kumari,1,0,,,,,,"",""
ball,1,3.2,India,S Mandhana,Shafali Verma,BMSM Kumari,0,0,,,,,,"",""
ball,1,3.3,India,S Mandhana,Shafali Verma,BMSM Kumari,1,0,,,,,,"",""
ball,1,3.4,India,Shafali Verma,S Mandhana,BMSM Kumari,0,0,,,,,,"",""
ball,1,3.5,India,Shafali Verma,S Mandhana,BMSM Kumari,0,0,,,,,,"",""
ball,1,3.6,India,Shafali Verma,S Mandhana,BMSM Kumari,1,0,,,,,,"",""
