version,1.7.0
info,balls_per_over,6
info,team,South Africa
info,team,West Indies
info,gender,female
info,season,2022/23
info,date,2023/01/21
info,event,South Africa Women's T20I Tri-Series
info,match_number,2
info,venue,"Buffalo Park, East London"
info,city,East London
info,toss_winner,South Africa
info,toss_decision,bat
info,player_of_match,M Klaas
info,umpire,PJ Vosloo
info,umpire,RN Hendricks
info,reserve_umpire,Lauren Agenbag
info,tv_umpire,TC Mokorosi
info,match_referee,SA Fritz
info,winner,South Africa
info,winner_runs,44
info,player,South Africa,L Wolvaardt
info,player,South Africa,A Bosch
info,player,South Africa,M Kapp
info,player,South Africa,S Luus
info,player,South Africa,CL Tryon
info,player,South Africa,D Tucker
info,player,South Africa,N de Klerk
info,player,South Africa,S Jafta
info,player,South Africa,M Klaas
info,player,South Africa,A Khaka
info,player,South Africa,N Mlaba
info,player,West Indies,HK Matthews
info,player,West Indies,B Cooper
info,player,West Indies,RS Williams
info,player,West Indies,SA Campbelle
info,player,West Indies,S Gajnabi
info,player,West Indies,CN Nation
info,player,West Indies,ASS Fletcher
info,player,West Indies,SS Connell
info,player,West Indies,SC Selman
info,player,West Indies,K Ramharack
info,player,West Indies,K Schultz
info,registry,people,A Bosch,dcf0e8f4
info,registry,people,A Khaka,0d518f89
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,B Cooper,ac0edb42
info,registry,people,CL Tryon,4d4605e6
info,registry,people,CN Nation,639000b6
info,registry,people,D Tucker,2b425403
info,registry,people,HK Matthews,d32cf49a
info,registry,people,K Ramharack,321c980e
info,registry,people,K Schultz,6900060d
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Klaas,ce85fcaf
info,registry,people,N Mlaba,686362af
info,registry,people,N de Klerk,ea544967
info,registry,people,PJ Vosloo,93a6d2d0
info,registry,people,RN Hendricks,92edb363
info,registry,people,RS Williams,406de451
info,registry,people,S Gajnabi,c35739a1
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SC Selman,c29ada99
info,registry,people,SS Connell,2f9a6bd1
info,registry,people,TC Mokorosi,e93c3cf8
ball,1,0.1,South Africa,L Wolvaardt,A Bosch,HK Matthews,0,1,1,,,,,"",""
ball,1,0.2,South Africa,L Wolvaardt,A Bosch,HK Matthews,0,0,,,,,,"",""
ball,1,0.3,South Africa,L Wolvaardt,A Bosch,HK Matthews,0,0,,,,,,"",""
ball,1,0.4,South Africa,L Wolvaardt,A Bosch,HK Matthews,1,0,,,,,,"",""
ball,1,0.5,South Africa,A Bosch,L Wolvaardt,HK Matthews,0,0,,,,,,"",""
ball,1,0.6,South Africa,A Bosch,L Wolvaardt,HK Matthews,0,0,,,,,,"",""
ball,1,0.7,South Africa,A Bosch,L Wolvaardt,HK Matthews,4,0,,,,,,"",""
ball,1,1.1,South Africa,L Wolvaardt,A Bosch,SS Connell,1,0,,,,,,"",""
ball,1,1.2,South Africa,A Bosch,L Wolvaardt,SS Connell,1,0,,,,,,"",""
ball,1,1.3,South Africa,L Wolvaardt,A Bosch,SS Connell,0,0,,,,,,"",""
ball,1,1.4,South Africa,L Wolvaardt,A Bosch,SS Connell,0,0,,,,,,"",""
ball,1,1.5,South Africa,L Wolvaardt,A Bosch,SS Connell,1,0,,,,,,"",""
ball,1,1.6,South Africa,A Bosch,L Wolvaardt,SS Connell,0,0,,,,,,"",""
ball,1,2.1,South Africa,L Wolvaardt,A Bosch,HK Matthews,0,5,5,,,,,"",""
ball,1,2.2,South Africa,L Wolvaardt,A Bosch,HK Matthews,0,0,,,,,,"",""
ball,1,2.3,South Africa,L Wolvaardt,A Bosch,HK Matthews,0,0,,,,,,"",""
ball,1,2.4,South Africa,L Wolvaardt,A Bosch,HK Matthews,4,0,,,,,,"",""
ball,1,2.5,South Africa,L Wolvaardt,A Bosch,HK Matthews,4,0,,,,,,"",""
ball,1,2.6,South Africa,L Wolvaardt,A Bosch,HK Matthews,0,0,,,,,,"",""
ball,1,2.7,South Africa,L Wolvaardt,A Bosch,HK Matthews,0,0,,,,,,"",""
ball,1,3.1,South Africa,A Bosch,L Wolvaardt,SS Connell,0,0,,,,,,"",""
ball,1,3.2,South Africa,A Bosch,L Wolvaardt,SS Connell,1,0,,,,,,"",""
ball,1,3.3,South Africa,L Wolvaardt,A Bosch,SS Connell,0,1,1,,,,,"",""
ball,1,3.4,South Africa,L Wolvaardt,A Bosch,SS Connell,1,0,,,,,,"",""
ball,1,3.5,South Africa,A Bosch,L Wolvaardt,SS Connell,2,0,,,,,,"",""
ball,1,3.6,South Africa,A Bosch,L Wolvaardt,SS Connell,0,0,,,,,,caught,A Bosch
ball,1,3.7,South Africa,M Kapp,L Wolvaardt,SS Connell,0,0,,,,,,"",""
ball,1,4.1,South Africa,L Wolvaardt,M Kapp,K Ramharack,0,0,,,,,,"",""
ball,1,4.2,South Africa,L Wolvaardt,M Kapp,K Ramharack,4,0,,,,,,"",""
ball,1,4.3,South Africa,L Wolvaardt,M Kapp,K Ramharack,1,0,,,,,,"",""
ball,1,4.4,South Africa,M Kapp,L Wolvaardt,K Ramharack,2,0,,,,,,"",""
ball,1,4.5,South Africa,M Kapp,L Wolvaardt,K Ramharack,0,0,,,,,,"",""
ball,1,4.6,South Africa,M Kapp,L Wolvaardt,K Ramharack,2,0,,,,,,"",""
ball,1,5.1,South Africa,L Wolvaardt,M Kapp,SC Selman,0,0,,,,,,"",""
ball,1,5.2,South Africa,L Wolvaardt,M Kapp,SC Selman,1,0,,,,,,"",""
ball,1,5.3,South Africa,M Kapp,L Wolvaardt,SC Selman,2,0,,,,,,"",""
ball,1,5.4,South Africa,M Kapp,L Wolvaardt,SC Selman,1,1,,1,,,,"",""
ball,1,5.5,South Africa,L Wolvaardt,M Kapp,SC Selman,0,0,,,,,,"",""
ball,1,5.6,South Africa,L Wolvaardt,M Kapp,SC Selman,0,0,,,,,,"",""
ball,1,5.7,South Africa,L Wolvaardt,M Kapp,SC Selman,2,0,,,,,,"",""
ball,1,6.1,South Africa,M Kapp,L Wolvaardt,ASS Fletcher,4,0,,,,,,"",""
ball,1,6.2,South Africa,M Kapp,L Wolvaardt,ASS Fletcher,2,0,,,,,,"",""
ball,1,6.3,South Africa,M Kapp,L Wolvaardt,ASS Fletcher,1,0,,,,,,"",""
ball,1,6.4,South Africa,L Wolvaardt,M Kapp,ASS Fletcher,1,0,,,,,,"",""
ball,1,6.5,South Africa,M Kapp,L Wolvaardt,ASS Fletcher,1,0,,,,,,"",""
ball,1,6.6,South Africa,L Wolvaardt,M Kapp,ASS Fletcher,1,0,,,,,,"",""
ball,1,7.1,South Africa,L Wolvaardt,M Kapp,SC Selman,0,0,,,,,,"",""
ball,1,7.2,South Africa,L Wolvaardt,M Kapp,SC Selman,0,0,,,,,,"",""
ball,1,7.3,South Africa,L Wolvaardt,M Kapp,SC Selman,1,0,,,,,,"",""
ball,1,7.4,South Africa,M Kapp,L Wolvaardt,SC Selman,0,0,,,,,,"",""
ball,1,7.5,South Africa,M Kapp,L Wolvaardt,SC Selman,1,0,,,,,,"",""
ball,1,7.6,South Africa,L Wolvaardt,M Kapp,SC Selman,1,0,,,,,,"",""
ball,1,8.1,South Africa,L Wolvaardt,M Kapp,S Gajnabi,1,0,,,,,,"",""
ball,1,8.2,South Africa,M Kapp,L Wolvaardt,S Gajnabi,1,0,,,,,,"",""
