version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Japan
info,gender,female
info,season,2023/24
info,date,2024/02/14
info,event,Asian Cricket Council Women's Premier Cup
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Malaysia
info,toss_decision,bat
info,player_of_match,Mas Elysa
info,umpire,Aasif Iqbal
info,umpire,Shivani Mishra
info,reserve_umpire,N Perera
info,tv_umpire,Gayathri Venugopal
info,match_referee,V Bowen
info,winner,Malaysia
info,winner_runs,16
info,player,Malaysia,Wan Julia
info,player,Malaysia,WA Duraisingam
info,player,Malaysia,Siow Tzin Yee
info,player,Malaysia,Mas Elysa
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,Aisya Eleesa
info,player,Malaysia,Nur Dania Syuhada
info,player,Malaysia,Nur Arianna Natsya
info,player,Malaysia,SM Dhanusri
info,player,Malaysia,Aina Najwa
info,player,Japan,H Goto
info,player,Japan,Erika Oda
info,player,Japan,M Yanagida
info,player,Japan,H Iwasaki
info,player,Japan,A Kano
info,player,Japan,A Chandel
info,player,Japan,S Kato
info,player,Japan,K Ota
info,player,Japan,E Toguchi-Quinn
info,player,Japan,A Fujikawa
info,player,Japan,Nonoha Yasumoto
info,registry,people,A Chandel,78fa5f6d
info,registry,people,A Fujikawa,9543a4fe
info,registry,people,A Kano,e92841c0
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Aisya Eleesa,2cd18a73
info,registry,people,E Toguchi-Quinn,d144423b
info,registry,people,Erika Oda,4c8a1197
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Goto,b3af5bff
info,registry,people,H Iwasaki,f2698c78
info,registry,people,K Ota,211f48fe
info,registry,people,M Yanagida,f20e7e23
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,Mas Elysa,857de42e
info,registry,people,N Perera,129709f9
info,registry,people,Nonoha Yasumoto,eb33378d
info,registry,people,Nur Arianna Natsya,4db4c8be
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,S Kato,ef9ff861
info,registry,people,SM Dhanusri,4e4d2c20
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,Siow Tzin Yee,686b7194
info,registry,people,V Bowen,7297ac4d
info,registry,people,WA Duraisingam,7467fe01
info,registry,people,Wan Julia,bee0c85c
ball,1,0.1,Malaysia,Wan Julia,WA Duraisingam,A Chandel,0,0,,,,,,"",""
ball,1,0.2,Malaysia,Wan Julia,WA Duraisingam,A Chandel,0,0,,,,,,"",""
ball,1,0.3,Malaysia,Wan Julia,WA Duraisingam,A Chandel,0,0,,,,,,"",""
ball,1,0.4,Malaysia,Wan Julia,WA Duraisingam,A Chandel,4,0,,,,,,"",""
ball,1,0.5,Malaysia,Wan Julia,WA Duraisingam,A Chandel,1,0,,,,,,"",""
ball,1,0.6,Malaysia,WA Duraisingam,Wan Julia,A Chandel,0,0,,,,,,"",""
ball,1,1.1,Malaysia,Wan Julia,WA Duraisingam,Nonoha Yasumoto,0,1,1,,,,,"",""
ball,1,1.2,Malaysia,Wan Julia,WA Duraisingam,Nonoha Yasumoto,1,0,,,,,,"",""
ball,1,1.3,Malaysia,WA Duraisingam,Wan Julia,Nonoha Yasumoto,0,0,,,,,,"",""
ball,1,1.4,Malaysia,WA Duraisingam,Wan Julia,Nonoha Yasumoto,0,0,,,,,,"",""
ball,1,1.5,Malaysia,WA Duraisingam,Wan Julia,Nonoha Yasumoto,0,0,,,,,,"",""
ball,1,1.6,Malaysia,WA Duraisingam,Wan Julia,Nonoha Yasumoto,1,0,,,,,,"",""
ball,1,1.7,Malaysia,Wan Julia,WA Duraisingam,Nonoha Yasumoto,0,0,,,,,,"",""
ball,1,2.1,Malaysia,WA Duraisingam,Wan Julia,A Chandel,0,0,,,,,,"",""
ball,1,2.2,Malaysia,WA Duraisingam,Wan Julia,A Chandel,2,0,,,,,,"",""
ball,1,2.3,Malaysia,WA Duraisingam,Wan Julia,A Chandel,0,0,,,,,,"",""
ball,1,2.4,Malaysia,WA Duraisingam,Wan Julia,A Chandel,0,0,,,,,,"",""
ball,1,2.5,Malaysia,WA Duraisingam,Wan Julia,A Chandel,0,0,,,,,,"",""
ball,1,2.6,Malaysia,WA Duraisingam,Wan Julia,A Chandel,0,0,,,,,,"",""
ball,1,3.1,Malaysia,Wan Julia,WA Duraisingam,Nonoha Yasumoto,0,0,,,,,,"",""
ball,1,3.2,Malaysia,Wan Julia,WA Duraisingam,Nonoha Yasumoto,2,0,,,,,,"",""
ball,1,3.3,Malaysia,Wan Julia,WA Duraisingam,Nonoha Yasumoto,0,0,,,,,,"",""
ball,1,3.4,Malaysia,Wan Julia,WA Duraisingam,Nonoha Yasumoto,0,0,,,,,,"",""
