version,1.7.0
info,balls_per_over,6
info,team,Malawi
info,team,Rwanda
info,gender,female
info,season,2024
info,date,2024/05/31
info,event,Kwibuka Women's Twenty20 Tournament
info,match_number,7
info,venue,"Gahanga B Ground, Rwanda"
info,city,Kigali City
info,toss_winner,Malawi
info,toss_decision,bat
info,player_of_match,MD Bimenyimana
info,umpire,TJ Onikoyi
info,umpire,V Iriho
info,reserve_umpire,D Hagenimana
info,winner,Rwanda
info,winner_wickets,9
info,player,Malawi,S Chinawa
info,player,Malawi,P Maziya
info,player,Malawi,T Luka
info,player,Malawi,LL Dimba
info,player,Malawi,S Kananji
info,player,Malawi,KM Chingaipe
info,player,Malawi,M Kudimba
info,player,Malawi,V Phiri
info,player,Malawi,A Alfonso
info,player,Malawi,L Malino
info,player,Malawi,T Chabila
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,M Uwase
info,player,Rwanda,G Ishimwe
info,player,Rwanda,H Ishimwe
info,player,Rwanda,C Uwase
info,player,Rwanda,A Ikuzwe
info,player,Rwanda,Geovanis Uwase
info,player,Rwanda,B Murekatete
info,player,Rwanda,F Irakoze
info,player,Rwanda,S Niyomuhoza
info,player,Rwanda,Rosine Irera
info,registry,people,A Alfonso,5088c217
info,registry,people,A Ikuzwe,6762a445
info,registry,people,B Murekatete,2d4317da
info,registry,people,C Uwase,808bb510
info,registry,people,D Hagenimana,de167462
info,registry,people,F Irakoze,14f0a5e3
info,registry,people,G Ishimwe,b5ae57ee
info,registry,people,Geovanis Uwase,088f22fd
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,KM Chingaipe,db32d60a
info,registry,people,L Malino,7a81836e
info,registry,people,LL Dimba,53f88bf1
info,registry,people,M Kudimba,24ce1fcb
info,registry,people,M Uwase,7d6ce83f
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,P Maziya,4f85f02c
info,registry,people,Rosine Irera,b84718fd
info,registry,people,S Chinawa,bdbde085
info,registry,people,S Kananji,23917bf0
info,registry,people,S Niyomuhoza,a5424013
info,registry,people,T Chabila,f18b67a3
info,registry,people,T Luka,44e008a5
info,registry,people,TJ Onikoyi,b68d9bc6
info,registry,people,V Iriho,2853eafb
info,registry,people,V Phiri,8ffa1b3c
ball,1,0.1,Malawi,S Chinawa,P Maziya,B Murekatete,0,1,1,,,,,"",""
ball,1,0.2,Malawi,S Chinawa,P Maziya,B Murekatete,0,0,,,,,,"",""
ball,1,0.3,Malawi,S Chinawa,P Maziya,B Murekatete,1,0,,,,,,"",""
ball,1,0.4,Malawi,P Maziya,S Chinawa,B Murekatete,0,1,1,,,,,"",""
ball,1,0.5,Malawi,P Maziya,S Chinawa,B Murekatete,0,0,,,,,,"",""
ball,1,0.6,Malawi,P Maziya,S Chinawa,B Murekatete,0,0,,,,,,"",""
ball,1,0.7,Malawi,P Maziya,S Chinawa,B Murekatete,0,0,,,,,,"",""
ball,1,0.8,Malawi,P Maziya,S Chinawa,B Murekatete,0,0,,,,,,"",""
ball,1,1.1,Malawi,S Chinawa,P Maziya,Rosine Irera,4,0,,,,,,"",""
ball,1,1.2,Malawi,S Chinawa,P Maziya,Rosine Irera,0,0,,,,,,"",""
ball,1,1.3,Malawi,S Chinawa,P Maziya,Rosine Irera,0,0,,,,,,"",""
ball,1,1.4,Malawi,S Chinawa,P Maziya,Rosine Irera,0,0,,,,,,"",""
ball,1,1.5,Malawi,S Chinawa,P Maziya,Rosine Irera,0,0,,,,,,"",""
ball,1,1.6,Malawi,S Chinawa,P Maziya,Rosine Irera,1,0,,,,,,"",""
ball,1,2.1,Malawi,S Chinawa,P Maziya,B Murekatete,0,0,,,,,,"",""
ball,1,2.2,Malawi,S Chinawa,P Maziya,B Murekatete,0,0,,,,,,"",""
ball,1,2.3,Malawi,S Chinawa,P Maziya,B Murekatete,0,0,,,,,,caught,S Chinawa
ball,1,2.4,Malawi,T Luka,P Maziya,B Murekatete,0,0,,,,,,"",""
ball,1,2.5,Malawi,T Luka,P Maziya,B Murekatete,0,0,,,,,,"",""
ball,1,2.6,Malawi,T Luka,P Maziya,B Murekatete,0,0,,,,,,bowled,T Luka
ball,1,3.1,Malawi,P Maziya,LL Dimba,Rosine Irera,0,0,,,,,,"",""
ball,1,3.2,Malawi,P Maziya,LL Dimba,Rosine Irera,0,0,,,,,,"",""
ball,1,3.3,Malawi,P Maziya,LL Dimba,Rosine Irera,0,0,,,,,,"",""
