version,1.7.0
info,balls_per_over,6
info,team,England
info,team,West Indies
info,gender,male
info,season,2025
info,date,2025/06/06
info,event,West Indies tour of England
info,match_number,1
info,venue,"Riverside Ground, Chester-le-Street"
info,city,Chester-le-Street
info,toss_winner,England
info,toss_decision,bat
info,player_of_match,LA Dawson
info,umpire,GD Lloyd
info,umpire,M Burns
info,reserve_umpire,MJ Saggers
info,tv_umpire,RJ Warren
info,match_referee,JJ Crowe
info,winner,England
info,winner_runs,21
info,player,England,JL Smith
info,player,England,BM Duckett
info,player,England,JC Buttler
info,player,England,HC Brook
info,player,England,T Banton
info,player,England,JG Bethell
info,player,England,WG Jacks
info,player,England,LA Dawson
info,player,England,BA Carse
info,player,England,AU Rashid
info,player,England,MJ Potts
info,player,West Indies,E Lewis
info,player,West Indies,J Charles
info,player,West Indies,SD Hope
info,player,West Indies,RL Chase
info,player,West Indies,SE Rutherford
info,player,West Indies,R Powell
info,player,West Indies,AD Russell
info,player,West Indies,G Motie
info,player,West Indies,R Shepherd
info,player,West Indies,JO Holder
info,player,West Indies,AS Joseph
info,registry,people,AD Russell,bbd41817
info,registry,people,AS Joseph,b0946605
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA Carse,cad40f5e
info,registry,people,BM Duckett,5f26f677
info,registry,people,E Lewis,0ebfb1ad
info,registry,people,G Motie,97bdec3d
info,registry,people,GD Lloyd,36e0770d
info,registry,people,HC Brook,4ae1755b
info,registry,people,J Charles,09a9d073
info,registry,people,JC Buttler,99b75528
info,registry,people,JG Bethell,3c55c703
info,registry,people,JJ Crowe,2e760301
info,registry,people,JL Smith,c834c290
info,registry,people,JO Holder,0f721006
info,registry,people,LA Dawson,4a461c24
info,registry,people,M Burns,b3bd0666
info,registry,people,MJ Potts,894b2d25
info,registry,people,MJ Saggers,402d5937
info,registry,people,R Powell,650d5e49
info,registry,people,R Shepherd,c5aef772
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,RL Chase,3feda4fa
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,T Banton,25f7b7d6
info,registry,people,WG Jacks,9caf69a1
ball,1,0.1,England,JL Smith,BM Duckett,JO Holder,0,0,,,,,,"",""
ball,1,0.2,England,JL Smith,BM Duckett,JO Holder,4,0,,,,,,"",""
ball,1,0.3,England,JL Smith,BM Duckett,JO Holder,0,1,1,,,,,"",""
ball,1,0.4,England,JL Smith,BM Duckett,JO Holder,4,0,,,,,,"",""
ball,1,0.5,England,JL Smith,BM Duckett,JO Holder,1,0,,,,,,"",""
ball,1,0.6,England,BM Duckett,JL Smith,JO Holder,0,1,1,,,,,"",""
ball,1,0.7,England,BM Duckett,JL Smith,JO Holder,1,0,,,,,,"",""
ball,1,0.8,England,JL Smith,BM Duckett,JO Holder,4,0,,,,,,"",""
ball,1,1.1,England,BM Duckett,JL Smith,R Shepherd,0,0,,,,,,"",""
ball,1,1.2,England,BM Duckett,JL Smith,R Shepherd,0,0,,,,,,"",""
ball,1,1.3,England,BM Duckett,JL Smith,R Shepherd,0,0,,,,,,caught,BM Duckett
ball,1,1.4,England,JC Buttler,JL Smith,R Shepherd,0,1,1,,,,,"",""
ball,1,1.5,England,JC Buttler,JL Smith,R Shepherd,4,0,,,,,,"",""
ball,1,1.6,England,JC Buttler,JL Smith,R Shepherd,0,0,,,,,,"",""
ball,1,1.7,England,JC Buttler,JL Smith,R Shepherd,1,0,,,,,,"",""
ball,1,2.1,England,JC Buttler,JL Smith,AS Joseph,0,0,,,,,,"",""
ball,1,2.2,England,JC Buttler,JL Smith,AS Joseph,2,0,,,,,,"",""
ball,1,2.3,England,JC Buttler,JL Smith,AS Joseph,1,0,,,,,,"",""
ball,1,2.4,England,JL Smith,JC Buttler,AS Joseph,1,0,,,,,,"",""
ball,1,2.5,England,JC Buttler,JL Smith,AS Joseph,0,0,,,,,,"",""
ball,1,2.6,England,JC Buttler,JL Smith,AS Joseph,2,0,,,,,,"",""
ball,1,3.1,England,JL Smith,JC Buttler,JO Holder,1,0,,,,,,"",""
ball,1,3.2,England,JC Buttler,JL Smith,JO Holder,0,1,1,,,,,"",""
ball,1,3.3,England,JC Buttler,JL Smith,JO Holder,1,0,,,,,,"",""
ball,1,3.4,England,JL Smith,JC Buttler,JO Holder,1,0,,,,,,"",""
ball,1,3.5,England,JC Buttler,JL Smith,JO Holder,0,0,,,,,,"",""
ball,1,3.6,England,JC Buttler,JL Smith,JO Holder,1,0,,,,,,"",""
ball,1,3.7,England,JL Smith,JC Buttler,JO Holder,0,0,,,,,,"",""
ball,1,4.1,England,JC Buttler,JL Smith,AD Russell,4,0,,,,,,"",""
ball,1,4.2,England,JC Buttler,JL Smith,AD Russell,3,0,,,,,,"",""
ball,1,4.3,England,JL Smith,JC Buttler,AD Russell,6,1,,1,,,,"",""
ball,1,4.4,England,JL Smith,JC Buttler,AD Russell,0,0,,,,,,"",""
ball,1,4.5,England,JL Smith,JC Buttler,AD Russell,1,0,,,,,,"",""
ball,1,4.6,England,JC Buttler,JL Smith,AD Russell,1,0,,,,,,"",""
ball,1,4.7,England,JL Smith,JC Buttler,AD Russell,6,0,,,,,,"",""
ball,1,5.1,England,JC Buttler,JL Smith,AS Joseph,6,0,,,,,,"",""
ball,1,5.2,England,JC Buttler,JL Smith,AS Joseph,6,0,,,,,,"",""
ball,1,5.3,England,JC Buttler,JL Smith,AS Joseph,4,0,,,,,,"",""
ball,1,5.4,England,JC Buttler,JL Smith,AS Joseph,6,0,,,,,,"",""
ball,1,5.5,England,JC Buttler,JL Smith,AS Joseph,1,0,,,,,,"",""
ball,1,5.6,England,JL Smith,JC Buttler,AS Joseph,0,0,,,,,,"",""
ball,1,6.1,England,JC Buttler,JL Smith,G Motie,1,0,,,,,,"",""
ball,1,6.2,England,JL Smith,JC Buttler,G Motie,1,0,,,,,,"",""
ball,1,6.3,England,JC Buttler,JL Smith,G Motie,2,0,,,,,,"",""
ball,1,6.4,England,JC Buttler,JL Smith,G Motie,1,0,,,,,,"",""
ball,1,6.5,England,JL Smith,JC Buttler,G Motie,1,0,,,,,,"",""
ball,1,6.6,England,JC Buttler,JL Smith,G Motie,1,0,,,,,,"",""
ball,1,7.1,England,JC Buttler,JL Smith,R Shepherd,0,1,1,,,,,"",""
ball,1,7.2,England,JC Buttler,JL Smith,R Shepherd,1,0,,,,,,"",""
ball,1,7.3,England,JL Smith,JC Buttler,R Shepherd,2,0,,,,,,"",""
ball,1,7.4,England,JL Smith,JC Buttler,R Shepherd,4,0,,,,,,"",""
ball,1,7.5,England,JL Smith,JC Buttler,R Shepherd,1,0,,,,,,"",""
ball,1,7.6,England,JC Buttler,JL Smith,R Shepherd,1,0,,,,,,"",""
ball,1,7.7,England,JL Smith,JC Buttler,R Shepherd,0,0,,,,,,caught,JL Smith
ball,1,8.1,England,JC Buttler,HC Brook,G Motie,1,0,,,,,,"",""
ball,1,8.2,England,HC Brook,JC Buttler,G Motie,0,0,,,,,,"",""
ball,1,8.3,England,HC Brook,JC Buttler,G Motie,1,0,,,,,,"",""
ball,1,8.4,England,JC Buttler,HC Brook,G Motie,1,0,,,,,,"",""
ball,1,8.5,England,HC Brook,JC Buttler,G Motie,1,0,,,,,,"",""
ball,1,8.6,England,JC Buttler,HC Brook,G Motie,0,0,,,,,,"",""
ball,1,9.1,England,HC Brook,JC Buttler,RL Chase,0,1,1,,,,,"",""
