version,1.7.0
info,balls_per_over,6
info,team,Qatar
info,team,Nepal
info,gender,female
info,season,2023
info,date,2023/09/04
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_number,17
info,venue,"UKM-YSD Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,I Barma
info,umpire,V Kalidas
info,umpire,VG Rathi
info,reserve_umpire,Sarika Prasad
info,match_referee,M Nayyar
info,winner,Nepal
info,winner_wickets,9
info,player,Qatar,Aleena Khan
info,player,Qatar,Khadija Imtiaz
info,player,Qatar,S Dhadwal
info,player,Qatar,Aysha
info,player,Qatar,A Mare
info,player,Qatar,T Kale
info,player,Qatar,SK Rana
info,player,Qatar,SA Panayan
info,player,Qatar,RS Quyn
info,player,Qatar,Shahreeennawab
info,player,Qatar,S Thapa
info,player,Nepal,K Shrestha
info,player,Nepal,SR Magar
info,player,Nepal,I Barma
info,player,Nepal,RC Belbashi
info,player,Nepal,Apsari Begam
info,player,Nepal,K Joshi
info,player,Nepal,I Bist
info,player,Nepal,B Rawal
info,player,Nepal,Puja Mahato
info,player,Nepal,K Dangol
info,player,Nepal,Samjhana Khadka
info,registry,people,A Mare,57a25400
info,registry,people,Aleena Khan,97f2faf0
info,registry,people,Apsari Begam,eb765b41
info,registry,people,Aysha,37ceee4e
info,registry,people,B Rawal,4d1cc284
info,registry,people,I Barma,521abce2
info,registry,people,I Bist,beccd5a1
info,registry,people,K Dangol,db080f9d
info,registry,people,K Joshi,0cd297b9
info,registry,people,K Shrestha,119de50f
info,registry,people,Khadija Imtiaz,1438d928
info,registry,people,M Nayyar,b7bccddb
info,registry,people,Puja Mahato,4b95058b
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,RS Quyn,41721f6b
info,registry,people,S Dhadwal,7e2c16a3
info,registry,people,S Thapa,36d3ed28
info,registry,people,SA Panayan,cad60789
info,registry,people,SK Rana,47884f8e
info,registry,people,SR Magar,61c22ad0
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Shahreeennawab,faa8843f
info,registry,people,T Kale,bc9bd4c6
info,registry,people,V Kalidas,42d76418
info,registry,people,VG Rathi,144e5b16
ball,1,0.1,Qatar,Aleena Khan,Khadija Imtiaz,Puja Mahato,0,0,,,,,,"",""
ball,1,0.2,Qatar,Aleena Khan,Khadija Imtiaz,Puja Mahato,1,0,,,,,,"",""
ball,1,0.3,Qatar,Khadija Imtiaz,Aleena Khan,Puja Mahato,0,0,,,,,,"",""
ball,1,0.4,Qatar,Khadija Imtiaz,Aleena Khan,Puja Mahato,0,0,,,,,,"",""
ball,1,0.5,Qatar,Khadija Imtiaz,Aleena Khan,Puja Mahato,4,0,,,,,,"",""
ball,1,0.6,Qatar,Khadija Imtiaz,Aleena Khan,Puja Mahato,0,0,,,,,,lbw,Khadija Imtiaz
ball,1,1.1,Qatar,Aleena Khan,S Dhadwal,I Bist,0,0,,,,,,"",""
ball,1,1.2,Qatar,Aleena Khan,S Dhadwal,I Bist,0,0,,,,,,"",""
ball,1,1.3,Qatar,Aleena Khan,S Dhadwal,I Bist,0,0,,,,,,"",""
ball,1,1.4,Qatar,Aleena Khan,S Dhadwal,I Bist,0,0,,,,,,"",""
ball,1,1.5,Qatar,Aleena Khan,S Dhadwal,I Bist,0,0,,,,,,"",""
ball,1,1.6,Qatar,Aleena Khan,S Dhadwal,I Bist,1,0,,,,,,"",""
ball,1,2.1,Qatar,Aleena Khan,S Dhadwal,Puja Mahato,0,0,,,,,,"",""
ball,1,2.2,Qatar,Aleena Khan,S Dhadwal,Puja Mahato,1,0,,,,,,"",""
ball,1,2.3,Qatar,S Dhadwal,Aleena Khan,Puja Mahato,0,0,,,,,,"",""
ball,1,2.4,Qatar,S Dhadwal,Aleena Khan,Puja Mahato,0,0,,,,,,"",""
ball,1,2.5,Qatar,S Dhadwal,Aleena Khan,Puja Mahato,0,0,,,,,,"",""
ball,1,2.6,Qatar,S Dhadwal,Aleena Khan,Puja Mahato,0,0,,,,,,"",""
ball,1,3.1,Qatar,Aleena Khan,S Dhadwal,I Bist,0,0,,,,,,"",""
ball,1,3.2,Qatar,Aleena Khan,S Dhadwal,I Bist,1,0,,,,,,"",""
ball,1,3.3,Qatar,S Dhadwal,Aleena Khan,I Bist,0,0,,,,,,"",""
ball,1,3.4,Qatar,S Dhadwal,Aleena Khan,I Bist,0,0,,,,,,"",""
