version,1.7.0
info,balls_per_over,6
info,team,Gibraltar
info,team,Jersey
info,gender,female
info,season,2024/25
info,date,2024/12/16
info,event,Jersey Women tour of Gibraltar
info,match_number,2
info,venue,Europa Sports Complex
info,city,Gibraltar
info,toss_winner,Jersey
info,toss_decision,field
info,player_of_match,A Merritt
info,winner,Jersey
info,winner_wickets,9
info,player,Gibraltar,AIV Benatar
info,player,Gibraltar,N Caruana
info,player,Gibraltar,CT McNally
info,player,Gibraltar,N Laguea
info,player,Gibraltar,EAS Ferrary
info,player,Gibraltar,LJ Payas
info,player,Gibraltar,RA Reilly
info,player,Gibraltar,YS Blagg
info,player,Gibraltar,P Raghunath
info,player,Gibraltar,H Mumford
info,player,Gibraltar,H Currie
info,player,Jersey,A Merritt
info,player,Jersey,A Aikenhead
info,player,Jersey,M Maguire
info,player,Jersey,O Bastin
info,player,Jersey,E Duffy
info,player,Jersey,CM Greechan
info,player,Jersey,L Greig
info,player,Jersey,G Mallett
info,player,Jersey,T Smith
info,player,Jersey,F Tanguy
info,player,Jersey,G Wetherall
info,registry,people,A Aikenhead,007f121f
info,registry,people,A Merritt,4c87bd01
info,registry,people,AIV Benatar,e8bdbbca
info,registry,people,CM Greechan,569bbcbb
info,registry,people,CT McNally,6a32ef43
info,registry,people,E Duffy,52bbb9e5
info,registry,people,EAS Ferrary,c3c905ae
info,registry,people,F Tanguy,c46400b7
info,registry,people,G Mallett,95bf6b2a
info,registry,people,G Wetherall,5c77d7cb
info,registry,people,H Currie,36ab1e76
info,registry,people,H Mumford,6462c64b
info,registry,people,L Greig,0e3e8ce3
info,registry,people,LJ Payas,49355360
info,registry,people,M Maguire,0441a1f5
info,registry,people,N Caruana,00d1544c
info,registry,people,N Laguea,13496389
info,registry,people,O Bastin,9b6dde07
info,registry,people,P Raghunath,2e287171
info,registry,people,RA Reilly,77276fff
info,registry,people,T Smith,f24ffaab
info,registry,people,YS Blagg,3aac5463
ball,1,0.1,Gibraltar,AIV Benatar,N Caruana,CM Greechan,0,1,1,,,,,"",""
ball,1,0.2,Gibraltar,AIV Benatar,N Caruana,CM Greechan,0,0,,,,,,"",""
ball,1,0.3,Gibraltar,AIV Benatar,N Caruana,CM Greechan,0,0,,,,,,"",""
ball,1,0.4,Gibraltar,AIV Benatar,N Caruana,CM Greechan,0,0,,,,,,"",""
ball,1,0.5,Gibraltar,AIV Benatar,N Caruana,CM Greechan,0,0,,,,,,"",""
ball,1,0.6,Gibraltar,AIV Benatar,N Caruana,CM Greechan,0,0,,,,,,"",""
ball,1,0.7,Gibraltar,AIV Benatar,N Caruana,CM Greechan,0,0,,,,,,"",""
ball,1,1.1,Gibraltar,N Caruana,AIV Benatar,G Wetherall,0,1,1,,,,,"",""
ball,1,1.2,Gibraltar,N Caruana,AIV Benatar,G Wetherall,0,0,,,,,,"",""
ball,1,1.3,Gibraltar,N Caruana,AIV Benatar,G Wetherall,0,0,,,,,,"",""
ball,1,1.4,Gibraltar,N Caruana,AIV Benatar,G Wetherall,0,0,,,,,,"",""
ball,1,1.5,Gibraltar,N Caruana,AIV Benatar,G Wetherall,0,0,,,,,,"",""
ball,1,1.6,Gibraltar,N Caruana,AIV Benatar,G Wetherall,0,0,,,,,,"",""
ball,1,1.7,Gibraltar,N Caruana,AIV Benatar,G Wetherall,0,1,1,,,,,"",""
ball,1,1.8,Gibraltar,N Caruana,AIV Benatar,G Wetherall,0,0,,,,,,"",""
ball,1,2.1,Gibraltar,AIV Benatar,N Caruana,CM Greechan,2,0,,,,,,"",""
ball,1,2.2,Gibraltar,AIV Benatar,N Caruana,CM Greechan,0,0,,,,,,"",""
ball,1,2.3,Gibraltar,AIV Benatar,N Caruana,CM Greechan,0,0,,,,,,"",""
ball,1,2.4,Gibraltar,AIV Benatar,N Caruana,CM Greechan,0,0,,,,,,"",""
