version,1.7.0
info,balls_per_over,6
info,team,Bulgaria
info,team,Serbia
info,gender,female
info,season,2024/25
info,date,2024/10/13
info,event,Bulgaria Women tour of Serbia
info,match_number,4
info,venue,Lisicji Jarak Cricket Ground
info,city,Belgrade
info,toss_winner,Serbia
info,toss_decision,field
info,winner,Serbia
info,winner_wickets,9
info,player,Bulgaria,B Shotorova
info,player,Bulgaria,G Ilarionova
info,player,Bulgaria,N Toleva
info,player,Bulgaria,K Srandeva
info,player,Bulgaria,V NIkolova
info,player,Bulgaria,D Ruynekova
info,player,Bulgaria,S Galabova
info,player,Bulgaria,I Stoilva
info,player,Bulgaria,K Paskova
info,player,Bulgaria,N Gocheva
info,player,Bulgaria,M Zdravkova
info,player,Serbia,M Nikolic
info,player,Serbia,M Perisic
info,player,Serbia,S Matijevic
info,player,Serbia,J Burton
info,player,Serbia,T Trajkovic
info,player,Serbia,T Martic
info,player,Serbia,N Nojic
info,player,Serbia,E Prokic
info,player,Serbia,S Simic
info,player,Serbia,M Trajkovi
info,player,Serbia,L Jevremovic
info,registry,people,B Shotorova,cbef9f64
info,registry,people,D Ruynekova,c3890e1e
info,registry,people,E Prokic,6153ce0d
info,registry,people,G Ilarionova,b56786e5
info,registry,people,I Stoilva,1a5070f6
info,registry,people,J Burton,0c430d1e
info,registry,people,K Paskova,c745f462
info,registry,people,K Srandeva,38602b15
info,registry,people,L Jevremovic,b98825d5
info,registry,people,M Nikolic,852f74c8
info,registry,people,M Perisic,81599c08
info,registry,people,M Trajkovi,2f208ab6
info,registry,people,M Zdravkova,d9645cab
info,registry,people,N Gocheva,1be8f244
info,registry,people,N Nojic,ef537c2e
info,registry,people,N Toleva,d381938d
info,registry,people,S Galabova,21bcbbdd
info,registry,people,S Matijevic,eae6959b
info,registry,people,S Simic,c219a3c4
info,registry,people,T Martic,1acf530e
info,registry,people,T Trajkovic,1e630426
info,registry,people,V NIkolova,078d1eb5
ball,1,0.1,Bulgaria,B Shotorova,G Ilarionova,T Trajkovic,0,0,,,,,,"",""
ball,1,0.2,Bulgaria,B Shotorova,G Ilarionova,T Trajkovic,0,0,,,,,,"",""
ball,1,0.3,Bulgaria,B Shotorova,G Ilarionova,T Trajkovic,0,0,,,,,,"",""
ball,1,0.4,Bulgaria,B Shotorova,G Ilarionova,T Trajkovic,0,0,,,,,,"",""
ball,1,0.5,Bulgaria,B Shotorova,G Ilarionova,T Trajkovic,0,0,,,,,,"",""
ball,1,0.6,Bulgaria,B Shotorova,G Ilarionova,T Trajkovic,0,0,,,,,,"",""
ball,1,1.1,Bulgaria,G Ilarionova,B Shotorova,N Nojic,1,0,,,,,,"",""
ball,1,1.2,Bulgaria,B Shotorova,G Ilarionova,N Nojic,0,1,1,,,,,"",""
ball,1,1.3,Bulgaria,B Shotorova,G Ilarionova,N Nojic,0,0,,,,,,"",""
ball,1,1.4,Bulgaria,B Shotorova,G Ilarionova,N Nojic,0,0,,,,,,"",""
ball,1,1.5,Bulgaria,B Shotorova,G Ilarionova,N Nojic,0,0,,,,,,"",""
ball,1,1.6,Bulgaria,B Shotorova,G Ilarionova,N Nojic,0,0,,,,,,"",""
ball,1,1.7,Bulgaria,B Shotorova,G Ilarionova,N Nojic,1,0,,,,,,"",""
ball,1,2.1,Bulgaria,B Shotorova,G Ilarionova,T Trajkovic,1,0,,,,,,"",""
ball,1,2.2,Bulgaria,G Ilarionova,B Shotorova,T Trajkovic,0,0,,,,,,lbw,G Ilarionova
ball,1,2.3,Bulgaria,N Toleva,B Shotorova,T Trajkovic,0,0,,,,,,"",""
ball,1,2.4,Bulgaria,N Toleva,B Shotorova,T Trajkovic,0,0,,,,,,"",""
ball,1,2.5,Bulgaria,N Toleva,B Shotorova,T Trajkovic,1,0,,,,,,"",""
ball,1,2.6,Bulgaria,B Shotorova,N Toleva,T Trajkovic,0,0,,,,,,"",""
