version,1.7.0
info,balls_per_over,6
info,team,France
info,team,Malta
info,gender,male
info,season,2023
info,date,2023/07/12
info,event,Valletta Cup
info,match_number,1
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,France
info,toss_decision,bat
info,player_of_match,Usman Khan
info,winner,France
info,winner_runs,30
info,player,France,G Mckeon
info,player,France,HA Jackson
info,player,France,Mukhtar Ghulami
info,player,France,L Canessane
info,player,France,Usman Khan
info,player,France,Noman Amjad
info,player,France,Ibrahim Jabarkhel
info,player,France,SM Warnakulasuriya
info,player,France,Rahmatullah Mangal
info,player,France,R Mangal
info,player,France,Dawood Ahmadzai
info,player,Malta,Zeeshan Khan
info,player,Malta,Fanyan Mughal
info,player,Malta,DR Patankar
info,player,Malta,G Thakur
info,player,Malta,Imran Ameer
info,player,Malta,VP Thamotharam
info,player,Malta,E Mathew
info,player,Malta,Waqas Ahmad
info,player,Malta,B Arora
info,player,Malta,C Sudarsanan
info,player,Malta,Washeem Abbas
info,registry,people,B Arora,39e9f0c9
info,registry,people,C Sudarsanan,391a825b
info,registry,people,DR Patankar,e661915c
info,registry,people,Dawood Ahmadzai,951686f5
info,registry,people,E Mathew,e00acf74
info,registry,people,Fanyan Mughal,e85bb4b3
info,registry,people,G Mckeon,31366b7e
info,registry,people,G Thakur,93720584
info,registry,people,HA Jackson,ee40679e
info,registry,people,Ibrahim Jabarkhel,c311564c
info,registry,people,Imran Ameer,b8e65260
info,registry,people,L Canessane,72a4c3b2
info,registry,people,Mukhtar Ghulami,d3b1d991
info,registry,people,Noman Amjad,c079c66a
info,registry,people,R Mangal,5360c9be
info,registry,people,Rahmatullah Mangal,ec106638
info,registry,people,SM Warnakulasuriya,8a5a8cf0
info,registry,people,Usman Khan,e8a552ef
info,registry,people,VP Thamotharam,eb40ed89
info,registry,people,Waqas Ahmad,82623a3a
info,registry,people,Washeem Abbas,6de4e430
info,registry,people,Zeeshan Khan,3f9b1a96
ball,1,0.1,France,G Mckeon,HA Jackson,Fanyan Mughal,0,0,,,,,,"",""
ball,1,0.2,France,G Mckeon,HA Jackson,Fanyan Mughal,4,0,,,,,,"",""
ball,1,0.3,France,G Mckeon,HA Jackson,Fanyan Mughal,0,0,,,,,,"",""
ball,1,0.4,France,G Mckeon,HA Jackson,Fanyan Mughal,0,0,,,,,,"",""
ball,1,0.5,France,G Mckeon,HA Jackson,Fanyan Mughal,0,1,1,,,,,"",""
ball,1,0.6,France,G Mckeon,HA Jackson,Fanyan Mughal,4,0,,,,,,"",""
ball,1,0.7,France,G Mckeon,HA Jackson,Fanyan Mughal,0,0,,,,,,"",""
ball,1,1.1,France,HA Jackson,G Mckeon,Washeem Abbas,0,0,,,,,,"",""
ball,1,1.2,France,HA Jackson,G Mckeon,Washeem Abbas,0,0,,,,,,"",""
ball,1,1.3,France,HA Jackson,G Mckeon,Washeem Abbas,0,0,,,,,,"",""
ball,1,1.4,France,HA Jackson,G Mckeon,Washeem Abbas,0,0,,,,,,"",""
ball,1,1.5,France,HA Jackson,G Mckeon,Washeem Abbas,0,0,,,,,,"",""
ball,1,1.6,France,HA Jackson,G Mckeon,Washeem Abbas,0,0,,,,,,"",""
ball,1,2.1,France,G Mckeon,HA Jackson,Fanyan Mughal,0,0,,,,,,"",""
ball,1,2.2,France,G Mckeon,HA Jackson,Fanyan Mughal,4,0,,,,,,"",""
ball,1,2.3,France,G Mckeon,HA Jackson,Fanyan Mughal,1,0,,,,,,"",""
ball,1,2.4,France,HA Jackson,G Mckeon,Fanyan Mughal,0,0,,,,,,"",""
ball,1,2.5,France,HA Jackson,G Mckeon,Fanyan Mughal,1,0,,,,,,"",""
ball,1,2.6,France,G Mckeon,HA Jackson,Fanyan Mughal,4,0,,,,,,"",""
ball,1,3.1,France,HA Jackson,G Mckeon,Washeem Abbas,3,0,,,,,,"",""
