version,1.7.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Indonesia
info,gender,female
info,season,2023/24
info,date,2024/02/14
info,event,Asian Cricket Council Women's Premier Cup
info,venue,"YSD-UKM Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,H Hotchandani
info,umpire,Saleema Imtiaz
info,umpire,Shathira Jakir
info,reserve_umpire,Nur Hijrah
info,tv_umpire,Ramasamy Venkatesh
info,match_referee,B Ramani
info,winner,United Arab Emirates
info,winner_runs,56
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,H Hotchandani
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,S Gokhale
info,player,United Arab Emirates,S Kotte
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,Mehak Thakur
info,player,Indonesia,NPAN Sakarini
info,player,Indonesia,NLKWR Dewi
info,player,Indonesia,M Corazon
info,player,Indonesia,Mia Arda
info,player,Indonesia,NKF Rada Rani
info,player,Indonesia,A Andriani
info,player,Indonesia,RD Pangestuti
info,player,Indonesia,NMP Suwandewi
info,player,Indonesia,NW Sariani
info,player,Indonesia,D Wulandari
info,player,Indonesia,NK Ariani
info,registry,people,A Andriani,e697d88c
info,registry,people,B Ramani,92ad5353
info,registry,people,D Wulandari,8c0d904e
info,registry,people,ER Oza,fdc6b34d
info,registry,people,H Hotchandani,f537d39c
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,M Corazon,0baa36e0
info,registry,people,Mehak Thakur,cf712c6d
info,registry,people,Mia Arda,6e60d58c
info,registry,people,NK Ariani,382377a4
info,registry,people,NKF Rada Rani,39f4084c
info,registry,people,NLKWR Dewi,d04fc4a4
info,registry,people,NMP Suwandewi,52b57a65
info,registry,people,NPAN Sakarini,72b5decf
info,registry,people,NW Sariani,e910d955
info,registry,people,Nur Hijrah,6c068720
info,registry,people,RD Pangestuti,63fc4b92
info,registry,people,Ramasamy Venkatesh,8ad68ea7
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Gokhale,62653085
info,registry,people,S Kotte,6c8904c8
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,Vaishnave Mahesh,31c56f40
ball,1,0.1,United Arab Emirates,ER Oza,KKN Egodage,NMP Suwandewi,0,0,,,,,,"",""
ball,1,0.2,United Arab Emirates,ER Oza,KKN Egodage,NMP Suwandewi,1,0,,,,,,"",""
ball,1,0.3,United Arab Emirates,ER Oza,KKN Egodage,NMP Suwandewi,0,1,1,,,,,"",""
ball,1,0.4,United Arab Emirates,ER Oza,KKN Egodage,NMP Suwandewi,0,0,,,,,,"",""
ball,1,0.5,United Arab Emirates,ER Oza,KKN Egodage,NMP Suwandewi,4,0,,,,,,"",""
ball,1,0.6,United Arab Emirates,ER Oza,KKN Egodage,NMP Suwandewi,0,0,,,,,,"",""
ball,1,0.7,United Arab Emirates,ER Oza,KKN Egodage,NMP Suwandewi,0,0,,,,,,"",""
ball,1,1.1,United Arab Emirates,KKN Egodage,ER Oza,D Wulandari,0,0,,,,,,"",""
ball,1,1.2,United Arab Emirates,KKN Egodage,ER Oza,D Wulandari,4,0,,,,,,"",""
ball,1,1.3,United Arab Emirates,KKN Egodage,ER Oza,D Wulandari,0,0,,,,,,"",""
ball,1,1.4,United Arab Emirates,KKN Egodage,ER Oza,D Wulandari,0,1,1,,,,,"",""
ball,1,1.5,United Arab Emirates,KKN Egodage,ER Oza,D Wulandari,0,0,,,,,,"",""
ball,1,1.6,United Arab Emirates,KKN Egodage,ER Oza,D Wulandari,0,1,1,,,,,"",""
ball,1,1.7,United Arab Emirates,KKN Egodage,ER Oza,D Wulandari,4,0,,,,,,"",""
ball,1,1.8,United Arab Emirates,KKN Egodage,ER Oza,D Wulandari,0,1,1,,,,,"",""
ball,1,1.9,United Arab Emirates,KKN Egodage,ER Oza,D Wulandari,1,0,,,,,,"",""
ball,1,2.1,United Arab Emirates,KKN Egodage,ER Oza,NMP Suwandewi,0,0,,,,,,"",""
ball,1,2.2,United Arab Emirates,KKN Egodage,ER Oza,NMP Suwandewi,0,0,,,,,,"",""
ball,1,2.3,United Arab Emirates,KKN Egodage,ER Oza,NMP Suwandewi,0,0,,,,,,"",""
ball,1,2.4,United Arab Emirates,KKN Egodage,ER Oza,NMP Suwandewi,0,0,,,,,,"",""
ball,1,2.5,United Arab Emirates,KKN Egodage,ER Oza,NMP Suwandewi,1,0,,,,,,"",""
ball,1,2.6,United Arab Emirates,ER Oza,KKN Egodage,NMP Suwandewi,0,0,,,,,,"",""
ball,1,3.1,United Arab Emirates,KKN Egodage,ER Oza,D Wulandari,0,0,,,,,,"",""
ball,1,3.2,United Arab Emirates,KKN Egodage,ER Oza,D Wulandari,1,0,,,,,,"",""
