version,1.7.0
info,balls_per_over,6
info,team,Bahrain
info,team,Saudi Arabia
info,gender,male
info,season,2024/25
info,date,2024/11/19
info,event,ICC Men's T20 World Cup Asia Qualifier B
info,match_number,3
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,Saudi Arabia
info,toss_decision,field
info,player_of_match,Abdul Waheed
info,umpire,Ahmed Shah Durrani
info,umpire,Akbar Ali
info,reserve_umpire,VG Rathi
info,match_referee,Ali Naqvi
info,winner,Bahrain
info,winner_runs,3
info,player,Bahrain,Umer Imtiaz
info,player,Bahrain,Asif Ali
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Fiaz Ahmed
info,player,Bahrain,Haider Butt
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Ali Dawood
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Abdul Majid Abbasi
info,player,Bahrain,Imran Khan
info,player,Saudi Arabia,Sajid Cheema
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Waji Ul Hassan
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,Abdul Wahid
info,player,Saudi Arabia,Usman Khalid
info,player,Saudi Arabia,S Sankar
info,player,Saudi Arabia,Zain Ul Abidin
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,Ishtiaq Ahmad
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Abdul Wahid,40aea524
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Akbar Ali,e753931d
info,registry,people,Ali Dawood,596982e6
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Asif Ali,0a4736eb
info,registry,people,Faisal Khan,a7553f15
info,registry,people,Fiaz Ahmed,df1f2f29
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Imran Khan,da3b91fd
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,Manan Ali,d0b643e1
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Sankar,69997d9d
info,registry,people,Sajid Cheema,b05cfcec
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,Umer Imtiaz,7b729851
info,registry,people,Usman Khalid,314f0889
info,registry,people,Usman Najeeb,615688b6
info,registry,people,VG Rathi,144e5b16
info,registry,people,Waji Ul Hassan,6892f9c3
info,registry,people,Zain Ul Abidin,b93b87ae
ball,1,0.1,Bahrain,Umer Imtiaz,Asif Ali,Ishtiaq Ahmad,1,0,,,,,,"",""
ball,1,0.2,Bahrain,Asif Ali,Umer Imtiaz,Ishtiaq Ahmad,1,0,,,,,,"",""
ball,1,0.3,Bahrain,Umer Imtiaz,Asif Ali,Ishtiaq Ahmad,0,1,1,,,,,"",""
ball,1,0.4,Bahrain,Umer Imtiaz,Asif Ali,Ishtiaq Ahmad,4,0,,,,,,"",""
ball,1,0.5,Bahrain,Umer Imtiaz,Asif Ali,Ishtiaq Ahmad,4,0,,,,,,"",""
ball,1,0.6,Bahrain,Umer Imtiaz,Asif Ali,Ishtiaq Ahmad,2,0,,,,,,"",""
ball,1,0.7,Bahrain,Umer Imtiaz,Asif Ali,Ishtiaq Ahmad,2,0,,,,,,"",""
ball,1,1.1,Bahrain,Asif Ali,Umer Imtiaz,Usman Najeeb,0,0,,,,,,"",""
ball,1,1.2,Bahrain,Asif Ali,Umer Imtiaz,Usman Najeeb,1,0,,,,,,"",""
ball,1,1.3,Bahrain,Umer Imtiaz,Asif Ali,Usman Najeeb,0,0,,,,,,bowled,Umer Imtiaz
ball,1,1.4,Bahrain,Imran Anwar,Asif Ali,Usman Najeeb,1,0,,,,,,"",""
ball,1,1.5,Bahrain,Asif Ali,Imran Anwar,Usman Najeeb,0,0,,,,,,lbw,Asif Ali
ball,1,1.6,Bahrain,Fiaz Ahmed,Imran Anwar,Usman Najeeb,2,0,,,,,,"",""
ball,1,2.1,Bahrain,Imran Anwar,Fiaz Ahmed,Ishtiaq Ahmad,2,0,,,,,,"",""
ball,1,2.2,Bahrain,Imran Anwar,Fiaz Ahmed,Ishtiaq Ahmad,2,0,,,,,,"",""
ball,1,2.3,Bahrain,Imran Anwar,Fiaz Ahmed,Ishtiaq Ahmad,0,1,,,,1,,"",""
ball,1,2.4,Bahrain,Fiaz Ahmed,Imran Anwar,Ishtiaq Ahmad,1,0,,,,,,"",""
ball,1,2.5,Bahrain,Imran Anwar,Fiaz Ahmed,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,2.6,Bahrain,Imran Anwar,Fiaz Ahmed,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,3.1,Bahrain,Fiaz Ahmed,Imran Anwar,Usman Najeeb,0,0,,,,,,"",""
ball,1,3.2,Bahrain,Fiaz Ahmed,Imran Anwar,Usman Najeeb,0,0,,,,,,"",""
ball,1,3.3,Bahrain,Fiaz Ahmed,Imran Anwar,Usman Najeeb,1,0,,,,,,"",""
