version,1.7.0
info,balls_per_over,6
info,team,Nigeria
info,team,Zimbabwe
info,gender,male
info,season,2023/24
info,date,2023/11/29
info,event,ICC Men's T20 World Cup Africa Region Qualifier
info,match_number,16
info,venue,"United Cricket Club Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Nigeria
info,toss_decision,bat
info,player_of_match,Sikandar Raza
info,umpire,A Louw
info,umpire,IO Oyieko
info,reserve_umpire,Lauren Agenbag
info,match_referee,GH Pienaar
info,winner,Zimbabwe
info,winner_wickets,6
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,AA Onikoyi
info,player,Nigeria,A Shreshta
info,player,Nigeria,AE Isesele
info,player,Nigeria,I Danladi
info,player,Nigeria,R Abdulkareem
info,player,Nigeria,SA Okpe
info,player,Nigeria,IO Okpe
info,player,Nigeria,P Useni
info,player,Nigeria,C Udekwe
info,player,Nigeria,Joshua Asia
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,NR Welch
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,B Muzarabani
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,CT Mumba
info,player,Zimbabwe,LM Jongwe
info,player,Zimbabwe,C Madande
info,registry,people,A Louw,5eecae5d
info,registry,people,A Shreshta,4e9af8f6
info,registry,people,AA Onikoyi,409ce380
info,registry,people,AE Isesele,5249f9c4
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,C Madande,3560a786
info,registry,people,C Udekwe,74a578d0
info,registry,people,CT Mumba,28496266
info,registry,people,GH Pienaar,3516e46b
info,registry,people,I Danladi,c156cc1f
info,registry,people,IO Okpe,1c5c3dce
info,registry,people,IO Oyieko,de4828fa
info,registry,people,Joshua Asia,c4ecc42c
info,registry,people,LM Jongwe,b8704508
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,NR Welch,74c6c6e0
info,registry,people,P Useni,71fa64d6
info,registry,people,R Abdulkareem,b9e07e44
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,SA Okpe,681f522f
info,registry,people,SC Williams,afe57f7a
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Sulaimon Runsewe,c25d26dc
info,registry,people,T Marumani,3d5d51a5
info,registry,people,W Madhevere,a879b92c
ball,1,0.1,Nigeria,Sulaimon Runsewe,AA Onikoyi,R Ngarava,0,0,,,,,,"",""
ball,1,0.2,Nigeria,Sulaimon Runsewe,AA Onikoyi,R Ngarava,1,0,,,,,,"",""
ball,1,0.3,Nigeria,AA Onikoyi,Sulaimon Runsewe,R Ngarava,2,0,,,,,,"",""
ball,1,0.4,Nigeria,AA Onikoyi,Sulaimon Runsewe,R Ngarava,1,0,,,,,,"",""
ball,1,0.5,Nigeria,Sulaimon Runsewe,AA Onikoyi,R Ngarava,0,0,,,,,,bowled,Sulaimon Runsewe
ball,1,0.6,Nigeria,A Shreshta,AA Onikoyi,R Ngarava,0,0,,,,,,"",""
ball,1,1.1,Nigeria,AA Onikoyi,A Shreshta,B Muzarabani,0,0,,,,,,"",""
ball,1,1.2,Nigeria,AA Onikoyi,A Shreshta,B Muzarabani,4,0,,,,,,"",""
ball,1,1.3,Nigeria,AA Onikoyi,A Shreshta,B Muzarabani,0,0,,,,,,caught,AA Onikoyi
ball,1,1.4,Nigeria,AE Isesele,A Shreshta,B Muzarabani,0,0,,,,,,"",""
ball,1,1.5,Nigeria,AE Isesele,A Shreshta,B Muzarabani,1,0,,,,,,"",""
ball,1,1.6,Nigeria,A Shreshta,AE Isesele,B Muzarabani,0,0,,,,,,"",""
ball,1,2.1,Nigeria,AE Isesele,A Shreshta,R Ngarava,4,0,,,,,,"",""
ball,1,2.2,Nigeria,AE Isesele,A Shreshta,R Ngarava,0,0,,,,,,"",""
ball,1,2.3,Nigeria,AE Isesele,A Shreshta,R Ngarava,1,0,,,,,,"",""
ball,1,2.4,Nigeria,A Shreshta,AE Isesele,R Ngarava,0,0,,,,,,"",""
ball,1,2.5,Nigeria,A Shreshta,AE Isesele,R Ngarava,1,0,,,,,,"",""
ball,1,2.6,Nigeria,AE Isesele,A Shreshta,R Ngarava,0,0,,,,,,"",""
ball,1,3.1,Nigeria,A Shreshta,AE Isesele,B Muzarabani,1,0,,,,,,"",""
ball,1,3.2,Nigeria,AE Isesele,A Shreshta,B Muzarabani,0,0,,,,,,"",""
ball,1,3.3,Nigeria,AE Isesele,A Shreshta,B Muzarabani,0,1,1,,,,,"",""
ball,1,3.4,Nigeria,AE Isesele,A Shreshta,B Muzarabani,1,0,,,,,,"",""
ball,1,3.5,Nigeria,A Shreshta,AE Isesele,B Muzarabani,1,0,,,,,,"",""
