version,1.7.0
info,balls_per_over,6
info,team,Germany
info,team,Gibraltar
info,gender,male
info,season,2024
info,date,2024/07/08
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier
info,match_number,3
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,Gibraltar
info,toss_decision,field
info,player_of_match,H Singh
info,umpire,DH Mclean
info,umpire,M Burns
info,reserve_umpire,N Bathi
info,match_referee,H Pack
info,winner,Germany
info,winner_runs,44
info,player,Germany,B Kohler-Cadmore
info,player,Germany,V Aritharan
info,player,Germany,Musaddiq Ahmed
info,player,Germany,Faisal Mubashir
info,player,Germany,H Singh
info,player,Germany,Fayaz Khan
info,player,Germany,Muslim Yar
info,player,Germany,Sajid Liaqat
info,player,Germany,Sachin Mandy
info,player,Germany,V Ganesan
info,player,Germany,Ghulam Ahmadi
info,player,Gibraltar,C Pyle
info,player,Gibraltar,L Bruce
info,player,Gibraltar,PA Raikes
info,player,Gibraltar,BA Pai
info,player,Gibraltar,KJ Stagno
info,player,Gibraltar,IDM Latin
info,player,Gibraltar,M Raikes
info,player,Gibraltar,K Mirpuri
info,player,Gibraltar,J Horrocks
info,player,Gibraltar,M Gouws
info,player,Gibraltar,S Bodha
info,registry,people,B Kohler-Cadmore,209e91e6
info,registry,people,BA Pai,716bf559
info,registry,people,C Pyle,d278b70b
info,registry,people,DH Mclean,281d4749
info,registry,people,Faisal Mubashir,ad5342dc
info,registry,people,Fayaz Khan,373954ca
info,registry,people,Ghulam Ahmadi,2dfe0612
info,registry,people,H Pack,fed53c91
info,registry,people,H Singh,8209da53
info,registry,people,IDM Latin,78f719ea
info,registry,people,J Horrocks,1c8cd1c3
info,registry,people,K Mirpuri,441006af
info,registry,people,KJ Stagno,46ad7e01
info,registry,people,L Bruce,2a03bd2f
info,registry,people,M Burns,b3bd0666
info,registry,people,M Gouws,018f6488
info,registry,people,M Raikes,a9b998d9
info,registry,people,Muslim Yar,37d8d19a
info,registry,people,Musaddiq Ahmed,f8fb7e7b
info,registry,people,N Bathi,96a0edf9
info,registry,people,PA Raikes,dfe5db8a
info,registry,people,S Bodha,00467a76
info,registry,people,Sachin Mandy,501fca0d
info,registry,people,Sajid Liaqat,b1b99a1a
info,registry,people,V Aritharan,ea86bc29
info,registry,people,V Ganesan,baa7dd37
ball,1,0.1,Germany,B Kohler-Cadmore,V Aritharan,BA Pai,0,0,,,,,,"",""
ball,1,0.2,Germany,B Kohler-Cadmore,V Aritharan,BA Pai,0,0,,,,,,"",""
ball,1,0.3,Germany,B Kohler-Cadmore,V Aritharan,BA Pai,0,0,,,,,,"",""
ball,1,0.4,Germany,B Kohler-Cadmore,V Aritharan,BA Pai,4,0,,,,,,"",""
ball,1,0.5,Germany,B Kohler-Cadmore,V Aritharan,BA Pai,0,0,,,,,,"",""
ball,1,0.6,Germany,B Kohler-Cadmore,V Aritharan,BA Pai,1,0,,,,,,"",""
ball,1,1.1,Germany,B Kohler-Cadmore,V Aritharan,S Bodha,1,0,,,,,,"",""
ball,1,1.2,Germany,V Aritharan,B Kohler-Cadmore,S Bodha,0,0,,,,,,"",""
ball,1,1.3,Germany,V Aritharan,B Kohler-Cadmore,S Bodha,2,0,,,,,,"",""
ball,1,1.4,Germany,V Aritharan,B Kohler-Cadmore,S Bodha,0,0,,,,,,"",""
ball,1,1.5,Germany,V Aritharan,B Kohler-Cadmore,S Bodha,0,0,,,,,,"",""
ball,1,1.6,Germany,V Aritharan,B Kohler-Cadmore,S Bodha,4,0,,,,,,"",""
ball,1,2.1,Germany,B Kohler-Cadmore,V Aritharan,BA Pai,2,0,,,,,,"",""
ball,1,2.2,Germany,B Kohler-Cadmore,V Aritharan,BA Pai,6,0,,,,,,"",""
ball,1,2.3,Germany,B Kohler-Cadmore,V Aritharan,BA Pai,0,0,,,,,,"",""
ball,1,2.4,Germany,B Kohler-Cadmore,V Aritharan,BA Pai,1,0,,,,,,"",""
ball,1,2.5,Germany,V Aritharan,B Kohler-Cadmore,BA Pai,1,0,,,,,,"",""
ball,1,2.6,Germany,B Kohler-Cadmore,V Aritharan,BA Pai,0,0,,,,,,"",""
ball,1,3.1,Germany,V Aritharan,B Kohler-Cadmore,S Bodha,6,0,,,,,,"",""
ball,1,3.2,Germany,V Aritharan,B Kohler-Cadmore,S Bodha,0,0,,,,,,bowled,V Aritharan
ball,1,3.3,Germany,Musaddiq Ahmed,B Kohler-Cadmore,S Bodha,0,0,,,,,,"",""
ball,1,3.4,Germany,Musaddiq Ahmed,B Kohler-Cadmore,S Bodha,0,0,,,,,,"",""
