version,1.7.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Pakistan
info,gender,female
info,season,2024
info,date,2024/07/23
info,event,Women's Asia Cup
info,match_number,9
info,venue,Rangiri Dambulla International Stadium
info,city,Dambulla
info,toss_winner,Pakistan
info,toss_decision,field
info,player_of_match,Gull Feroza
info,umpire,Nur Hijrah
info,umpire,VG Rathi
info,reserve_umpire,LDVV Silva
info,tv_umpire,Gayathri Venugopal
info,match_referee,GS Lakshmi
info,winner,Pakistan
info,winner_wickets,10
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,H Hotchandani
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,I Nandakumar
info,player,United Arab Emirates,S Kotte
info,player,Pakistan,Gull Feroza
info,player,Pakistan,Muneeba Ali
info,player,Pakistan,Sidra Ameen
info,player,Pakistan,Nida Dar
info,player,Pakistan,Umaima Sohail
info,player,Pakistan,Aliya Riaz
info,player,Pakistan,Fatima Sana
info,player,Pakistan,Tuba Hassan
info,player,Pakistan,Sadia Iqbal
info,player,Pakistan,Nashra Sandhu
info,player,Pakistan,Syeda Aroob Shah
info,registry,people,Aliya Riaz,2904b4b6
info,registry,people,ER Oza,fdc6b34d
info,registry,people,Fatima Sana,ea9c54de
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,Gull Feroza,9ff1e91e
info,registry,people,H Hotchandani,f537d39c
info,registry,people,I Nandakumar,9f87d0f0
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,L Keny,aea89d48
info,registry,people,LDVV Silva,6e226c31
info,registry,people,Muneeba Ali,86fdf668
info,registry,people,Nashra Sandhu,c981d3c2
info,registry,people,Nida Dar,ed840f44
info,registry,people,Nur Hijrah,6c068720
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Kotte,6c8904c8
info,registry,people,Sadia Iqbal,53bb50f0
info,registry,people,Sidra Ameen,72c9ad99
info,registry,people,Syeda Aroob Shah,4cf8708b
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,Tuba Hassan,0d56e9a5
info,registry,people,Umaima Sohail,821d7d46
info,registry,people,VG Rathi,144e5b16
info,registry,people,Vaishnave Mahesh,31c56f40
ball,1,0.1,United Arab Emirates,ER Oza,Theertha Satish,Fatima Sana,4,0,,,,,,"",""
ball,1,0.2,United Arab Emirates,ER Oza,Theertha Satish,Fatima Sana,0,0,,,,,,"",""
ball,1,0.3,United Arab Emirates,ER Oza,Theertha Satish,Fatima Sana,0,0,,,,,,"",""
ball,1,0.4,United Arab Emirates,ER Oza,Theertha Satish,Fatima Sana,0,0,,,,,,"",""
ball,1,0.5,United Arab Emirates,ER Oza,Theertha Satish,Fatima Sana,0,0,,,,,,"",""
ball,1,0.6,United Arab Emirates,ER Oza,Theertha Satish,Fatima Sana,1,0,,,,,,"",""
ball,1,1.1,United Arab Emirates,ER Oza,Theertha Satish,Sadia Iqbal,0,0,,,,,,"",""
ball,1,1.2,United Arab Emirates,ER Oza,Theertha Satish,Sadia Iqbal,0,0,,,,,,"",""
ball,1,1.3,United Arab Emirates,ER Oza,Theertha Satish,Sadia Iqbal,0,0,,,,,,"",""
ball,1,1.4,United Arab Emirates,ER Oza,Theertha Satish,Sadia Iqbal,0,0,,,,,,"",""
ball,1,1.5,United Arab Emirates,ER Oza,Theertha Satish,Sadia Iqbal,2,0,,,,,,"",""
ball,1,1.6,United Arab Emirates,ER Oza,Theertha Satish,Sadia Iqbal,0,0,,,,,,"",""
ball,1,2.1,United Arab Emirates,Theertha Satish,ER Oza,Fatima Sana,0,0,,,,,,"",""
ball,1,2.2,United Arab Emirates,Theertha Satish,ER Oza,Fatima Sana,0,0,,,,,,"",""
ball,1,2.3,United Arab Emirates,Theertha Satish,ER Oza,Fatima Sana,0,0,,,,,,"",""
ball,1,2.4,United Arab Emirates,Theertha Satish,ER Oza,Fatima Sana,0,0,,,,,,"",""
ball,1,2.5,United Arab Emirates,Theertha Satish,ER Oza,Fatima Sana,1,0,,,,,,"",""
ball,1,2.6,United Arab Emirates,ER Oza,Theertha Satish,Fatima Sana,4,0,,,,,,"",""
ball,1,3.1,United Arab Emirates,Theertha Satish,ER Oza,Umaima Sohail,0,0,,,,,,"",""
ball,1,3.2,United Arab Emirates,Theertha Satish,ER Oza,Umaima Sohail,0,0,,,,,,"",""
ball,1,3.3,United Arab Emirates,Theertha Satish,ER Oza,Umaima Sohail,2,0,,,,,,"",""
ball,1,3.4,United Arab Emirates,Theertha Satish,ER Oza,Umaima Sohail,4,0,,,,,,"",""
ball,1,3.5,United Arab Emirates,Theertha Satish,ER Oza,Umaima Sohail,0,0,,,,,,"",""
ball,1,3.6,United Arab Emirates,Theertha Satish,ER Oza,Umaima Sohail,0,0,,,,,,"",""
