version,1.7.0
info,balls_per_over,6
info,team,Canada
info,team,Netherlands
info,gender,male
info,season,2024
info,date,2024/08/26
info,event,Netherlands Tri-Nation T20I Series
info,match_number,4
info,venue,"Sportpark Maarschalkerweerd, Utrecht"
info,city,Utrecht
info,toss_winner,Netherlands
info,toss_decision,field
info,player_of_match,Saad Bin Zafar
info,umpire,N Bathi
info,umpire,Rizwan Akram
info,reserve_umpire,M Prabhudesa
info,match_referee,Philip Thompson
info,winner,Canada
info,winner_runs,8
info,player,Canada,A Johnson
info,player,Canada,R Pathan
info,player,Canada,NR Kirton
info,player,Canada,H Thaker
info,player,Canada,S Movva
info,player,Canada,Parveen Kumar
info,player,Canada,Ravinderpal Singh
info,player,Canada,Saad Bin Zafar
info,player,Canada,Akhil Kumar
info,player,Canada,D Heyliger
info,player,Canada,Kaleem Sana
info,player,Netherlands,M Levitt
info,player,Netherlands,MP O'Dowd
info,player,Netherlands,Vikramjit Singh
info,player,Netherlands,SA Edwards
info,player,Netherlands,ZB Lion-Cachet
info,player,Netherlands,NRJ Croes
info,player,Netherlands,R Klein
info,player,Netherlands,K Klein
info,player,Netherlands,PA van Meekeren
info,player,Netherlands,BD Glover
info,player,Netherlands,DT Doram
info,registry,people,A Johnson,a28a7fba
info,registry,people,Akhil Kumar,2feb5b8d
info,registry,people,BD Glover,0dbe27b8
info,registry,people,D Heyliger,f8c72766
info,registry,people,DT Doram,3bea1983
info,registry,people,H Thaker,c01d7726
info,registry,people,K Klein,374bb5e7
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,M Levitt,6a71ba3a
info,registry,people,M Prabhudesa,c36bcd1e
info,registry,people,MP O'Dowd,b699df47
info,registry,people,N Bathi,96a0edf9
info,registry,people,NR Kirton,6b75c2b1
info,registry,people,NRJ Croes,f427e63e
info,registry,people,PA van Meekeren,4557dc54
info,registry,people,Parveen Kumar,e6b3c3cc
info,registry,people,Philip Thompson,0c677650
info,registry,people,R Klein,ff1ec94d
info,registry,people,R Pathan,7c840f73
info,registry,people,Ravinderpal Singh,f80682f8
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,S Movva,ee229588
info,registry,people,SA Edwards,b59db04f
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Vikramjit Singh,2a9eee66
info,registry,people,ZB Lion-Cachet,d99de998
ball,1,0.1,Canada,A Johnson,R Pathan,K Klein,0,0,,,,,,"",""
ball,1,0.2,Canada,A Johnson,R Pathan,K Klein,0,0,,,,,,caught,A Johnson
ball,1,0.3,Canada,NR Kirton,R Pathan,K Klein,0,0,,,,,,"",""
ball,1,0.4,Canada,NR Kirton,R Pathan,K Klein,0,0,,,,,,"",""
ball,1,0.5,Canada,NR Kirton,R Pathan,K Klein,0,0,,,,,,"",""
ball,1,0.6,Canada,NR Kirton,R Pathan,K Klein,0,0,,,,,,"",""
ball,1,1.1,Canada,R Pathan,NR Kirton,PA van Meekeren,0,0,,,,,,"",""
ball,1,1.2,Canada,R Pathan,NR Kirton,PA van Meekeren,0,0,,,,,,bowled,R Pathan
ball,1,1.3,Canada,H Thaker,NR Kirton,PA van Meekeren,0,0,,,,,,"",""
ball,1,1.4,Canada,H Thaker,NR Kirton,PA van Meekeren,0,0,,,,,,"",""
ball,1,1.5,Canada,H Thaker,NR Kirton,PA van Meekeren,0,0,,,,,,"",""
ball,1,1.6,Canada,H Thaker,NR Kirton,PA van Meekeren,0,0,,,,,,"",""
ball,1,2.1,Canada,NR Kirton,H Thaker,K Klein,2,0,,,,,,"",""
ball,1,2.2,Canada,NR Kirton,H Thaker,K Klein,0,0,,,,,,"",""
ball,1,2.3,Canada,NR Kirton,H Thaker,K Klein,2,0,,,,,,"",""
ball,1,2.4,Canada,NR Kirton,H Thaker,K Klein,0,0,,,,,,"",""
ball,1,2.5,Canada,NR Kirton,H Thaker,K Klein,0,0,,,,,,"",""
ball,1,2.6,Canada,NR Kirton,H Thaker,K Klein,0,0,,,,,,"",""
ball,1,3.1,Canada,H Thaker,NR Kirton,PA van Meekeren,0,0,,,,,,"",""
ball,1,3.2,Canada,H Thaker,NR Kirton,PA van Meekeren,4,0,,,,,,"",""
ball,1,3.3,Canada,H Thaker,NR Kirton,PA van Meekeren,0,0,,,,,,"",""
ball,1,3.4,Canada,H Thaker,NR Kirton,PA van Meekeren,2,0,,,,,,"",""
ball,1,3.5,Canada,H Thaker,NR Kirton,PA van Meekeren,0,0,,,,,,"",""
ball,1,3.6,Canada,H Thaker,NR Kirton,PA van Meekeren,0,0,,,,,,"",""
ball,1,4.1,Canada,NR Kirton,H Thaker,K Klein,1,0,,,,,,"",""
