version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Singapore
info,gender,male
info,season,2022/23
info,date,2022/12/18
info,event,Quadrangular Twenty20 Series (Malaysia)
info,match_number,6
info,venue,"UKM-YSD Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Malaysia
info,toss_decision,bat
info,player_of_match,Virandeep Singh
info,umpire,T Senthil Kumar
info,umpire,V Kalidas
info,reserve_umpire,MA Muniandy
info,match_referee,Edwin Seah
info,winner,Malaysia
info,winner_runs,120
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Syed Aziz
info,player,Malaysia,S Muniandy
info,player,Malaysia,Khizar Hayat
info,player,Malaysia,Rizwan Haider
info,player,Malaysia,Mohamed Arief
info,player,Malaysia,Syed Rehmatullah
info,player,Malaysia,Fitri Sham
info,player,Malaysia,Muhammad Amir
info,player,Singapore,A Kaul
info,player,Singapore,S Chandramohan
info,player,Singapore,Aman Desai
info,player,Singapore,Manpreet Singh
info,player,Singapore,A Modi
info,player,Singapore,Janak Prakash
info,player,Singapore,U Aryaman Sunil
info,player,Singapore,Abdul Rahman
info,player,Singapore,V Baskaran
info,player,Singapore,AR Puri
info,player,Singapore,V Hampihallikar
info,registry,people,A Kaul,53d0b0dc
info,registry,people,A Modi,4edfc785
info,registry,people,AR Puri,1f490b28
info,registry,people,Abdul Rahman,12f53be7
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Aman Desai,c10fd8f9
info,registry,people,Edwin Seah,be24f868
info,registry,people,Fitri Sham,d2ec068c
info,registry,people,Janak Prakash,f092b4c7
info,registry,people,Khizar Hayat,78bbeba1
info,registry,people,MA Muniandy,bc8d4020
info,registry,people,Manpreet Singh,e9d6a2ce
info,registry,people,Mohamed Arief,1087dd78
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Rizwan Haider,dc60abdc
info,registry,people,S Chandramohan,2a6ccc1c
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,Syed Aziz,6667067e
info,registry,people,Syed Rehmatullah,fcbdc2b0
info,registry,people,T Senthil Kumar,961ddfac
info,registry,people,U Aryaman Sunil,13bc54a8
info,registry,people,V Baskaran,dd5a9067
info,registry,people,V Hampihallikar,241a104c
info,registry,people,V Kalidas,42d76418
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Zubaidi Zulkifle,dca8273d
ball,1,0.1,Malaysia,Zubaidi Zulkifle,Virandeep Singh,U Aryaman Sunil,0,0,,,,,,"",""
ball,1,0.2,Malaysia,Zubaidi Zulkifle,Virandeep Singh,U Aryaman Sunil,0,0,,,,,,"",""
ball,1,0.3,Malaysia,Zubaidi Zulkifle,Virandeep Singh,U Aryaman Sunil,0,0,,,,,,"",""
ball,1,0.4,Malaysia,Zubaidi Zulkifle,Virandeep Singh,U Aryaman Sunil,0,0,,,,,,"",""
ball,1,0.5,Malaysia,Zubaidi Zulkifle,Virandeep Singh,U Aryaman Sunil,6,0,,,,,,"",""
ball,1,0.6,Malaysia,Zubaidi Zulkifle,Virandeep Singh,U Aryaman Sunil,1,0,,,,,,"",""
ball,1,1.1,Malaysia,Zubaidi Zulkifle,Virandeep Singh,V Baskaran,1,0,,,,,,"",""
ball,1,1.2,Malaysia,Virandeep Singh,Zubaidi Zulkifle,V Baskaran,0,0,,,,,,"",""
ball,1,1.3,Malaysia,Virandeep Singh,Zubaidi Zulkifle,V Baskaran,0,0,,,,,,"",""
ball,1,1.4,Malaysia,Virandeep Singh,Zubaidi Zulkifle,V Baskaran,0,0,,,,,,"",""
ball,1,1.5,Malaysia,Virandeep Singh,Zubaidi Zulkifle,V Baskaran,0,0,,,,,,"",""
ball,1,1.6,Malaysia,Virandeep Singh,Zubaidi Zulkifle,V Baskaran,1,0,,,,,,"",""
ball,1,2.1,Malaysia,Virandeep Singh,Zubaidi Zulkifle,U Aryaman Sunil,0,0,,,,,,"",""
ball,1,2.2,Malaysia,Virandeep Singh,Zubaidi Zulkifle,U Aryaman Sunil,4,0,,,,,,"",""
ball,1,2.3,Malaysia,Virandeep Singh,Zubaidi Zulkifle,U Aryaman Sunil,4,0,,,,,,"",""
ball,1,2.4,Malaysia,Virandeep Singh,Zubaidi Zulkifle,U Aryaman Sunil,0,0,,,,,,"",""
ball,1,2.5,Malaysia,Virandeep Singh,Zubaidi Zulkifle,U Aryaman Sunil,0,0,,,,,,"",""
ball,1,2.6,Malaysia,Virandeep Singh,Zubaidi Zulkifle,U Aryaman Sunil,1,0,,,,,,"",""
ball,1,3.1,Malaysia,Virandeep Singh,Zubaidi Zulkifle,V Baskaran,6,0,,,,,,"",""
ball,1,3.2,Malaysia,Virandeep Singh,Zubaidi Zulkifle,V Baskaran,1,0,,,,,,"",""
