version,1.7.0
info,balls_per_over,6
info,team,Finland
info,team,Denmark
info,gender,male
info,season,2023
info,date,2023/05/19
info,event,Nordic T20 Cup
info,match_number,6
info,venue,"Svanholm Park, Brondby"
info,city,Brondby
info,toss_winner,Finland
info,toss_decision,bat
info,player_of_match,HAM Shah
info,umpire,AK Saini
info,umpire,Fareedoon Bhatti
info,winner,Denmark
info,winner_wickets,8
info,player,Finland,NG Collins
info,player,Finland,Jordan O'Brien
info,player,Finland,AK Mohan
info,player,Finland,VS Padhaal
info,player,Finland,Atif Rasheed
info,player,Finland,Amjad Sher
info,player,Finland,Faheem Nellancheri
info,player,Finland,PF Gallagher
info,player,Finland,MB Tambe
info,player,Finland,Akhil Arjunan
info,player,Finland,Raaz Mohammad
info,player,Denmark,Rizwan Mahmood
info,player,Denmark,HAM Shah
info,player,Denmark,S Thanikaithasan
info,player,Denmark,SA Ahmad
info,player,Denmark,Lucky Ali
info,player,Denmark,Saran Aslam
info,player,Denmark,M Kristensen
info,player,Denmark,Anique Uddin
info,player,Denmark,OD Hald
info,player,Denmark,Abdul Hashim
info,player,Denmark,Saud Munir
info,registry,people,AK Mohan,d55474ac
info,registry,people,AK Saini,894ebe7e
info,registry,people,Abdul Hashim,73b1db79
info,registry,people,Akhil Arjunan,2b203501
info,registry,people,Amjad Sher,3b4a8cfb
info,registry,people,Anique Uddin,1f41b702
info,registry,people,Atif Rasheed,c7726eec
info,registry,people,Faheem Nellancheri,6513502f
info,registry,people,Fareedoon Bhatti,534c3dbe
info,registry,people,HAM Shah,007113d7
info,registry,people,Jordan O'Brien,c31d7da1
info,registry,people,Lucky Ali,28b032ac
info,registry,people,M Kristensen,1e50426a
info,registry,people,MB Tambe,1c1bb0d5
info,registry,people,NG Collins,be3bdc15
info,registry,people,OD Hald,38189be1
info,registry,people,PF Gallagher,8e9d3dc4
info,registry,people,Raaz Mohammad,f83b77f9
info,registry,people,Rizwan Mahmood,56e771ef
info,registry,people,S Thanikaithasan,498aacac
info,registry,people,SA Ahmad,8de618ab
info,registry,people,Saran Aslam,2a00735b
info,registry,people,Saud Munir,5902f2eb
info,registry,people,VS Padhaal,c4fb0b39
ball,1,0.1,Finland,NG Collins,Jordan O'Brien,Lucky Ali,0,0,,,,,,"",""
ball,1,0.2,Finland,NG Collins,Jordan O'Brien,Lucky Ali,0,0,,,,,,"",""
ball,1,0.3,Finland,NG Collins,Jordan O'Brien,Lucky Ali,0,1,1,,,,,"",""
ball,1,0.4,Finland,NG Collins,Jordan O'Brien,Lucky Ali,1,0,,,,,,"",""
ball,1,0.5,Finland,Jordan O'Brien,NG Collins,Lucky Ali,1,0,,,,,,"",""
ball,1,0.6,Finland,NG Collins,Jordan O'Brien,Lucky Ali,0,0,,,,,,"",""
ball,1,0.7,Finland,NG Collins,Jordan O'Brien,Lucky Ali,1,0,,,,,,"",""
ball,1,1.1,Finland,NG Collins,Jordan O'Brien,OD Hald,2,0,,,,,,"",""
ball,1,1.2,Finland,NG Collins,Jordan O'Brien,OD Hald,0,0,,,,,,"",""
ball,1,1.3,Finland,NG Collins,Jordan O'Brien,OD Hald,0,0,,,,,,"",""
ball,1,1.4,Finland,NG Collins,Jordan O'Brien,OD Hald,4,0,,,,,,"",""
ball,1,1.5,Finland,NG Collins,Jordan O'Brien,OD Hald,0,1,,,1,,,"",""
ball,1,1.6,Finland,Jordan O'Brien,NG Collins,OD Hald,0,0,,,,,,"",""
ball,1,2.1,Finland,NG Collins,Jordan O'Brien,Lucky Ali,0,0,,,,,,"",""
ball,1,2.2,Finland,NG Collins,Jordan O'Brien,Lucky Ali,1,0,,,,,,"",""
ball,1,2.3,Finland,Jordan O'Brien,NG Collins,Lucky Ali,0,0,,,,,,"",""
ball,1,2.4,Finland,Jordan O'Brien,NG Collins,Lucky Ali,1,0,,,,,,"",""
ball,1,2.5,Finland,NG Collins,Jordan O'Brien,Lucky Ali,1,0,,,,,,"",""
ball,1,2.6,Finland,Jordan O'Brien,NG Collins,Lucky Ali,0,0,,,,,,"",""
ball,1,3.1,Finland,NG Collins,Jordan O'Brien,OD Hald,0,0,,,,,,"",""
ball,1,3.2,Finland,NG Collins,Jordan O'Brien,OD Hald,0,0,,,,,,"",""
ball,1,3.3,Finland,NG Collins,Jordan O'Brien,OD Hald,0,0,,,,,,"",""
