version,1.7.0
info,balls_per_over,6
info,team,Mali
info,team,Botswana
info,gender,male
info,season,2022/23
info,date,2022/11/22
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,17
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Botswana
info,toss_decision,field
info,player_of_match,D Maisuria
info,umpire,Patric Makumbi
info,umpire,R D'Mello
info,reserve_umpire,BM White
info,match_referee,S Wadvalla
info,winner,Botswana
info,winner_wickets,5
info,player,Mali,Mohamed Coulibaly
info,player,Mali,MS Diawara
info,player,Mali,TM Macalou
info,player,Mali,MS Diakite
info,player,Mali,MT Diaby
info,player,Mali,SG Diaby
info,player,Mali,M Sidibe
info,player,Mali,CA Keita
info,player,Mali,S Kamate
info,player,Mali,D Traore
info,player,Mali,L Sanogo
info,player,Botswana,K Motlanka
info,player,Botswana,V Balakrishnan
info,player,Botswana,T Perera
info,player,Botswana,P Silas
info,player,Botswana,R Mbaiwa
info,player,Botswana,K Piet
info,player,Botswana,R Nehonde
info,player,Botswana,B Kgosiemang
info,player,Botswana,D Maisuria
info,player,Botswana,B Khumalo
info,player,Botswana,M Mooketsi
info,registry,people,B Kgosiemang,059ec7a5
info,registry,people,B Khumalo,33ab1f1c
info,registry,people,BM White,66c21d35
info,registry,people,CA Keita,5b9b8d98
info,registry,people,D Maisuria,a96b36af
info,registry,people,D Traore,273be75a
info,registry,people,K Motlanka,21549344
info,registry,people,K Piet,39fd9295
info,registry,people,L Sanogo,abbc06cf
info,registry,people,M Mooketsi,008a024c
info,registry,people,M Sidibe,78091b14
info,registry,people,MS Diakite,69795fcd
info,registry,people,MS Diawara,8c95e2dd
info,registry,people,MT Diaby,5d00cd6f
info,registry,people,Mohamed Coulibaly,86ea6123
info,registry,people,P Silas,9f2e1944
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R D'Mello,f3c22863
info,registry,people,R Mbaiwa,5f789ff9
info,registry,people,R Nehonde,4393e047
info,registry,people,S Kamate,d7af6207
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SG Diaby,fe3e9880
info,registry,people,T Perera,456397e5
info,registry,people,TM Macalou,8a9320a1
info,registry,people,V Balakrishnan,0c1da0c4
ball,1,0.1,Mali,Mohamed Coulibaly,MS Diawara,M Mooketsi,0,1,1,,,,,"",""
ball,1,0.2,Mali,Mohamed Coulibaly,MS Diawara,M Mooketsi,0,0,,,,,,"",""
ball,1,0.3,Mali,Mohamed Coulibaly,MS Diawara,M Mooketsi,0,0,,,,,,"",""
ball,1,0.4,Mali,Mohamed Coulibaly,MS Diawara,M Mooketsi,0,0,,,,,,"",""
ball,1,0.5,Mali,Mohamed Coulibaly,MS Diawara,M Mooketsi,2,0,,,,,,"",""
ball,1,0.6,Mali,Mohamed Coulibaly,MS Diawara,M Mooketsi,0,0,,,,,,"",""
ball,1,0.7,Mali,Mohamed Coulibaly,MS Diawara,M Mooketsi,1,0,,,,,,run out,Mohamed Coulibaly
ball,1,1.1,Mali,MS Diawara,TM Macalou,B Kgosiemang,0,0,,,,,,"",""
ball,1,1.2,Mali,MS Diawara,TM Macalou,B Kgosiemang,0,0,,,,,,caught,MS Diawara
ball,1,1.3,Mali,MS Diakite,TM Macalou,B Kgosiemang,1,0,,,,,,"",""
ball,1,1.4,Mali,TM Macalou,MS Diakite,B Kgosiemang,0,0,,,,,,"",""
ball,1,1.5,Mali,TM Macalou,MS Diakite,B Kgosiemang,0,0,,,,,,"",""
ball,1,1.6,Mali,TM Macalou,MS Diakite,B Kgosiemang,0,0,,,,,,"",""
ball,1,2.1,Mali,MS Diakite,TM Macalou,M Mooketsi,1,0,,,,,,"",""
ball,1,2.2,Mali,TM Macalou,MS Diakite,M Mooketsi,2,0,,,,,,"",""
ball,1,2.3,Mali,TM Macalou,MS Diakite,M Mooketsi,0,0,,,,,,"",""
ball,1,2.4,Mali,TM Macalou,MS Diakite,M Mooketsi,0,0,,,,,,stumped,TM Macalou
ball,1,2.5,Mali,MT Diaby,MS Diakite,M Mooketsi,0,0,,,,,,"",""
ball,1,2.6,Mali,MT Diaby,MS Diakite,M Mooketsi,1,0,,,,,,"",""
ball,1,3.1,Mali,MT Diaby,MS Diakite,B Kgosiemang,4,0,,,,,,"",""
ball,1,3.2,Mali,MT Diaby,MS Diakite,B Kgosiemang,4,0,,,,,,"",""
ball,1,3.3,Mali,MT Diaby,MS Diakite,B Kgosiemang,0,0,,,,,,"",""
