version,1.7.0
info,balls_per_over,6
info,team,Oman
info,team,Canada
info,gender,male
info,season,2022/23
info,date,2022/11/20
info,event,Desert Cup T20I Series
info,match_number,11
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Canada
info,toss_decision,field
info,player_of_match,A Johnson
info,umpire,Azad KR
info,umpire,Vinod Babu
info,tv_umpire,M Surve
info,match_referee,Jeevan Amana
info,winner,Canada
info,winner_wickets,3
info,player,Oman,KH Prajapati
info,player,Oman,Jatinder Singh
info,player,Oman,Shoaib Khan
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Mohammad Nadeem
info,player,Oman,Rafiullah
info,player,Oman,Sandeep Goud
info,player,Oman,Suraj Kumar
info,player,Oman,Kaleemullah
info,player,Oman,S Shrivastava
info,player,Oman,Bilal Khan
info,player,Canada,A Johnson
info,player,Canada,M Spoors
info,player,Canada,SA Wijeratne
info,player,Canada,Pargat Singh
info,player,Canada,H Thaker
info,player,Canada,Saad Bin Zafar
info,player,Canada,Ravinderpal Singh
info,player,Canada,N Dutta
info,player,Canada,D Heyliger
info,player,Canada,Kaleem Sana
info,player,Canada,Ammar Khalid
info,registry,people,A Johnson,a28a7fba
info,registry,people,Ammar Khalid,af98bf5b
info,registry,people,Azad KR,d620b86a
info,registry,people,Bilal Khan,dcdb87f2
info,registry,people,D Heyliger,f8c72766
info,registry,people,H Thaker,c01d7726
info,registry,people,Jatinder Singh,b80dd12c
info,registry,people,Jeevan Amana,327abda5
info,registry,people,KH Prajapati,c4e73ff1
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,Kaleemullah,72253b87
info,registry,people,M Spoors,da4a1e46
info,registry,people,M Surve,f5df456a
info,registry,people,Mohammad Nadeem,c5d7b244
info,registry,people,N Dutta,e258a603
info,registry,people,Pargat Singh,d2e67105
info,registry,people,Rafiullah,369cc49c
info,registry,people,Ravinderpal Singh,f80682f8
info,registry,people,S Shrivastava,ac166f77
info,registry,people,SA Wijeratne,5fbd0632
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Sandeep Goud,4e1c9f6e
info,registry,people,Shoaib Khan,21afb939
info,registry,people,Suraj Kumar,bb9d73d8
info,registry,people,Vinod Babu,37e6187d
info,registry,people,Zeeshan Maqsood,34464143
ball,1,0.1,Oman,KH Prajapati,Jatinder Singh,Kaleem Sana,0,0,,,,,,"",""
ball,1,0.2,Oman,KH Prajapati,Jatinder Singh,Kaleem Sana,0,0,,,,,,"",""
ball,1,0.3,Oman,KH Prajapati,Jatinder Singh,Kaleem Sana,0,0,,,,,,"",""
ball,1,0.4,Oman,KH Prajapati,Jatinder Singh,Kaleem Sana,1,0,,,,,,"",""
ball,1,0.5,Oman,Jatinder Singh,KH Prajapati,Kaleem Sana,0,0,,,,,,"",""
ball,1,0.6,Oman,Jatinder Singh,KH Prajapati,Kaleem Sana,4,0,,,,,,"",""
ball,1,1.1,Oman,KH Prajapati,Jatinder Singh,Ammar Khalid,0,0,,,,,,"",""
ball,1,1.2,Oman,KH Prajapati,Jatinder Singh,Ammar Khalid,0,0,,,,,,"",""
ball,1,1.3,Oman,KH Prajapati,Jatinder Singh,Ammar Khalid,0,0,,,,,,"",""
ball,1,1.4,Oman,KH Prajapati,Jatinder Singh,Ammar Khalid,1,0,,,,,,"",""
ball,1,1.5,Oman,Jatinder Singh,KH Prajapati,Ammar Khalid,0,0,,,,,,"",""
ball,1,1.6,Oman,Jatinder Singh,KH Prajapati,Ammar Khalid,0,0,,,,,,"",""
ball,1,2.1,Oman,KH Prajapati,Jatinder Singh,Kaleem Sana,0,0,,,,,,"",""
ball,1,2.2,Oman,KH Prajapati,Jatinder Singh,Kaleem Sana,0,1,1,,,,,"",""
ball,1,2.3,Oman,KH Prajapati,Jatinder Singh,Kaleem Sana,6,0,,,,,,"",""
ball,1,2.4,Oman,KH Prajapati,Jatinder Singh,Kaleem Sana,0,1,1,,,,,"",""
ball,1,2.5,Oman,KH Prajapati,Jatinder Singh,Kaleem Sana,1,0,,,,,,"",""
ball,1,2.6,Oman,Jatinder Singh,KH Prajapati,Kaleem Sana,0,1,1,,,,,"",""
ball,1,2.7,Oman,Jatinder Singh,KH Prajapati,Kaleem Sana,0,1,,,,1,,"",""
ball,1,2.8,Oman,KH Prajapati,Jatinder Singh,Kaleem Sana,0,0,,,,,,bowled,KH Prajapati
ball,1,2.9,Oman,Shoaib Khan,Jatinder Singh,Kaleem Sana,0,0,,,,,,"",""
ball,1,3.1,Oman,Jatinder Singh,Shoaib Khan,D Heyliger,0,0,,,,,,"",""
ball,1,3.2,Oman,Jatinder Singh,Shoaib Khan,D Heyliger,0,0,,,,,,"",""
ball,1,3.3,Oman,Jatinder Singh,Shoaib Khan,D Heyliger,0,0,,,,,,"",""
ball,1,3.4,Oman,Jatinder Singh,Shoaib Khan,D Heyliger,0,0,,,,,,"",""
