version,1.7.0
info,balls_per_over,6
info,team,West Indies
info,team,Pakistan
info,gender,female
info,season,2024
info,date,2024/04/30
info,event,West Indies Women tour of Pakistan
info,match_number,3
info,venue,"National Stadium, Karachi"
info,city,Karachi
info,toss_winner,Pakistan
info,toss_decision,field
info,player_of_match,HK Matthews
info,umpire,CA Polosak
info,umpire,Faisal Afridi
info,reserve_umpire,Afia Amin
info,tv_umpire,Tariq Rasheed
info,match_referee,Muhammad Javed
info,winner,West Indies
info,winner_runs,2
info,player,West Indies,HK Matthews
info,player,West Indies,RS Williams
info,player,West Indies,SA Campbelle
info,player,West Indies,CN Nation
info,player,West Indies,CA Henry
info,player,West Indies,AA Alleyne
info,player,West Indies,ASS Fletcher
info,player,West Indies,Z James
info,player,West Indies,CS Fraser
info,player,West Indies,SS Connell
info,player,West Indies,K Ramharack
info,player,Pakistan,Ayesha Zafar
info,player,Pakistan,Sidra Ameen
info,player,Pakistan,Muneeba Ali
info,player,Pakistan,Nida Dar
info,player,Pakistan,Aliya Riaz
info,player,Pakistan,Fatima Sana
info,player,Pakistan,Natalia Pervaiz
info,player,Pakistan,Najiha Alvi
info,player,Pakistan,Tuba Hassan
info,player,Pakistan,Rameen Shamim
info,player,Pakistan,Sadia Iqbal
info,registry,people,AA Alleyne,4b0e3049
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,Afia Amin,7fc47de1
info,registry,people,Aliya Riaz,2904b4b6
info,registry,people,Ayesha Zafar,e15f4fa4
info,registry,people,CA Henry,75820733
info,registry,people,CA Polosak,26a360d2
info,registry,people,CN Nation,639000b6
info,registry,people,CS Fraser,fb9a8cc3
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,Fatima Sana,ea9c54de
info,registry,people,HK Matthews,d32cf49a
info,registry,people,K Ramharack,321c980e
info,registry,people,Muhammad Javed,bde2d0ea
info,registry,people,Muneeba Ali,86fdf668
info,registry,people,Najiha Alvi,faef39c1
info,registry,people,Natalia Pervaiz,fa8a3eb0
info,registry,people,Nida Dar,ed840f44
info,registry,people,RS Williams,406de451
info,registry,people,Rameen Shamim,0b78b7c1
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SS Connell,2f9a6bd1
info,registry,people,Sadia Iqbal,53bb50f0
info,registry,people,Sidra Ameen,72c9ad99
info,registry,people,Tariq Rasheed,1008518c
info,registry,people,Tuba Hassan,0d56e9a5
info,registry,people,Z James,816af623
ball,1,0.1,West Indies,HK Matthews,RS Williams,Sadia Iqbal,1,0,,,,,,"",""
ball,1,0.2,West Indies,RS Williams,HK Matthews,Sadia Iqbal,0,0,,,,,,"",""
ball,1,0.3,West Indies,RS Williams,HK Matthews,Sadia Iqbal,0,0,,,,,,"",""
ball,1,0.4,West Indies,RS Williams,HK Matthews,Sadia Iqbal,0,0,,,,,,"",""
ball,1,0.5,West Indies,RS Williams,HK Matthews,Sadia Iqbal,0,0,,,,,,"",""
ball,1,0.6,West Indies,RS Williams,HK Matthews,Sadia Iqbal,0,0,,,,,,"",""
ball,1,1.1,West Indies,HK Matthews,RS Williams,Fatima Sana,0,0,,,,,,"",""
ball,1,1.2,West Indies,HK Matthews,RS Williams,Fatima Sana,0,0,,,,,,"",""
ball,1,1.3,West Indies,HK Matthews,RS Williams,Fatima Sana,0,0,,,,,,"",""
ball,1,1.4,West Indies,HK Matthews,RS Williams,Fatima Sana,0,0,,,,,,"",""
ball,1,1.5,West Indies,HK Matthews,RS Williams,Fatima Sana,2,0,,,,,,"",""
ball,1,1.6,West Indies,HK Matthews,RS Williams,Fatima Sana,1,0,,,,,,"",""
ball,1,2.1,West Indies,HK Matthews,RS Williams,Sadia Iqbal,4,0,,,,,,"",""
ball,1,2.2,West Indies,HK Matthews,RS Williams,Sadia Iqbal,1,0,,,,,,"",""
ball,1,2.3,West Indies,RS Williams,HK Matthews,Sadia Iqbal,1,0,,,,,,"",""
ball,1,2.4,West Indies,HK Matthews,RS Williams,Sadia Iqbal,0,0,,,,,,"",""
ball,1,2.5,West Indies,HK Matthews,RS Williams,Sadia Iqbal,1,0,,,,,,"",""
ball,1,2.6,West Indies,RS Williams,HK Matthews,Sadia Iqbal,0,0,,,,,,"",""
ball,1,3.1,West Indies,HK Matthews,RS Williams,Fatima Sana,4,0,,,,,,"",""
ball,1,3.2,West Indies,HK Matthews,RS Williams,Fatima Sana,1,0,,,,,,"",""
ball,1,3.3,West Indies,RS Williams,HK Matthews,Fatima Sana,0,0,,,,,,"",""
ball,1,3.4,West Indies,RS Williams,HK Matthews,Fatima Sana,0,1,1,,,,,"",""
ball,1,3.5,West Indies,RS Williams,HK Matthews,Fatima Sana,0,1,1,,,,,"",""
ball,1,3.6,West Indies,RS Williams,HK Matthews,Fatima Sana,0,0,,,,,,bowled,RS Williams
