version,1.7.0
info,balls_per_over,6
info,team,Australia
info,team,Scotland
info,gender,male
info,season,2024
info,date,2024/09/06
info,event,Australia tour of Scotland
info,match_number,2
info,venue,"Grange Cricket Club Ground, Raeburn Place, Edinburgh"
info,city,Edinburgh
info,toss_winner,Scotland
info,toss_decision,field
info,player_of_match,JP Inglis
info,umpire,I McDonald
info,umpire,Ryan Milne
info,reserve_umpire,DH Mclean
info,match_referee,RB Richardson
info,winner,Australia
info,winner_runs,70
info,player,Australia,J Fraser-McGurk
info,player,Australia,TM Head
info,player,Australia,JP Inglis
info,player,Australia,C Green
info,player,Australia,MP Stoinis
info,player,Australia,TH David
info,player,Australia,MR Marsh
info,player,Australia,SA Abbott
info,player,Australia,XC Bartlett
info,player,Australia,A Zampa
info,player,Australia,AM Hardie
info,player,Scotland,HG Munsey
info,player,Scotland,MA Jones
info,player,Scotland,BJ McMullen
info,player,Scotland,RD Berrington
info,player,Scotland,C Tear
info,player,Scotland,MA Leask
info,player,Scotland,MRJ Watt
info,player,Scotland,CN Greaves
info,player,Scotland,CB Sole
info,player,Scotland,BTJ Wheal
info,player,Scotland,BJ Currie
info,registry,people,A Zampa,14f96089
info,registry,people,AM Hardie,d405c0d5
info,registry,people,BJ Currie,2ecd844a
info,registry,people,BJ McMullen,436c763a
info,registry,people,BTJ Wheal,3f61a062
info,registry,people,C Green,eaa76d3c
info,registry,people,C Tear,7ffe4817
info,registry,people,CB Sole,469ccead
info,registry,people,CN Greaves,f42064d5
info,registry,people,DH Mclean,281d4749
info,registry,people,HG Munsey,ff014c34
info,registry,people,I McDonald,37b55799
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JP Inglis,989889ff
info,registry,people,MA Jones,05f96194
info,registry,people,MA Leask,28131839
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MRJ Watt,1252f71a
info,registry,people,RB Richardson,410e2f12
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,Ryan Milne,d2343b26
info,registry,people,SA Abbott,1a2676c5
info,registry,people,TH David,f1f99156
info,registry,people,TM Head,12b610c2
info,registry,people,XC Bartlett,3b53243a
ball,1,0.1,Australia,J Fraser-McGurk,TM Head,BJ McMullen,4,0,,,,,,"",""
ball,1,0.2,Australia,J Fraser-McGurk,TM Head,BJ McMullen,0,0,,,,,,"",""
ball,1,0.3,Australia,J Fraser-McGurk,TM Head,BJ McMullen,0,0,,,,,,"",""
ball,1,0.4,Australia,J Fraser-McGurk,TM Head,BJ McMullen,0,0,,,,,,"",""
ball,1,0.5,Australia,J Fraser-McGurk,TM Head,BJ McMullen,0,0,,,,,,"",""
ball,1,0.6,Australia,J Fraser-McGurk,TM Head,BJ McMullen,1,0,,,,,,"",""
ball,1,1.1,Australia,J Fraser-McGurk,TM Head,BJ Currie,0,0,,,,,,"",""
ball,1,1.2,Australia,J Fraser-McGurk,TM Head,BJ Currie,4,0,,,,,,"",""
ball,1,1.3,Australia,J Fraser-McGurk,TM Head,BJ Currie,1,0,,,,,,"",""
ball,1,1.4,Australia,TM Head,J Fraser-McGurk,BJ Currie,0,1,1,,,,,"",""
ball,1,1.5,Australia,TM Head,J Fraser-McGurk,BJ Currie,0,0,,,,,,bowled,TM Head
ball,1,1.6,Australia,JP Inglis,J Fraser-McGurk,BJ Currie,0,1,1,,,,,"",""
ball,1,1.7,Australia,JP Inglis,J Fraser-McGurk,BJ Currie,4,0,,,,,,"",""
ball,1,1.8,Australia,JP Inglis,J Fraser-McGurk,BJ Currie,0,0,,,,,,"",""
ball,1,2.1,Australia,J Fraser-McGurk,JP Inglis,BJ McMullen,4,0,,,,,,"",""
ball,1,2.2,Australia,J Fraser-McGurk,JP Inglis,BJ McMullen,0,0,,,,,,"",""
ball,1,2.3,Australia,J Fraser-McGurk,JP Inglis,BJ McMullen,0,0,,,,,,"",""
ball,1,2.4,Australia,J Fraser-McGurk,JP Inglis,BJ McMullen,0,0,,,,,,"",""
ball,1,2.5,Australia,J Fraser-McGurk,JP Inglis,BJ McMullen,0,0,,,,,,"",""
ball,1,2.6,Australia,J Fraser-McGurk,JP Inglis,BJ McMullen,2,0,,,,,,"",""
ball,1,3.1,Australia,JP Inglis,J Fraser-McGurk,BJ Currie,1,0,,,,,,"",""
