version,1.7.0
info,balls_per_over,6
info,team,Pakistan
info,team,Australia
info,gender,female
info,season,2024/25
info,date,2024/10/11
info,event,ICC Women's T20 World Cup
info,match_number,14
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,Australia
info,toss_decision,field
info,player_of_match,A Gardner
info,umpire,AY Harris
info,umpire,VG Rathi
info,reserve_umpire,JM Williams
info,tv_umpire,Kim Cotton
info,match_referee,JM Pereira
info,winner,Australia
info,winner_wickets,9
info,player,Pakistan,Muneeba Ali
info,player,Pakistan,Sidra Ameen
info,player,Pakistan,Sadaf Shamas
info,player,Pakistan,Nida Dar
info,player,Pakistan,Umaima Sohail
info,player,Pakistan,Aliya Riaz
info,player,Pakistan,Iram Javed
info,player,Pakistan,Tuba Hassan
info,player,Pakistan,Syeda Aroob Shah
info,player,Pakistan,Nashra Sandhu
info,player,Pakistan,Sadia Iqbal
info,player,Australia,BL Mooney
info,player,Australia,AJ Healy
info,player,Australia,EA Perry
info,player,Australia,A Gardner
info,player,Australia,P Litchfield
info,player,Australia,TM McGrath
info,player,Australia,G Wareham
info,player,Australia,A Sutherland
info,player,Australia,S Molineux
info,player,Australia,ML Schutt
info,player,Australia,TJ Vlaeminck
info,registry,people,A Gardner,bc969efb
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AJ Healy,321644de
info,registry,people,AY Harris,90d95b82
info,registry,people,Aliya Riaz,2904b4b6
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,EA Perry,be150fc8
info,registry,people,G Wareham,f0b4e47d
info,registry,people,Iram Javed,dc596fac
info,registry,people,JM Pereira,f9a4a039
info,registry,people,JM Williams,b61d9d70
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,ML Schutt,17608a6f
info,registry,people,Muneeba Ali,86fdf668
info,registry,people,Nashra Sandhu,c981d3c2
info,registry,people,Nida Dar,ed840f44
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,S Molineux,99e23670
info,registry,people,Sadaf Shamas,f19c8dc0
info,registry,people,Sadia Iqbal,53bb50f0
info,registry,people,Sidra Ameen,72c9ad99
info,registry,people,Syeda Aroob Shah,4cf8708b
info,registry,people,TJ Vlaeminck,ef70a34b
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,Tuba Hassan,0d56e9a5
info,registry,people,Umaima Sohail,821d7d46
info,registry,people,VG Rathi,144e5b16
ball,1,0.1,Pakistan,Muneeba Ali,Sidra Ameen,ML Schutt,0,0,,,,,,"",""
ball,1,0.2,Pakistan,Muneeba Ali,Sidra Ameen,ML Schutt,0,0,,,,,,"",""
ball,1,0.3,Pakistan,Muneeba Ali,Sidra Ameen,ML Schutt,0,0,,,,,,"",""
ball,1,0.4,Pakistan,Muneeba Ali,Sidra Ameen,ML Schutt,2,0,,,,,,"",""
ball,1,0.5,Pakistan,Muneeba Ali,Sidra Ameen,ML Schutt,0,0,,,,,,"",""
ball,1,0.6,Pakistan,Muneeba Ali,Sidra Ameen,ML Schutt,0,0,,,,,,"",""
ball,1,1.1,Pakistan,Sidra Ameen,Muneeba Ali,A Gardner,1,0,,,,,,"",""
ball,1,1.2,Pakistan,Muneeba Ali,Sidra Ameen,A Gardner,2,0,,,,,,"",""
ball,1,1.3,Pakistan,Muneeba Ali,Sidra Ameen,A Gardner,1,0,,,,,,"",""
ball,1,1.4,Pakistan,Sidra Ameen,Muneeba Ali,A Gardner,0,0,,,,,,"",""
ball,1,1.5,Pakistan,Sidra Ameen,Muneeba Ali,A Gardner,2,0,,,,,,"",""
ball,1,1.6,Pakistan,Sidra Ameen,Muneeba Ali,A Gardner,1,0,,,,,,"",""
ball,1,2.1,Pakistan,Sidra Ameen,Muneeba Ali,ML Schutt,0,0,,,,,,"",""
ball,1,2.2,Pakistan,Sidra Ameen,Muneeba Ali,ML Schutt,1,0,,,,,,"",""
ball,1,2.3,Pakistan,Muneeba Ali,Sidra Ameen,ML Schutt,0,0,,,,,,"",""
ball,1,2.4,Pakistan,Muneeba Ali,Sidra Ameen,ML Schutt,1,0,,,,,,"",""
ball,1,2.5,Pakistan,Sidra Ameen,Muneeba Ali,ML Schutt,0,0,,,,,,"",""
ball,1,2.6,Pakistan,Sidra Ameen,Muneeba Ali,ML Schutt,0,0,,,,,,"",""
ball,1,3.1,Pakistan,Muneeba Ali,Sidra Ameen,S Molineux,1,0,,,,,,"",""
ball,1,3.2,Pakistan,Sidra Ameen,Muneeba Ali,S Molineux,0,0,,,,,,"",""
ball,1,3.3,Pakistan,Sidra Ameen,Muneeba Ali,S Molineux,1,0,,,,,,"",""
ball,1,3.4,Pakistan,Muneeba Ali,Sidra Ameen,S Molineux,0,0,,,,,,caught,Muneeba Ali
ball,1,3.5,Pakistan,Sadaf Shamas,Sidra Ameen,S Molineux,0,0,,,,,,"",""
ball,1,3.6,Pakistan,Sadaf Shamas,Sidra Ameen,S Molineux,2,0,,,,,,"",""
ball,1,4.1,Pakistan,Sidra Ameen,Sadaf Shamas,ML Schutt,1,0,,,,,,"",""
ball,1,4.2,Pakistan,Sadaf Shamas,Sidra Ameen,ML Schutt,0,0,,,,,,"",""
ball,1,4.3,Pakistan,Sadaf Shamas,Sidra Ameen,ML Schutt,1,0,,,,,,"",""
ball,1,4.4,Pakistan,Sidra Ameen,Sadaf Shamas,ML Schutt,1,0,,,,,,"",""
ball,1,4.5,Pakistan,Sadaf Shamas,Sidra Ameen,ML Schutt,0,0,,,,,,"",""
ball,1,4.6,Pakistan,Sadaf Shamas,Sidra Ameen,ML Schutt,0,0,,,,,,caught,Sadaf Shamas
ball,1,5.1,Pakistan,Sidra Ameen,Nida Dar,S Molineux,0,0,,,,,,"",""
ball,1,5.2,Pakistan,Sidra Ameen,Nida Dar,S Molineux,1,0,,,,,,"",""
ball,1,5.3,Pakistan,Nida Dar,Sidra Ameen,S Molineux,0,0,,,,,,"",""
ball,1,5.4,Pakistan,Nida Dar,Sidra Ameen,S Molineux,1,0,,,,,,"",""
ball,1,5.5,Pakistan,Sidra Ameen,Nida Dar,S Molineux,2,0,,,,,,"",""
ball,1,5.6,Pakistan,Sidra Ameen,Nida Dar,S Molineux,1,0,,,,,,"",""
ball,1,6.1,Pakistan,Sidra Ameen,Nida Dar,A Sutherland,0,0,,,,,,"",""
ball,1,6.2,Pakistan,Sidra Ameen,Nida Dar,A Sutherland,0,0,,,,,,lbw,Sidra Ameen
ball,1,6.3,Pakistan,Umaima Sohail,Nida Dar,A Sutherland,0,1,1,,,,,"",""
ball,1,6.4,Pakistan,Umaima Sohail,Nida Dar,A Sutherland,1,0,,,,,,"",""
ball,1,6.5,Pakistan,Nida Dar,Umaima Sohail,A Sutherland,1,0,,,,,,"",""
ball,1,6.6,Pakistan,Umaima Sohail,Nida Dar,A Sutherland,0,0,,,,,,"",""
ball,1,6.7,Pakistan,Umaima Sohail,Nida Dar,A Sutherland,0,0,,,,,,"",""
ball,1,7.1,Pakistan,Nida Dar,Umaima Sohail,G Wareham,1,0,,,,,,"",""
ball,1,7.2,Pakistan,Umaima Sohail,Nida Dar,G Wareham,2,0,,,,,,"",""
ball,1,7.3,Pakistan,Umaima Sohail,Nida Dar,G Wareham,0,0,,,,,,"",""
ball,1,7.4,Pakistan,Umaima Sohail,Nida Dar,G Wareham,0,0,,,,,,"",""
ball,1,7.5,Pakistan,Umaima Sohail,Nida Dar,G Wareham,0,0,,,,,,caught,Umaima Sohail
ball,1,7.6,Pakistan,Aliya Riaz,Nida Dar,G Wareham,0,0,,,,,,"",""
