version,1.7.0
info,balls_per_over,6
info,team,Germany
info,team,Italy
info,gender,female
info,season,2023
info,date,2023/06/01
info,event,ICC Women's T20 World Cup Europe Division 2 Qualifier
info,match_number,9
info,venue,"Grainville, St Saviour, Jersey"
info,city,St Saviour
info,toss_winner,Italy
info,toss_decision,field
info,player_of_match,CM Gough
info,umpire,HE Kearns
info,umpire,Ryan Milne
info,reserve_umpire,J Naeem
info,match_referee,G McCrea
info,winner,Italy
info,winner_wickets,7
info,player,Germany,A Bierwisch
info,player,Germany,CM Gough
info,player,Germany,A Doddaballapur
info,player,Germany,K Vijayaraghavan
info,player,Germany,S Sadarangani
info,player,Germany,MS Beresford
info,player,Germany,S Kolcharam
info,player,Germany,S Mannan
info,player,Germany,A Kohli
info,player,Germany,EC Bargna
info,player,Germany,Rameesha Shahid
info,player,Italy,AS Withanage
info,player,Italy,M Rathnayake
info,player,Italy,D Nanayakkara
info,player,Italy,C Mahamalage
info,player,Italy,EL Bartram
info,player,Italy,AS Warnakulasuriya
info,player,Italy,Regina Khan
info,player,Italy,K Peddrick
info,player,Italy,S Toffoletto
info,player,Italy,N Asuramanage
info,player,Italy,D Samarawickrama
info,registry,people,A Bierwisch,b51d654f
info,registry,people,A Doddaballapur,fe4f5d2b
info,registry,people,A Kohli,eb9082b2
info,registry,people,AS Warnakulasuriya,05f1cff9
info,registry,people,AS Withanage,078f166f
info,registry,people,C Mahamalage,3250b7db
info,registry,people,CM Gough,f1328a90
info,registry,people,D Nanayakkara,dbf22922
info,registry,people,D Samarawickrama,3a592d0d
info,registry,people,EC Bargna,9908d470
info,registry,people,EL Bartram,5fa7f030
info,registry,people,G McCrea,46f4a901
info,registry,people,HE Kearns,fd4959c8
info,registry,people,J Naeem,0dc3fee0
info,registry,people,K Peddrick,a031b75e
info,registry,people,K Vijayaraghavan,048da365
info,registry,people,M Rathnayake,a969dc4c
info,registry,people,MS Beresford,26eb73f9
info,registry,people,N Asuramanage,46dff613
info,registry,people,Rameesha Shahid,b810425e
info,registry,people,Regina Khan,862f4427
info,registry,people,Ryan Milne,d2343b26
info,registry,people,S Kolcharam,761c929e
info,registry,people,S Mannan,41b8a051
info,registry,people,S Sadarangani,acd030a0
info,registry,people,S Toffoletto,9e498eac
ball,1,0.1,Germany,A Bierwisch,CM Gough,C Mahamalage,0,0,,,,,,"",""
ball,1,0.2,Germany,A Bierwisch,CM Gough,C Mahamalage,1,0,,,,,,"",""
ball,1,0.3,Germany,CM Gough,A Bierwisch,C Mahamalage,1,0,,,,,,"",""
ball,1,0.4,Germany,A Bierwisch,CM Gough,C Mahamalage,0,0,,,,,,"",""
ball,1,0.5,Germany,A Bierwisch,CM Gough,C Mahamalage,2,0,,,,,,"",""
ball,1,0.6,Germany,A Bierwisch,CM Gough,C Mahamalage,0,0,,,,,,"",""
ball,1,1.1,Germany,CM Gough,A Bierwisch,K Peddrick,0,0,,,,,,"",""
ball,1,1.2,Germany,CM Gough,A Bierwisch,K Peddrick,1,0,,,,,,"",""
ball,1,1.3,Germany,A Bierwisch,CM Gough,K Peddrick,2,0,,,,,,"",""
ball,1,1.4,Germany,A Bierwisch,CM Gough,K Peddrick,0,0,,,,,,"",""
ball,1,1.5,Germany,A Bierwisch,CM Gough,K Peddrick,0,0,,,,,,"",""
ball,1,1.6,Germany,A Bierwisch,CM Gough,K Peddrick,4,0,,,,,,"",""
ball,1,2.1,Germany,CM Gough,A Bierwisch,C Mahamalage,2,0,,,,,,"",""
ball,1,2.2,Germany,CM Gough,A Bierwisch,C Mahamalage,1,0,,,,,,"",""
ball,1,2.3,Germany,A Bierwisch,CM Gough,C Mahamalage,0,0,,,,,,"",""
ball,1,2.4,Germany,A Bierwisch,CM Gough,C Mahamalage,1,0,,,,,,"",""
ball,1,2.5,Germany,CM Gough,A Bierwisch,C Mahamalage,0,0,,,,,,"",""
ball,1,2.6,Germany,CM Gough,A Bierwisch,C Mahamalage,0,0,,,,,,"",""
ball,1,3.1,Germany,A Bierwisch,CM Gough,K Peddrick,2,0,,,,,,"",""
ball,1,3.2,Germany,A Bierwisch,CM Gough,K Peddrick,4,0,,,,,,"",""
ball,1,3.3,Germany,A Bierwisch,CM Gough,K Peddrick,0,0,,,,,,"",""
ball,1,3.4,Germany,A Bierwisch,CM Gough,K Peddrick,0,0,,,,,,"",""
ball,1,3.5,Germany,A Bierwisch,CM Gough,K Peddrick,0,0,,,,,,"",""
ball,1,3.6,Germany,A Bierwisch,CM Gough,K Peddrick,0,0,,,,,,"",""
ball,1,4.1,Germany,CM Gough,A Bierwisch,C Mahamalage,0,0,,,,,,"",""
ball,1,4.2,Germany,CM Gough,A Bierwisch,C Mahamalage,0,0,,,,,,"",""
ball,1,4.3,Germany,CM Gough,A Bierwisch,C Mahamalage,1,0,,,,,,"",""
ball,1,4.4,Germany,A Bierwisch,CM Gough,C Mahamalage,0,0,,,,,,"",""
ball,1,4.5,Germany,A Bierwisch,CM Gough,C Mahamalage,0,0,,,,,,"",""
ball,1,4.6,Germany,A Bierwisch,CM Gough,C Mahamalage,1,0,,,,,,"",""
ball,1,5.1,Germany,A Bierwisch,CM Gough,K Peddrick,0,1,1,,,,,"",""
ball,1,5.2,Germany,A Bierwisch,CM Gough,K Peddrick,2,0,,,,,,"",""
ball,1,5.3,Germany,A Bierwisch,CM Gough,K Peddrick,0,0,,,,,,"",""
ball,1,5.4,Germany,A Bierwisch,CM Gough,K Peddrick,1,0,,,,,,"",""
ball,1,5.5,Germany,CM Gough,A Bierwisch,K Peddrick,0,0,,,,,,"",""
ball,1,5.6,Germany,CM Gough,A Bierwisch,K Peddrick,1,0,,,,,,"",""
ball,1,5.7,Germany,A Bierwisch,CM Gough,K Peddrick,1,0,,,,,,"",""
ball,1,6.1,Germany,A Bierwisch,CM Gough,EL Bartram,1,0,,,,,,"",""
ball,1,6.2,Germany,CM Gough,A Bierwisch,EL Bartram,0,0,,,,,,"",""
ball,1,6.3,Germany,CM Gough,A Bierwisch,EL Bartram,4,0,,,,,,"",""
ball,1,6.4,Germany,CM Gough,A Bierwisch,EL Bartram,1,0,,,,,,"",""
ball,1,6.5,Germany,A Bierwisch,CM Gough,EL Bartram,0,0,,,,,,"",""
ball,1,6.6,Germany,A Bierwisch,CM Gough,EL Bartram,0,0,,,,,,"",""
ball,1,7.1,Germany,CM Gough,A Bierwisch,Regina Khan,0,0,,,,,,"",""
ball,1,7.2,Germany,CM Gough,A Bierwisch,Regina Khan,0,0,,,,,,"",""
ball,1,7.3,Germany,CM Gough,A Bierwisch,Regina Khan,2,0,,,,,,"",""
ball,1,7.4,Germany,CM Gough,A Bierwisch,Regina Khan,0,0,,,,,,"",""
ball,1,7.5,Germany,CM Gough,A Bierwisch,Regina Khan,1,0,,,,,,"",""
ball,1,7.6,Germany,A Bierwisch,CM Gough,Regina Khan,1,0,,,,,,"",""
ball,1,8.1,Germany,A Bierwisch,CM Gough,EL Bartram,1,0,,,,,,"",""
ball,1,8.2,Germany,CM Gough,A Bierwisch,EL Bartram,1,0,,,,,,"",""
ball,1,8.3,Germany,A Bierwisch,CM Gough,EL Bartram,0,0,,,,,,"",""
ball,1,8.4,Germany,A Bierwisch,CM Gough,EL Bartram,0,0,,,,,,"",""
ball,1,8.5,Germany,A Bierwisch,CM Gough,EL Bartram,0,0,,,,,,"",""
ball,1,8.6,Germany,A Bierwisch,CM Gough,EL Bartram,0,0,,,,,,"",""
ball,1,9.1,Germany,CM Gough,A Bierwisch,Regina Khan,1,0,,,,,,"",""
ball,1,9.2,Germany,A Bierwisch,CM Gough,Regina Khan,2,0,,,,,,"",""
ball,1,9.3,Germany,A Bierwisch,CM Gough,Regina Khan,0,0,,,,,,bowled,A Bierwisch
ball,1,9.4,Germany,A Doddaballapur,CM Gough,Regina Khan,0,0,,,,,,"",""
ball,1,9.5,Germany,A Doddaballapur,CM Gough,Regina Khan,0,0,,,,,,"",""
ball,1,9.6,Germany,A Doddaballapur,CM Gough,Regina Khan,0,0,,,,,,"",""
ball,1,10.1,Germany,CM Gough,A Doddaballapur,EL Bartram,0,0,,,,,,"",""
ball,1,10.2,Germany,CM Gough,A Doddaballapur,EL Bartram,0,0,,,,,,"",""
ball,1,10.3,Germany,CM Gough,A Doddaballapur,EL Bartram,0,0,,,,,,"",""
ball,1,10.4,Germany,CM Gough,A Doddaballapur,EL Bartram,0,0,,,,,,"",""
ball,1,10.5,Germany,CM Gough,A Doddaballapur,EL Bartram,4,0,,,,,,"",""
ball,1,10.6,Germany,CM Gough,A Doddaballapur,EL Bartram,0,0,,,,,,"",""
ball,1,11.1,Germany,A Doddaballapur,CM Gough,Regina Khan,2,0,,,,,,"",""
ball,1,11.2,Germany,A Doddaballapur,CM Gough,Regina Khan,0,0,,,,,,bowled,A Doddaballapur
ball,1,11.3,Germany,K Vijayaraghavan,CM Gough,Regina Khan,0,0,,,,,,"",""
ball,1,11.4,Germany,K Vijayaraghavan,CM Gough,Regina Khan,0,0,,,,,,"",""
ball,1,11.5,Germany,K Vijayaraghavan,CM Gough,Regina Khan,0,0,,,,,,"",""
ball,1,11.6,Germany,K Vijayaraghavan,CM Gough,Regina Khan,0,0,,,,,,"",""
ball,1,12.1,Germany,CM Gough,K Vijayaraghavan,EL Bartram,0,0,,,,,,"",""
