version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Hong Kong
info,gender,male
info,season,2024
info,date,2024/09/07
info,event,ICC Men's T20 World Cup Asia Qualifier A
info,match_number,18
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Hong Kong
info,toss_decision,field
info,player_of_match,Syed Aziz
info,umpire,Faisal Afridi
info,umpire,Shiju Sam
info,reserve_umpire,BB Pradhan
info,match_referee,V Narayan Kutty
info,winner,Malaysia
info,winner_runs,3
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,S Muniandy
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Ahmed Aqeel
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,Rizwan Haider
info,player,Malaysia,Pavandeep Singh
info,player,Hong Kong,JJ Atkinson
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Anas Khan
info,player,Hong Kong,Ateeq Iqbal
info,player,Hong Kong,A Shukla
info,registry,people,A Shukla,a1e80d06
info,registry,people,Ahmed Aqeel,92f0e10e
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Anas Khan,66a7f213
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Ateeq Iqbal,29b322c7
info,registry,people,BB Pradhan,8603d942
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,JJ Atkinson,bf2d865c
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,Rizwan Haider,dc60abdc
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,Syed Aziz,6667067e
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zeeshan Ali,987187b9
info,registry,people,Zubaidi Zulkifle,dca8273d
ball,1,0.1,Malaysia,Syed Aziz,Zubaidi Zulkifle,A Shukla,2,0,,,,,,"",""
ball,1,0.2,Malaysia,Syed Aziz,Zubaidi Zulkifle,A Shukla,4,0,,,,,,"",""
ball,1,0.3,Malaysia,Syed Aziz,Zubaidi Zulkifle,A Shukla,2,0,,,,,,"",""
ball,1,0.4,Malaysia,Syed Aziz,Zubaidi Zulkifle,A Shukla,6,0,,,,,,"",""
ball,1,0.5,Malaysia,Syed Aziz,Zubaidi Zulkifle,A Shukla,0,0,,,,,,"",""
ball,1,0.6,Malaysia,Syed Aziz,Zubaidi Zulkifle,A Shukla,0,0,,,,,,"",""
ball,1,1.1,Malaysia,Zubaidi Zulkifle,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.2,Malaysia,Zubaidi Zulkifle,Syed Aziz,Ateeq Iqbal,0,0,,,,,,bowled,Zubaidi Zulkifle
ball,1,1.3,Malaysia,Muhammad Amir,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.4,Malaysia,Muhammad Amir,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.5,Malaysia,Muhammad Amir,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.6,Malaysia,Muhammad Amir,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,2.1,Malaysia,Syed Aziz,Muhammad Amir,Ehsan Khan,2,0,,,,,,"",""
ball,1,2.2,Malaysia,Syed Aziz,Muhammad Amir,Ehsan Khan,0,0,,,,,,"",""
ball,1,2.3,Malaysia,Syed Aziz,Muhammad Amir,Ehsan Khan,2,0,,,,,,"",""
ball,1,2.4,Malaysia,Syed Aziz,Muhammad Amir,Ehsan Khan,0,0,,,,,,"",""
ball,1,2.5,Malaysia,Syed Aziz,Muhammad Amir,Ehsan Khan,0,0,,,,,,"",""
ball,1,2.6,Malaysia,Syed Aziz,Muhammad Amir,Ehsan Khan,1,0,,,,,,"",""
ball,1,3.1,Malaysia,Syed Aziz,Muhammad Amir,Ateeq Iqbal,6,0,,,,,,"",""
ball,1,3.2,Malaysia,Syed Aziz,Muhammad Amir,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,3.3,Malaysia,Syed Aziz,Muhammad Amir,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,3.4,Malaysia,Syed Aziz,Muhammad Amir,Ateeq Iqbal,1,0,,,,,,"",""
ball,1,3.5,Malaysia,Muhammad Amir,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,3.6,Malaysia,Muhammad Amir,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,4.1,Malaysia,Syed Aziz,Muhammad Amir,Ehsan Khan,0,0,,,,,,"",""
ball,1,4.2,Malaysia,Syed Aziz,Muhammad Amir,Ehsan Khan,0,0,,,,,,"",""
ball,1,4.3,Malaysia,Syed Aziz,Muhammad Amir,Ehsan Khan,0,0,,,,,,"",""
