version,1.7.0
info,balls_per_over,6
info,team,Rwanda
info,team,Uganda
info,gender,male
info,season,2023
info,date,2023/08/31
info,event,East Africa Cup
info,match_number,17
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Rwanda
info,toss_decision,bat
info,player_of_match,S Sesazi
info,umpire,EH Dusabemungu
info,umpire,Norbert Abii
info,winner,Uganda
info,winner_wickets,8
info,player,Rwanda,O Manishimwe
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,E Niyomugabo
info,player,Rwanda,C Rububagumya
info,player,Rwanda,K Irakoze
info,player,Rwanda,E Sebareme
info,player,Rwanda,W Niyitanga
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,E Kubwimana
info,player,Rwanda,JM Iradukunda
info,player,Rwanda,I Mugisha
info,player,Uganda,RG Mukasa
info,player,Uganda,S Sesazi
info,player,Uganda,R Lutaaya
info,player,Uganda,P Murungi
info,player,Uganda,S Nsubuga
info,player,Uganda,D Wabwire
info,player,Uganda,AR Ramjani
info,player,Uganda,K Waiswa
info,player,Uganda,CN Kakuru
info,player,Uganda,H Ssenyondo
info,player,Uganda,Bilal Hassun
info,registry,people,AR Ramjani,30d8136b
info,registry,people,Bilal Hassun,1a9e9efe
info,registry,people,C Rububagumya,8088632c
info,registry,people,CN Kakuru,f6aed283
info,registry,people,D Wabwire,a628a5c8
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Kubwimana,bfc7799f
info,registry,people,E Niyomugabo,2dcac6ff
info,registry,people,E Sebareme,f99a219a
info,registry,people,EH Dusabemungu,ba3b4b09
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,I Mugisha,d3eedb51
info,registry,people,JM Iradukunda,f58295c2
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,K Waiswa,a3a275ec
info,registry,people,Norbert Abii,ed06cf51
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,P Murungi,fbdc5ab1
info,registry,people,R Lutaaya,04e0cdec
info,registry,people,RG Mukasa,011f6b42
info,registry,people,S Nsubuga,58cb36aa
info,registry,people,S Sesazi,c2c975f9
info,registry,people,W Niyitanga,e7631adc
info,registry,people,Z Bimenyimana,ba57fb08
ball,1,0.1,Rwanda,O Manishimwe,E Dusingizimana,Bilal Hassun,0,0,,,,,,"",""
ball,1,0.2,Rwanda,O Manishimwe,E Dusingizimana,Bilal Hassun,0,0,,,,,,"",""
ball,1,0.3,Rwanda,O Manishimwe,E Dusingizimana,Bilal Hassun,0,1,1,,,,,"",""
ball,1,0.4,Rwanda,O Manishimwe,E Dusingizimana,Bilal Hassun,0,0,,,,,,bowled,O Manishimwe
ball,1,0.5,Rwanda,E Niyomugabo,E Dusingizimana,Bilal Hassun,0,0,,,,,,"",""
ball,1,0.6,Rwanda,E Niyomugabo,E Dusingizimana,Bilal Hassun,4,0,,,,,,"",""
ball,1,0.7,Rwanda,E Niyomugabo,E Dusingizimana,Bilal Hassun,2,0,,,,,,"",""
ball,1,1.1,Rwanda,E Dusingizimana,E Niyomugabo,D Wabwire,4,0,,,,,,"",""
ball,1,1.2,Rwanda,E Dusingizimana,E Niyomugabo,D Wabwire,4,0,,,,,,"",""
ball,1,1.3,Rwanda,E Dusingizimana,E Niyomugabo,D Wabwire,0,0,,,,,,"",""
ball,1,1.4,Rwanda,E Dusingizimana,E Niyomugabo,D Wabwire,2,0,,,,,,"",""
ball,1,1.5,Rwanda,E Dusingizimana,E Niyomugabo,D Wabwire,0,0,,,,,,"",""
ball,1,1.6,Rwanda,E Dusingizimana,E Niyomugabo,D Wabwire,4,0,,,,,,"",""
ball,1,2.1,Rwanda,E Niyomugabo,E Dusingizimana,Bilal Hassun,0,0,,,,,,"",""
ball,1,2.2,Rwanda,E Niyomugabo,E Dusingizimana,Bilal Hassun,0,1,,,,1,,"",""
ball,1,2.3,Rwanda,E Dusingizimana,E Niyomugabo,Bilal Hassun,0,0,,,,,,"",""
ball,1,2.4,Rwanda,E Dusingizimana,E Niyomugabo,Bilal Hassun,0,0,,,,,,"",""
ball,1,2.5,Rwanda,E Dusingizimana,E Niyomugabo,Bilal Hassun,6,0,,,,,,"",""
ball,1,2.6,Rwanda,E Dusingizimana,E Niyomugabo,Bilal Hassun,0,0,,,,,,"",""
ball,1,3.1,Rwanda,E Niyomugabo,E Dusingizimana,D Wabwire,1,0,,,,,,"",""
ball,1,3.2,Rwanda,E Dusingizimana,E Niyomugabo,D Wabwire,0,1,1,,,,,"",""
ball,1,3.3,Rwanda,E Dusingizimana,E Niyomugabo,D Wabwire,0,0,,,,,,"",""
ball,1,3.4,Rwanda,E Dusingizimana,E Niyomugabo,D Wabwire,0,0,,,,,,"",""
ball,1,3.5,Rwanda,E Dusingizimana,E Niyomugabo,D Wabwire,4,0,,,,,,"",""
ball,1,3.6,Rwanda,E Dusingizimana,E Niyomugabo,D Wabwire,0,0,,,,,,"",""
ball,1,3.7,Rwanda,E Dusingizimana,E Niyomugabo,D Wabwire,4,0,,,,,,"",""
ball,1,4.1,Rwanda,E Niyomugabo,E Dusingizimana,K Waiswa,0,0,,,,,,"",""
ball,1,4.2,Rwanda,E Niyomugabo,E Dusingizimana,K Waiswa,1,0,,,,,,"",""
ball,1,4.3,Rwanda,E Dusingizimana,E Niyomugabo,K Waiswa,0,0,,,,,,"",""
ball,1,4.4,Rwanda,E Dusingizimana,E Niyomugabo,K Waiswa,0,0,,,,,,"",""
ball,1,4.5,Rwanda,E Dusingizimana,E Niyomugabo,K Waiswa,0,0,,,,,,"",""
ball,1,4.6,Rwanda,E Dusingizimana,E Niyomugabo,K Waiswa,1,0,,,,,,"",""
ball,1,5.1,Rwanda,E Dusingizimana,E Niyomugabo,AR Ramjani,0,0,,,,,,bowled,E Dusingizimana
ball,1,5.2,Rwanda,C Rububagumya,E Niyomugabo,AR Ramjani,0,0,,,,,,"",""
ball,1,5.3,Rwanda,C Rububagumya,E Niyomugabo,AR Ramjani,0,0,,,,,,"",""
ball,1,5.4,Rwanda,C Rububagumya,E Niyomugabo,AR Ramjani,0,0,,,,,,"",""
ball,1,5.5,Rwanda,C Rububagumya,E Niyomugabo,AR Ramjani,0,0,,,,,,"",""
ball,1,5.6,Rwanda,C Rububagumya,E Niyomugabo,AR Ramjani,1,0,,,,,,"",""
ball,1,6.1,Rwanda,C Rububagumya,E Niyomugabo,H Ssenyondo,1,0,,,,,,"",""
ball,1,6.2,Rwanda,E Niyomugabo,C Rububagumya,H Ssenyondo,1,0,,,,,,"",""
ball,1,6.3,Rwanda,C Rububagumya,E Niyomugabo,H Ssenyondo,0,0,,,,,,"",""
