version,1.7.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Zimbabwe
info,gender,male
info,season,2024
info,date,2024/05/12
info,event,Zimbabwe tour of Bangladesh
info,match_number,5
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,BJ Bennett
info,umpire,Sharfuddoula
info,umpire,Tanvir Ahmed
info,reserve_umpire,Masudur Rahman
info,tv_umpire,Gazi Sohel
info,match_referee,RS Madugalle
info,winner,Zimbabwe
info,winner_wickets,8
info,player,Bangladesh,Tanzid Hasan
info,player,Bangladesh,Soumya Sarkar
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Towhid Hridoy
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Jaker Ali
info,player,Bangladesh,Mohammad Saifuddin
info,player,Bangladesh,Rishad Hossain
info,player,Bangladesh,Mahedi Hasan
info,player,Bangladesh,Mustafizur Rahman
info,player,Zimbabwe,BJ Bennett
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,J Campbell
info,player,Zimbabwe,C Madande
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,LM Jongwe
info,player,Zimbabwe,M Faraz Akram
info,player,Zimbabwe,WP Masakadza
info,player,Zimbabwe,B Muzarabani
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,BJ Bennett,eaa36b2a
info,registry,people,C Madande,3560a786
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,J Campbell,0e63259d
info,registry,people,Jaker Ali,cd56a813
info,registry,people,LM Jongwe,b8704508
info,registry,people,M Faraz Akram,38214163
info,registry,people,Mahedi Hasan,9dad0f2e
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mohammad Saifuddin,b3a28446
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,RP Burl,b08252b8
info,registry,people,RS Madugalle,766b5798
info,registry,people,Rishad Hossain,5935d694
info,registry,people,SC Williams,afe57f7a
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,T Marumani,3d5d51a5
info,registry,people,Tanvir Ahmed,ea2df1f1
info,registry,people,Tanzid Hasan,80fe764d
info,registry,people,Towhid Hridoy,9e52a414
info,registry,people,WP Masakadza,4bc0a378
ball,1,0.1,Bangladesh,Tanzid Hasan,Soumya Sarkar,Sikandar Raza,1,0,,,,,,"",""
ball,1,0.2,Bangladesh,Soumya Sarkar,Tanzid Hasan,Sikandar Raza,1,0,,,,,,"",""
ball,1,0.3,Bangladesh,Tanzid Hasan,Soumya Sarkar,Sikandar Raza,1,0,,,,,,"",""
ball,1,0.4,Bangladesh,Soumya Sarkar,Tanzid Hasan,Sikandar Raza,0,0,,,,,,"",""
ball,1,0.5,Bangladesh,Soumya Sarkar,Tanzid Hasan,Sikandar Raza,6,0,,,,,,"",""
ball,1,0.6,Bangladesh,Soumya Sarkar,Tanzid Hasan,Sikandar Raza,0,0,,,,,,"",""
ball,1,1.1,Bangladesh,Tanzid Hasan,Soumya Sarkar,B Muzarabani,0,0,,,,,,"",""
ball,1,1.2,Bangladesh,Tanzid Hasan,Soumya Sarkar,B Muzarabani,0,0,,,,,,"",""
ball,1,1.3,Bangladesh,Tanzid Hasan,Soumya Sarkar,B Muzarabani,0,0,,,,,,caught,Tanzid Hasan
ball,1,1.4,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,B Muzarabani,0,0,,,,,,"",""
ball,1,1.5,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,B Muzarabani,0,0,,,,,,"",""
ball,1,1.6,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,B Muzarabani,0,0,,,,,,"",""
ball,1,2.1,Bangladesh,Soumya Sarkar,Nazmul Hossain Shanto,BJ Bennett,0,0,,,,,,"",""
ball,1,2.2,Bangladesh,Soumya Sarkar,Nazmul Hossain Shanto,BJ Bennett,0,0,,,,,,"",""
ball,1,2.3,Bangladesh,Soumya Sarkar,Nazmul Hossain Shanto,BJ Bennett,0,0,,,,,,caught,Soumya Sarkar
ball,1,2.4,Bangladesh,Towhid Hridoy,Nazmul Hossain Shanto,BJ Bennett,0,0,,,,,,"",""
ball,1,2.5,Bangladesh,Towhid Hridoy,Nazmul Hossain Shanto,BJ Bennett,0,0,,,,,,"",""
ball,1,2.6,Bangladesh,Towhid Hridoy,Nazmul Hossain Shanto,BJ Bennett,0,0,,,,,,"",""
ball,1,3.1,Bangladesh,Nazmul Hossain Shanto,Towhid Hridoy,B Muzarabani,0,0,,,,,,"",""
ball,1,3.2,Bangladesh,Nazmul Hossain Shanto,Towhid Hridoy,B Muzarabani,4,0,,,,,,"",""
ball,1,3.3,Bangladesh,Nazmul Hossain Shanto,Towhid Hridoy,B Muzarabani,0,0,,,,,,"",""
