version,1.7.0
info,balls_per_over,6
info,team,Kenya
info,team,Namibia
info,gender,male
info,season,2023/24
info,date,2023/11/27
info,event,ICC Men's T20 World Cup Africa Region Qualifier
info,match_number,12
info,venue,"United Cricket Club Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Namibia
info,toss_decision,field
info,player_of_match,JN Frylinck
info,umpire,L Rusere
info,umpire,S Dambanevana
info,reserve_umpire,Stephen Harris
info,match_referee,GH Pienaar
info,winner,Namibia
info,winner_wickets,6
info,player,Kenya,RN Patel
info,player,Kenya,CO Obuya
info,player,Kenya,IA Karim
info,player,Kenya,P Sharma
info,player,Kenya,SR Bhudia
info,player,Kenya,SO Ngoche
info,player,Kenya,S Singh
info,player,Kenya,Vraj Patel
info,player,Kenya,NM Odhiambo
info,player,Kenya,LN Oluoch
info,player,Kenya,GM Muthui
info,player,Namibia,M van Lingen
info,player,Namibia,N Davin
info,player,Namibia,MG Erasmus
info,player,Namibia,JN Frylinck
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,JJ Smit
info,player,Namibia,HN Ya France
info,player,Namibia,BM Scholtz
info,player,Namibia,ZE Green
info,player,Namibia,D Wiese
info,player,Namibia,T Lungameni
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,CO Obuya,5680f1ad
info,registry,people,D Wiese,aa8d28ae
info,registry,people,GH Pienaar,3516e46b
info,registry,people,GM Muthui,d7e51f87
info,registry,people,HN Ya France,915264c2
info,registry,people,IA Karim,ca92a578
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,L Rusere,6a4734ae
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,M van Lingen,7eb36269
info,registry,people,MG Erasmus,95a5e066
info,registry,people,N Davin,72e361fe
info,registry,people,NM Odhiambo,c07a1f41
info,registry,people,P Sharma,d047f983
info,registry,people,RN Patel,db1bf9c2
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Singh,612a395c
info,registry,people,SO Ngoche,49118dc7
info,registry,people,SR Bhudia,e9173fb0
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Lungameni,1688f2dc
info,registry,people,Vraj Patel,2af28253
info,registry,people,ZE Green,8716233e
ball,1,0.1,Kenya,RN Patel,CO Obuya,D Wiese,0,0,,,,,,"",""
ball,1,0.2,Kenya,RN Patel,CO Obuya,D Wiese,0,0,,,,,,"",""
ball,1,0.3,Kenya,RN Patel,CO Obuya,D Wiese,0,0,,,,,,"",""
ball,1,0.4,Kenya,RN Patel,CO Obuya,D Wiese,1,0,,,,,,"",""
ball,1,0.5,Kenya,CO Obuya,RN Patel,D Wiese,0,0,,,,,,"",""
ball,1,0.6,Kenya,CO Obuya,RN Patel,D Wiese,0,1,1,,,,,"",""
ball,1,0.7,Kenya,CO Obuya,RN Patel,D Wiese,1,0,,,,,,"",""
ball,1,1.1,Kenya,CO Obuya,RN Patel,JJ Smit,4,0,,,,,,"",""
ball,1,1.2,Kenya,CO Obuya,RN Patel,JJ Smit,0,0,,,,,,"",""
ball,1,1.3,Kenya,CO Obuya,RN Patel,JJ Smit,2,0,,,,,,"",""
ball,1,1.4,Kenya,CO Obuya,RN Patel,JJ Smit,0,0,,,,,,"",""
ball,1,1.5,Kenya,CO Obuya,RN Patel,JJ Smit,0,0,,,,,,"",""
ball,1,1.6,Kenya,CO Obuya,RN Patel,JJ Smit,0,0,,,,,,"",""
ball,1,2.1,Kenya,RN Patel,CO Obuya,MG Erasmus,0,0,,,,,,"",""
ball,1,2.2,Kenya,RN Patel,CO Obuya,MG Erasmus,0,0,,,,,,"",""
ball,1,2.3,Kenya,RN Patel,CO Obuya,MG Erasmus,0,0,,,,,,"",""
ball,1,2.4,Kenya,RN Patel,CO Obuya,MG Erasmus,0,0,,,,,,"",""
ball,1,2.5,Kenya,RN Patel,CO Obuya,MG Erasmus,0,0,,,,,,"",""
ball,1,2.6,Kenya,RN Patel,CO Obuya,MG Erasmus,0,0,,,,,,caught and bowled,RN Patel
ball,1,3.1,Kenya,CO Obuya,IA Karim,D Wiese,1,0,,,,,,"",""
ball,1,3.2,Kenya,IA Karim,CO Obuya,D Wiese,0,0,,,,,,"",""
ball,1,3.3,Kenya,IA Karim,CO Obuya,D Wiese,0,0,,,,,,"",""
ball,1,3.4,Kenya,IA Karim,CO Obuya,D Wiese,0,0,,,,,,"",""
ball,1,3.5,Kenya,IA Karim,CO Obuya,D Wiese,0,0,,,,,,"",""
