version,1.7.0
info,balls_per_over,6
info,team,Bahrain
info,team,Indonesia
info,gender,male
info,season,2024/25
info,date,2025/02/23
info,event,Bahrain tour of Indonesia
info,match_number,4
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Indonesia
info,toss_decision,field
info,player_of_match,Fiaz Ahmed
info,umpire,Suresh Subramanian
info,umpire,Yousuf Wadu
info,winner,Bahrain
info,winner_runs,112
info,player,Bahrain,Fiaz Ahmed
info,player,Bahrain,P Kurup
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,Ubaid Minhas
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Asif Shaikh
info,player,Bahrain,Abdul Majid Abbasi
info,player,Bahrain,Imran Khan
info,player,Bahrain,Ali Dawood
info,player,Indonesia,KD Kesuma
info,player,Indonesia,Gaurav Tiwari
info,player,Indonesia,Ashish Gupta
info,player,Indonesia,KC Ramamoorthy
info,player,Indonesia,PR Surve
info,player,Indonesia,IK Gamantika
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,RM Koda
info,player,Indonesia,F Banunaek
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Ali Dawood,596982e6
info,registry,people,Ashish Gupta,552518ea
info,registry,people,Asif Shaikh,231daa19
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,Fiaz Ahmed,df1f2f29
info,registry,people,Gaurav Tiwari,cab3f89a
info,registry,people,IK Gamantika,4d7c5b56
info,registry,people,IKEG Artawan,190957d2
info,registry,people,Imran Khan,da3b91fd
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,KC Ramamoorthy,a89c270b
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,P Kurup,50ceaef6
info,registry,people,PR Surve,206efeb1
info,registry,people,RM Koda,f0a45427
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,Suresh Subramanian,4e869e23
info,registry,people,Ubaid Minhas,87493f1d
info,registry,people,Yousuf Wadu,cf41005c
ball,1,0.1,Bahrain,Fiaz Ahmed,P Kurup,RM Koda,0,0,,,,,,"",""
ball,1,0.2,Bahrain,Fiaz Ahmed,P Kurup,RM Koda,1,0,,,,,,"",""
ball,1,0.3,Bahrain,P Kurup,Fiaz Ahmed,RM Koda,0,0,,,,,,"",""
ball,1,0.4,Bahrain,P Kurup,Fiaz Ahmed,RM Koda,0,0,,,,,,"",""
ball,1,0.5,Bahrain,P Kurup,Fiaz Ahmed,RM Koda,2,0,,,,,,"",""
ball,1,0.6,Bahrain,P Kurup,Fiaz Ahmed,RM Koda,1,0,,,,,,"",""
ball,1,1.1,Bahrain,P Kurup,Fiaz Ahmed,F Banunaek,1,0,,,,,,"",""
ball,1,1.2,Bahrain,Fiaz Ahmed,P Kurup,F Banunaek,2,0,,,,,,"",""
ball,1,1.3,Bahrain,Fiaz Ahmed,P Kurup,F Banunaek,4,0,,,,,,"",""
ball,1,1.4,Bahrain,Fiaz Ahmed,P Kurup,F Banunaek,1,0,,,,,,"",""
ball,1,1.5,Bahrain,P Kurup,Fiaz Ahmed,F Banunaek,0,1,1,,,,,"",""
ball,1,1.6,Bahrain,P Kurup,Fiaz Ahmed,F Banunaek,1,0,,,,,,"",""
ball,1,1.7,Bahrain,Fiaz Ahmed,P Kurup,F Banunaek,1,0,,,,,,"",""
ball,1,2.1,Bahrain,Fiaz Ahmed,P Kurup,RM Koda,4,0,,,,,,"",""
ball,1,2.2,Bahrain,Fiaz Ahmed,P Kurup,RM Koda,0,0,,,,,,"",""
ball,1,2.3,Bahrain,Fiaz Ahmed,P Kurup,RM Koda,0,0,,,,,,"",""
ball,1,2.4,Bahrain,Fiaz Ahmed,P Kurup,RM Koda,1,0,,,,,,"",""
ball,1,2.5,Bahrain,P Kurup,Fiaz Ahmed,RM Koda,0,0,,,,,,"",""
ball,1,2.6,Bahrain,P Kurup,Fiaz Ahmed,RM Koda,0,0,,,,,,"",""
ball,1,3.1,Bahrain,Fiaz Ahmed,P Kurup,F Banunaek,0,0,,,,,,"",""
ball,1,3.2,Bahrain,Fiaz Ahmed,P Kurup,F Banunaek,4,0,,,,,,"",""
ball,1,3.3,Bahrain,Fiaz Ahmed,P Kurup,F Banunaek,0,0,,,,,,"",""
