version,1.7.0
info,balls_per_over,6
info,team,Uganda
info,team,Tanzania
info,gender,male
info,season,2022/23
info,date,2022/12/15
info,event,Tri-Nation T20 Cup (Rwanda)
info,match_number,6
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Tanzania
info,toss_decision,field
info,player_of_match,RG Mukasa
info,umpire,EH Dusabemungu
info,umpire,Patric Makumbi
info,reserve_umpire,John Mayeku
info,winner,Uganda
info,winner_runs,13
info,player,Uganda,RG Mukasa
info,player,Uganda,S Sesazi
info,player,Uganda,E Hasahya
info,player,Uganda,K Waiswa
info,player,Uganda,P Murungi
info,player,Uganda,J Miyaji
info,player,Uganda,C Kyewuta
info,player,Uganda,B Masaba
info,player,Uganda,F Nsubuga
info,player,Uganda,J Baguma
info,player,Uganda,H Ssenyondo
info,player,Tanzania,II Selemani
info,player,Tanzania,AJ Jabiri
info,player,Tanzania,S Thakor
info,player,Tanzania,AP Rajeevan
info,player,Tanzania,K Nassoro
info,player,Tanzania,MO Kitunda
info,player,Tanzania,Akhil Anil
info,player,Tanzania,SA Jumbe
info,player,Tanzania,M Yunusu Issa
info,player,Tanzania,AM Kimote
info,player,Tanzania,AA Hussein
info,registry,people,AA Hussein,60ef3ddb
info,registry,people,AJ Jabiri,90624d37
info,registry,people,AM Kimote,34e36b65
info,registry,people,AP Rajeevan,63d6f031
info,registry,people,Akhil Anil,c06c25fd
info,registry,people,B Masaba,f33cfd25
info,registry,people,C Kyewuta,395695ce
info,registry,people,CN Kakuru,f6aed283
info,registry,people,E Hasahya,d3fcb126
info,registry,people,EH Dusabemungu,ba3b4b09
info,registry,people,F Nsubuga,87e33d07
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,II Selemani,b2dadc51
info,registry,people,J Baguma,8b46fc4f
info,registry,people,J Miyaji,414d8a10
info,registry,people,John Mayeku,9d819a32
info,registry,people,K Nassoro,29ee9bf9
info,registry,people,K Waiswa,a3a275ec
info,registry,people,M Yunusu Issa,bbab35a3
info,registry,people,MO Kitunda,badef0dc
info,registry,people,P Murungi,fbdc5ab1
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,RG Mukasa,011f6b42
info,registry,people,S Sesazi,c2c975f9
info,registry,people,S Thakor,0848ac5f
info,registry,people,SA Jumbe,91056862
ball,1,0.1,Uganda,RG Mukasa,S Sesazi,AA Hussein,4,0,,,,,,"",""
ball,1,0.2,Uganda,RG Mukasa,S Sesazi,AA Hussein,4,0,,,,,,"",""
ball,1,0.3,Uganda,RG Mukasa,S Sesazi,AA Hussein,0,0,,,,,,"",""
ball,1,0.4,Uganda,RG Mukasa,S Sesazi,AA Hussein,4,0,,,,,,"",""
ball,1,0.5,Uganda,RG Mukasa,S Sesazi,AA Hussein,0,0,,,,,,"",""
ball,1,0.6,Uganda,RG Mukasa,S Sesazi,AA Hussein,0,1,1,,,,,"",""
ball,1,0.7,Uganda,RG Mukasa,S Sesazi,AA Hussein,0,0,,,,,,"",""
ball,1,1.1,Uganda,S Sesazi,RG Mukasa,SA Jumbe,4,0,,,,,,"",""
ball,1,1.2,Uganda,S Sesazi,RG Mukasa,SA Jumbe,0,0,,,,,,"",""
ball,1,1.3,Uganda,S Sesazi,RG Mukasa,SA Jumbe,0,0,,,,,,"",""
ball,1,1.4,Uganda,S Sesazi,RG Mukasa,SA Jumbe,4,0,,,,,,"",""
ball,1,1.5,Uganda,S Sesazi,RG Mukasa,SA Jumbe,1,0,,,,,,"",""
ball,1,1.6,Uganda,RG Mukasa,S Sesazi,SA Jumbe,4,0,,,,,,"",""
ball,1,2.1,Uganda,S Sesazi,RG Mukasa,AA Hussein,0,0,,,,,,caught,S Sesazi
ball,1,2.2,Uganda,E Hasahya,RG Mukasa,AA Hussein,1,0,,,,,,"",""
ball,1,2.3,Uganda,RG Mukasa,E Hasahya,AA Hussein,4,0,,,,,,"",""
ball,1,2.4,Uganda,RG Mukasa,E Hasahya,AA Hussein,0,1,1,,,,,"",""
ball,1,2.5,Uganda,RG Mukasa,E Hasahya,AA Hussein,1,0,,,,,,"",""
ball,1,2.6,Uganda,E Hasahya,RG Mukasa,AA Hussein,1,0,,,,,,"",""
ball,1,2.7,Uganda,RG Mukasa,E Hasahya,AA Hussein,0,0,,,,,,"",""
ball,1,3.1,Uganda,E Hasahya,RG Mukasa,SA Jumbe,1,0,,,,,,"",""
ball,1,3.2,Uganda,RG Mukasa,E Hasahya,SA Jumbe,0,0,,,,,,"",""
ball,1,3.3,Uganda,RG Mukasa,E Hasahya,SA Jumbe,1,0,,,,,,"",""
