version,1.7.0
info,balls_per_over,6
info,team,Samoa
info,team,Papua New Guinea
info,gender,female
info,season,2023
info,date,2023/09/04
info,event,ICC Women's T20 World Cup East Asia-Pacific Region Qualifier
info,match_number,7
info,venue,Vanuatu Cricket Ground
info,city,Port Vila
info,toss_winner,Papua New Guinea
info,toss_decision,field
info,player_of_match,S Jimmy
info,umpire,L McCabe
info,umpire,M Kenni
info,reserve_umpire,CA Polosak
info,match_referee,RW Stratford
info,winner,Papua New Guinea
info,winner_wickets,9
info,player,Samoa,VM Andrew
info,player,Samoa,AF Aoina
info,player,Samoa,J Sanele
info,player,Samoa,T Lafai
info,player,Samoa,Leitu Leong
info,player,Samoa,RP Johnston
info,player,Samoa,TH Semau
info,player,Samoa,F Sisifo
info,player,Samoa,AM Kupito
info,player,Samoa,V Tafea
info,player,Samoa,TM Faimalo
info,player,Papua New Guinea,N Vare
info,player,Papua New Guinea,B Tau
info,player,Papua New Guinea,T Ruma
info,player,Papua New Guinea,K Arua
info,player,Papua New Guinea,S Jimmy
info,player,Papua New Guinea,P Siaka
info,player,Papua New Guinea,K Frank
info,player,Papua New Guinea,HJ Thomas
info,player,Papua New Guinea,GP Tom
info,player,Papua New Guinea,V Araa
info,player,Papua New Guinea,I Toua
info,registry,people,AF Aoina,217f5194
info,registry,people,AM Kupito,e97f6f96
info,registry,people,B Tau,3a6cbb8e
info,registry,people,CA Polosak,26a360d2
info,registry,people,F Sisifo,eff8319a
info,registry,people,GP Tom,88bcd09d
info,registry,people,HJ Thomas,a3034d3d
info,registry,people,I Toua,83cde44d
info,registry,people,J Sanele,67bd483c
info,registry,people,K Arua,8ce69204
info,registry,people,K Frank,f7e96532
info,registry,people,L McCabe,1dbc4a64
info,registry,people,Leitu Leong,672e1aea
info,registry,people,M Kenni,1feb0d3c
info,registry,people,N Vare,20ace887
info,registry,people,P Siaka,595433d2
info,registry,people,RP Johnston,c110235a
info,registry,people,RW Stratford,85489579
info,registry,people,S Jimmy,2daa8e40
info,registry,people,T Lafai,10cfda7c
info,registry,people,T Ruma,3697a0ff
info,registry,people,TH Semau,175d59dd
info,registry,people,TM Faimalo,e8cea6cf
info,registry,people,V Araa,040f11e8
info,registry,people,V Tafea,611298bd
info,registry,people,VM Andrew,ca9a7e09
ball,1,0.1,Samoa,VM Andrew,AF Aoina,GP Tom,0,1,1,,,,,"",""
ball,1,0.2,Samoa,VM Andrew,AF Aoina,GP Tom,0,0,,,,,,"",""
ball,1,0.3,Samoa,VM Andrew,AF Aoina,GP Tom,1,0,,,,,,"",""
ball,1,0.4,Samoa,AF Aoina,VM Andrew,GP Tom,2,0,,,,,,"",""
ball,1,0.5,Samoa,AF Aoina,VM Andrew,GP Tom,2,0,,,,,,"",""
ball,1,0.6,Samoa,AF Aoina,VM Andrew,GP Tom,0,0,,,,,,"",""
ball,1,0.7,Samoa,AF Aoina,VM Andrew,GP Tom,1,0,,,,,,"",""
ball,1,1.1,Samoa,AF Aoina,VM Andrew,HJ Thomas,0,0,,,,,,"",""
ball,1,1.2,Samoa,AF Aoina,VM Andrew,HJ Thomas,0,0,,,,,,"",""
ball,1,1.3,Samoa,AF Aoina,VM Andrew,HJ Thomas,2,0,,,,,,"",""
ball,1,1.4,Samoa,AF Aoina,VM Andrew,HJ Thomas,0,0,,,,,,bowled,AF Aoina
ball,1,1.5,Samoa,J Sanele,VM Andrew,HJ Thomas,0,0,,,,,,"",""
ball,1,1.6,Samoa,J Sanele,VM Andrew,HJ Thomas,0,0,,,,,,"",""
ball,1,2.1,Samoa,VM Andrew,J Sanele,GP Tom,1,0,,,,,,"",""
ball,1,2.2,Samoa,J Sanele,VM Andrew,GP Tom,0,0,,,,,,"",""
ball,1,2.3,Samoa,J Sanele,VM Andrew,GP Tom,0,0,,,,,,"",""
ball,1,2.4,Samoa,J Sanele,VM Andrew,GP Tom,0,0,,,,,,"",""
ball,1,2.5,Samoa,J Sanele,VM Andrew,GP Tom,0,0,,,,,,"",""
ball,1,2.6,Samoa,J Sanele,VM Andrew,GP Tom,0,0,,,,,,"",""
ball,1,3.1,Samoa,VM Andrew,J Sanele,HJ Thomas,0,0,,,,,,"",""
ball,1,3.2,Samoa,VM Andrew,J Sanele,HJ Thomas,0,0,,,,,,caught,VM Andrew
ball,1,3.3,Samoa,T Lafai,J Sanele,HJ Thomas,0,0,,,,,,"",""
ball,1,3.4,Samoa,T Lafai,J Sanele,HJ Thomas,0,0,,,,,,"",""
ball,1,3.5,Samoa,T Lafai,J Sanele,HJ Thomas,0,0,,,,,,"",""
