version,1.7.0
info,balls_per_over,6
info,team,Gambia
info,team,Tanzania
info,gender,male
info,season,2022/23
info,date,2022/12/06
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,19
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Tanzania
info,toss_decision,field
info,player_of_match,YM Nkanya
info,umpire,C Phiri
info,umpire,R D'Mello
info,reserve_umpire,F Mutizwa
info,match_referee,SA Fritz
info,winner,Tanzania
info,winner_wickets,10
info,player,Gambia,Muhammed Manga
info,player,Gambia,Ousman Bah
info,player,Gambia,A Conteh
info,player,Gambia,Andre Jarju
info,player,Gambia,Ismaila Tanba
info,player,Gambia,Abubacarr Kuyateh
info,player,Gambia,Mustapha Suwareh
info,player,Gambia,G Riley
info,player,Gambia,F Thorpe
info,player,Gambia,M Jobarteh
info,player,Gambia,O Touray
info,player,Tanzania,AR Patwa
info,player,Tanzania,II Selemani
info,player,Tanzania,K Nassoro
info,player,Tanzania,Jitin Singh
info,player,Tanzania,AM Kimote
info,player,Tanzania,MO Kitunda
info,player,Tanzania,S Thakor
info,player,Tanzania,YM Nkanya
info,player,Tanzania,M Yunusu Issa
info,player,Tanzania,AP Rajeevan
info,player,Tanzania,JJ Nyambo
info,registry,people,A Conteh,97b9cb64
info,registry,people,AM Kimote,34e36b65
info,registry,people,AP Rajeevan,63d6f031
info,registry,people,AR Patwa,b43f7a6a
info,registry,people,Abubacarr Kuyateh,0ec45a9a
info,registry,people,Andre Jarju,53dd7d8e
info,registry,people,C Phiri,ade73404
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,F Thorpe,a7de8e39
info,registry,people,G Riley,af16cd9e
info,registry,people,II Selemani,b2dadc51
info,registry,people,Ismaila Tanba,180e2c15
info,registry,people,JJ Nyambo,ffb3b559
info,registry,people,Jitin Singh,b7db83eb
info,registry,people,K Nassoro,29ee9bf9
info,registry,people,M Jobarteh,4a2ce060
info,registry,people,M Yunusu Issa,bbab35a3
info,registry,people,MO Kitunda,badef0dc
info,registry,people,Muhammed Manga,6084f6ee
info,registry,people,Mustapha Suwareh,44116edc
info,registry,people,O Touray,57427d9e
info,registry,people,Ousman Bah,95c214dd
info,registry,people,R D'Mello,f3c22863
info,registry,people,S Thakor,0848ac5f
info,registry,people,SA Fritz,d15e60c8
info,registry,people,YM Nkanya,9238dd92
ball,1,0.1,Gambia,Muhammed Manga,Ousman Bah,AM Kimote,0,0,,,,,,"",""
ball,1,0.2,Gambia,Muhammed Manga,Ousman Bah,AM Kimote,4,0,,,,,,"",""
ball,1,0.3,Gambia,Muhammed Manga,Ousman Bah,AM Kimote,0,0,,,,,,"",""
ball,1,0.4,Gambia,Muhammed Manga,Ousman Bah,AM Kimote,0,0,,,,,,"",""
ball,1,0.5,Gambia,Muhammed Manga,Ousman Bah,AM Kimote,0,0,,,,,,"",""
ball,1,0.6,Gambia,Muhammed Manga,Ousman Bah,AM Kimote,1,0,,,,,,"",""
ball,1,1.1,Gambia,Muhammed Manga,Ousman Bah,M Yunusu Issa,0,0,,,,,,"",""
ball,1,1.2,Gambia,Muhammed Manga,Ousman Bah,M Yunusu Issa,0,1,1,,,,,"",""
ball,1,1.3,Gambia,Muhammed Manga,Ousman Bah,M Yunusu Issa,1,0,,,,,,"",""
ball,1,1.4,Gambia,Ousman Bah,Muhammed Manga,M Yunusu Issa,0,0,,,,,,"",""
ball,1,1.5,Gambia,Ousman Bah,Muhammed Manga,M Yunusu Issa,0,0,,,,,,"",""
ball,1,1.6,Gambia,Ousman Bah,Muhammed Manga,M Yunusu Issa,0,1,1,,,,,"",""
ball,1,1.7,Gambia,Ousman Bah,Muhammed Manga,M Yunusu Issa,0,0,,,,,,"",""
ball,1,1.8,Gambia,Ousman Bah,Muhammed Manga,M Yunusu Issa,1,0,,,,,,"",""
ball,1,2.1,Gambia,Ousman Bah,Muhammed Manga,AM Kimote,1,0,,,,,,"",""
ball,1,2.2,Gambia,Muhammed Manga,Ousman Bah,AM Kimote,0,0,,,,,,"",""
ball,1,2.3,Gambia,Muhammed Manga,Ousman Bah,AM Kimote,1,0,,,,,,"",""
ball,1,2.4,Gambia,Ousman Bah,Muhammed Manga,AM Kimote,0,0,,,,,,bowled,Ousman Bah
ball,1,2.5,Gambia,A Conteh,Muhammed Manga,AM Kimote,0,0,,,,,,"",""
ball,1,2.6,Gambia,A Conteh,Muhammed Manga,AM Kimote,0,0,,,,,,"",""
ball,1,3.1,Gambia,Muhammed Manga,A Conteh,M Yunusu Issa,1,0,,,,,,"",""
ball,1,3.2,Gambia,A Conteh,Muhammed Manga,M Yunusu Issa,0,0,,,,,,"",""
ball,1,3.3,Gambia,A Conteh,Muhammed Manga,M Yunusu Issa,0,0,,,,,,"",""
ball,1,3.4,Gambia,A Conteh,Muhammed Manga,M Yunusu Issa,0,0,,,,,,"",""
ball,1,3.5,Gambia,A Conteh,Muhammed Manga,M Yunusu Issa,0,0,,,,,,"",""
ball,1,3.6,Gambia,A Conteh,Muhammed Manga,M Yunusu Issa,1,0,,,,,,"",""
ball,1,4.1,Gambia,A Conteh,Muhammed Manga,AM Kimote,0,0,,,,,,"",""
ball,1,4.2,Gambia,A Conteh,Muhammed Manga,AM Kimote,2,0,,,,,,"",""
ball,1,4.3,Gambia,A Conteh,Muhammed Manga,AM Kimote,0,1,1,,,,,"",""
ball,1,4.4,Gambia,A Conteh,Muhammed Manga,AM Kimote,0,0,,,,,,"",""
ball,1,4.5,Gambia,A Conteh,Muhammed Manga,AM Kimote,0,0,,,,,,"",""
ball,1,4.6,Gambia,A Conteh,Muhammed Manga,AM Kimote,0,1,1,,,,,"",""
ball,1,4.7,Gambia,A Conteh,Muhammed Manga,AM Kimote,4,0,,,,,,"",""
ball,1,4.8,Gambia,A Conteh,Muhammed Manga,AM Kimote,0,0,,,,,,"",""
ball,1,5.1,Gambia,Muhammed Manga,A Conteh,M Yunusu Issa,0,0,,,,,,"",""
ball,1,5.2,Gambia,Muhammed Manga,A Conteh,M Yunusu Issa,1,0,,,,,,"",""
ball,1,5.3,Gambia,A Conteh,Muhammed Manga,M Yunusu Issa,0,0,,,,,,"",""
ball,1,5.4,Gambia,A Conteh,Muhammed Manga,M Yunusu Issa,1,0,,,,,,"",""
ball,1,5.5,Gambia,Muhammed Manga,A Conteh,M Yunusu Issa,0,0,,,,,,"",""
ball,1,5.6,Gambia,Muhammed Manga,A Conteh,M Yunusu Issa,0,1,1,,,,,"",""
ball,1,5.7,Gambia,Muhammed Manga,A Conteh,M Yunusu Issa,0,0,,,,,,"",""
