version,1.7.0
info,balls_per_over,6
info,team,Botswana
info,team,Kenya
info,gender,male
info,season,2022/23
info,date,2022/11/24
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,23
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Botswana
info,toss_decision,bat
info,player_of_match,CO Obuya
info,umpire,John Mayeku
info,umpire,L Rusere
info,reserve_umpire,BM White
info,match_referee,S Wadvalla
info,winner,Kenya
info,winner_wickets,8
info,player,Botswana,K Motlanka
info,player,Botswana,V Balakrishnan
info,player,Botswana,T Perera
info,player,Botswana,R Nehonde
info,player,Botswana,P Silas
info,player,Botswana,V Mbazo
info,player,Botswana,T Tshose
info,player,Botswana,B Maphosa
info,player,Botswana,M Mooketsi
info,player,Botswana,D Maisuria
info,player,Botswana,K Piet
info,player,Kenya,RN Patel
info,player,Kenya,CO Obuya
info,player,Kenya,IA Karim
info,player,Kenya,RR Patel
info,player,Kenya,NM Odhiambo
info,player,Kenya,Vraj Patel
info,player,Kenya,LN Oluoch
info,player,Kenya,SR Bhudia
info,player,Kenya,Tanzeel Sheikh
info,player,Kenya,SO Ngoche
info,player,Kenya,P Koech
info,registry,people,B Maphosa,20d948ae
info,registry,people,BM White,66c21d35
info,registry,people,CO Obuya,5680f1ad
info,registry,people,D Maisuria,a96b36af
info,registry,people,IA Karim,ca92a578
info,registry,people,John Mayeku,9d819a32
info,registry,people,K Motlanka,21549344
info,registry,people,K Piet,39fd9295
info,registry,people,L Rusere,6a4734ae
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,M Mooketsi,008a024c
info,registry,people,NM Odhiambo,c07a1f41
info,registry,people,P Koech,f4a0a615
info,registry,people,P Silas,9f2e1944
info,registry,people,R Nehonde,4393e047
info,registry,people,RN Patel,db1bf9c2
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SO Ngoche,49118dc7
info,registry,people,SR Bhudia,e9173fb0
info,registry,people,T Perera,456397e5
info,registry,people,T Tshose,18ae55e4
info,registry,people,Tanzeel Sheikh,5493ad5c
info,registry,people,V Balakrishnan,0c1da0c4
info,registry,people,V Mbazo,a2317d14
info,registry,people,Vraj Patel,2af28253
ball,1,0.1,Botswana,K Motlanka,V Balakrishnan,LN Oluoch,1,0,,,,,,"",""
ball,1,0.2,Botswana,V Balakrishnan,K Motlanka,LN Oluoch,0,0,,,,,,"",""
ball,1,0.3,Botswana,V Balakrishnan,K Motlanka,LN Oluoch,0,0,,,,,,"",""
ball,1,0.4,Botswana,V Balakrishnan,K Motlanka,LN Oluoch,1,0,,,,,,"",""
ball,1,0.5,Botswana,K Motlanka,V Balakrishnan,LN Oluoch,1,0,,,,,,"",""
ball,1,0.6,Botswana,V Balakrishnan,K Motlanka,LN Oluoch,0,0,,,,,,"",""
ball,1,1.1,Botswana,K Motlanka,V Balakrishnan,P Koech,1,0,,,,,,"",""
ball,1,1.2,Botswana,V Balakrishnan,K Motlanka,P Koech,1,0,,,,,,"",""
ball,1,1.3,Botswana,K Motlanka,V Balakrishnan,P Koech,0,0,,,,,,"",""
ball,1,1.4,Botswana,K Motlanka,V Balakrishnan,P Koech,6,0,,,,,,"",""
ball,1,1.5,Botswana,K Motlanka,V Balakrishnan,P Koech,0,0,,,,,,"",""
ball,1,1.6,Botswana,K Motlanka,V Balakrishnan,P Koech,1,0,,,,,,"",""
ball,1,2.1,Botswana,K Motlanka,V Balakrishnan,LN Oluoch,1,0,,,,,,"",""
ball,1,2.2,Botswana,V Balakrishnan,K Motlanka,LN Oluoch,0,0,,,,,,"",""
ball,1,2.3,Botswana,V Balakrishnan,K Motlanka,LN Oluoch,0,0,,,,,,"",""
ball,1,2.4,Botswana,V Balakrishnan,K Motlanka,LN Oluoch,0,0,,,,,,"",""
ball,1,2.5,Botswana,V Balakrishnan,K Motlanka,LN Oluoch,0,0,,,,,,"",""
ball,1,2.6,Botswana,V Balakrishnan,K Motlanka,LN Oluoch,0,0,,,,,,"",""
ball,1,3.1,Botswana,K Motlanka,V Balakrishnan,P Koech,1,0,,,,,,"",""
ball,1,3.2,Botswana,V Balakrishnan,K Motlanka,P Koech,0,0,,,,,,"",""
ball,1,3.3,Botswana,V Balakrishnan,K Motlanka,P Koech,1,0,,,,,,"",""
ball,1,3.4,Botswana,K Motlanka,V Balakrishnan,P Koech,0,0,,,,,,caught,K Motlanka
