version,1.6.0
info,balls_per_over,6
info,team,West Indies
info,team,India
info,gender,male
info,season,2017
info,date,2017/07/09
info,venue,"Sabina Park, Kingston"
info,city,Jamaica
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,E Lewis
info,umpire,N Duguid
info,umpire,LS Reifer
info,reserve_umpire,PA Gustard
info,tv_umpire,JS Wilson
info,match_referee,DC Boon
info,winner,West Indies
info,winner_wickets,9
info,player,India,V Kohli
info,player,India,S Dhawan
info,player,India,RR Pant
info,player,India,KD Karthik
info,player,India,MS Dhoni
info,player,India,KM Jadhav
info,player,India,RA Jadeja
info,player,India,R Ashwin
info,player,India,Kuldeep Yadav
info,player,India,Mohammed Shami
info,player,India,B Kumar
info,player,West Indies,CH Gayle
info,player,West Indies,E Lewis
info,player,West Indies,MN Samuels
info,player,West Indies,CAK Walton
info,player,West Indies,KA Pollard
info,player,West Indies,R Powell
info,player,West Indies,CR Brathwaite
info,player,West Indies,SP Narine
info,player,West Indies,S Badree
info,player,West Indies,JE Taylor
info,player,West Indies,KOK Williams
info,registry,people,B Kumar,2e81a32d
info,registry,people,CAK Walton,bbff906c
info,registry,people,CH Gayle,db584dad
info,registry,people,CR Brathwaite,e342e5fb
info,registry,people,DC Boon,e79a1fe3
info,registry,people,E Lewis,0ebfb1ad
info,registry,people,JE Taylor,4180d897
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,KA Pollard,a757b0d8
info,registry,people,KD Karthik,c03f1114
info,registry,people,KM Jadhav,99d63244
info,registry,people,KOK Williams,78cb83f3
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,LS Reifer,5dee559a
info,registry,people,MN Samuels,f846de6a
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,N Duguid,64495506
info,registry,people,PA Gustard,25bcf808
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Powell,650d5e49
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RR Pant,919a3be2
info,registry,people,S Badree,76388dc8
info,registry,people,S Dhawan,0a476045
info,registry,people,SP Narine,9d430b40
info,registry,people,V Kohli,ba607b88
ball,1,0.1,India,V Kohli,S Dhawan,S Badree,4,0,,,,,,"",""
ball,1,0.2,India,V Kohli,S Dhawan,S Badree,1,0,,,,,,"",""
ball,1,0.3,India,S Dhawan,V Kohli,S Badree,4,0,,,,,,"",""
ball,1,0.4,India,S Dhawan,V Kohli,S Badree,0,0,,,,,,"",""
ball,1,0.5,India,S Dhawan,V Kohli,S Badree,4,0,,,,,,"",""
ball,1,0.6,India,S Dhawan,V Kohli,S Badree,0,0,,,,,,"",""
ball,1,1.1,India,V Kohli,S Dhawan,JE Taylor,4,0,,,,,,"",""
ball,1,1.2,India,V Kohli,S Dhawan,JE Taylor,4,0,,,,,,"",""
ball,1,1.3,India,V Kohli,S Dhawan,JE Taylor,0,0,,,,,,"",""
ball,1,1.4,India,V Kohli,S Dhawan,JE Taylor,0,0,,,,,,"",""
ball,1,1.5,India,V Kohli,S Dhawan,JE Taylor,1,0,,,,,,"",""
ball,1,1.6,India,S Dhawan,V Kohli,JE Taylor,4,0,,,,,,"",""
ball,1,2.1,India,V Kohli,S Dhawan,S Badree,0,1,1,,,,,"",""
ball,1,2.2,India,V Kohli,S Dhawan,S Badree,0,0,,,,,,"",""
ball,1,2.3,India,V Kohli,S Dhawan,S Badree,0,0,,,,,,"",""
ball,1,2.4,India,V Kohli,S Dhawan,S Badree,1,0,,,,,,"",""
ball,1,2.5,India,S Dhawan,V Kohli,S Badree,0,0,,,,,,"",""
ball,1,2.6,India,S Dhawan,V Kohli,S Badree,4,0,,,,,,"",""
ball,1,2.7,India,S Dhawan,V Kohli,S Badree,0,0,,,,,,"",""
ball,1,3.1,India,V Kohli,S Dhawan,KOK Williams,0,0,,,,,,"",""
ball,1,3.2,India,V Kohli,S Dhawan,KOK Williams,0,0,,,,,,"",""
ball,1,3.3,India,V Kohli,S Dhawan,KOK Williams,4,0,,,,,,"",""
ball,1,3.4,India,V Kohli,S Dhawan,KOK Williams,4,0,,,,,,"",""
ball,1,3.5,India,V Kohli,S Dhawan,KOK Williams,1,0,,,,,,"",""
ball,1,3.6,India,S Dhawan,V Kohli,KOK Williams,1,0,,,,,,"",""
