version,1.7.0
info,balls_per_over,6
info,team,Nepal
info,team,Oman
info,gender,male
info,season,2024
info,date,2024/09/29
info,event,Canada T20 Tri-Series
info,match_number,2
info,venue,"Maple Leaf North-West Ground, King City"
info,city,King City
info,toss_winner,Oman
info,toss_decision,field
info,player_of_match,Gulsan Jha
info,umpire,AR Maddela
info,umpire,R Shah
info,reserve_umpire,Bijal Patel
info,match_referee,Neeyamur Rashid
info,winner,Nepal
info,winner_runs,37
info,player,Nepal,AK Sah
info,player,Nepal,Aasif Sheikh
info,player,Nepal,D Khanal
info,player,Nepal,Kushal Malla
info,player,Nepal,RK Paudel
info,player,Nepal,K Bhurtel
info,player,Nepal,Gulsan Jha
info,player,Nepal,DS Airee
info,player,Nepal,S Lamichhane
info,player,Nepal,Karan KC
info,player,Nepal,R Dhakal
info,player,Oman,KH Prajapati
info,player,Oman,Aqib Ilyas
info,player,Oman,Shoaib Khan
info,player,Oman,Ayan Khan
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Khalid Kail
info,player,Oman,PS Athavale
info,player,Oman,Rafiullah
info,player,Oman,Shakeel Ahmed
info,player,Oman,Fayyaz Butt
info,player,Oman,Kaleemullah
info,registry,people,AK Sah,5b1d6583
info,registry,people,AR Maddela,5c861579
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Aqib Ilyas,b3b39bed
info,registry,people,Ayan Khan,44d6a8b8
info,registry,people,Bijal Patel,a56e35ba
info,registry,people,D Khanal,c4bc3b59
info,registry,people,DS Airee,1747ea18
info,registry,people,Fayyaz Butt,bd9fbd51
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,KH Prajapati,c4e73ff1
info,registry,people,Kaleemullah,72253b87
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Khalid Kail,3ee90b67
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,Neeyamur Rashid,bd81a027
info,registry,people,PS Athavale,c2f12310
info,registry,people,R Dhakal,8399a7af
info,registry,people,R Shah,3424e050
info,registry,people,RK Paudel,1a3cc554
info,registry,people,Rafiullah,369cc49c
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,Shakeel Ahmed,e29e9c12
info,registry,people,Shoaib Khan,21afb939
info,registry,people,Zeeshan Maqsood,34464143
ball,1,0.1,Nepal,AK Sah,Aasif Sheikh,Kaleemullah,0,0,,,,,,"",""
ball,1,0.2,Nepal,AK Sah,Aasif Sheikh,Kaleemullah,0,0,,,,,,"",""
ball,1,0.3,Nepal,AK Sah,Aasif Sheikh,Kaleemullah,0,0,,,,,,"",""
ball,1,0.4,Nepal,AK Sah,Aasif Sheikh,Kaleemullah,0,0,,,,,,"",""
ball,1,0.5,Nepal,AK Sah,Aasif Sheikh,Kaleemullah,0,0,,,,,,"",""
ball,1,0.6,Nepal,AK Sah,Aasif Sheikh,Kaleemullah,4,0,,,,,,"",""
ball,1,1.1,Nepal,Aasif Sheikh,AK Sah,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,1.2,Nepal,Aasif Sheikh,AK Sah,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,1.3,Nepal,Aasif Sheikh,AK Sah,Shakeel Ahmed,1,0,,,,,,"",""
ball,1,1.4,Nepal,AK Sah,Aasif Sheikh,Shakeel Ahmed,1,0,,,,,,"",""
ball,1,1.5,Nepal,Aasif Sheikh,AK Sah,Shakeel Ahmed,4,0,,,,,,"",""
ball,1,1.6,Nepal,Aasif Sheikh,AK Sah,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,2.1,Nepal,AK Sah,Aasif Sheikh,Kaleemullah,0,0,,,,,,"",""
ball,1,2.2,Nepal,AK Sah,Aasif Sheikh,Kaleemullah,6,0,,,,,,"",""
ball,1,2.3,Nepal,AK Sah,Aasif Sheikh,Kaleemullah,2,0,,,,,,"",""
ball,1,2.4,Nepal,AK Sah,Aasif Sheikh,Kaleemullah,0,0,,,,,,"",""
ball,1,2.5,Nepal,AK Sah,Aasif Sheikh,Kaleemullah,1,0,,,,,,"",""
ball,1,2.6,Nepal,Aasif Sheikh,AK Sah,Kaleemullah,0,0,,,,,,"",""
ball,1,3.1,Nepal,AK Sah,Aasif Sheikh,Shakeel Ahmed,2,0,,,,,,"",""
ball,1,3.2,Nepal,AK Sah,Aasif Sheikh,Shakeel Ahmed,1,0,,,,,,"",""
ball,1,3.3,Nepal,Aasif Sheikh,AK Sah,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,3.4,Nepal,Aasif Sheikh,AK Sah,Shakeel Ahmed,0,0,,,,,,"",""
