version,1.7.0
info,balls_per_over,6
info,team,Japan
info,team,Singapore
info,gender,female
info,season,2024/25
info,date,2024/10/06
info,event,Singapore Women tour of Japan
info,match_number,5
info,venue,Sano International Cricket Ground
info,city,Sano
info,toss_winner,Singapore
info,toss_decision,field
info,player_of_match,H Iwasaki
info,umpire,Adam Birss
info,umpire,R Newman
info,winner,Japan
info,winner_runs,29
info,player,Japan,Seika Sumi
info,player,Japan,H Goto
info,player,Japan,M Yanagida
info,player,Japan,K Ota
info,player,Japan,H Iwasaki
info,player,Japan,S Kato
info,player,Japan,A Kano
info,player,Japan,A Chandel
info,player,Japan,P Gundecha
info,player,Japan,E Kusuda-Nairn
info,player,Japan,S Ranade
info,player,Singapore,Smriti Anand
info,player,Singapore,Shafina Mahesh
info,player,Singapore,PSR Gurusinghe
info,player,Singapore,Vinu Kumar
info,player,Singapore,RR Seth
info,player,Singapore,NL Jacinta Si Ping
info,player,Singapore,H Dhavina
info,player,Singapore,I Shukla
info,player,Singapore,JS Pooranakaran
info,player,Singapore,C Boyle
info,player,Singapore,E Ungerman
info,registry,people,A Chandel,78fa5f6d
info,registry,people,A Kano,e92841c0
info,registry,people,Adam Birss,0cabf6f4
info,registry,people,C Boyle,11374353
info,registry,people,E Kusuda-Nairn,95c5ce07
info,registry,people,E Ungerman,3959c505
info,registry,people,H Dhavina,cd12f384
info,registry,people,H Goto,b3af5bff
info,registry,people,H Iwasaki,f2698c78
info,registry,people,I Shukla,ce490298
info,registry,people,JS Pooranakaran,417bde96
info,registry,people,K Ota,211f48fe
info,registry,people,M Yanagida,f20e7e23
info,registry,people,NL Jacinta Si Ping,68c9a36f
info,registry,people,P Gundecha,af79635f
info,registry,people,PSR Gurusinghe,591a7004
info,registry,people,R Newman,5a8f8619
info,registry,people,RR Seth,7ccc0a38
info,registry,people,S Kato,ef9ff861
info,registry,people,S Ranade,01404b98
info,registry,people,Seika Sumi,704b4c30
info,registry,people,Shafina Mahesh,0c40b02d
info,registry,people,Smriti Anand,6a532414
info,registry,people,Vinu Kumar,3775b9f9
ball,1,0.1,Japan,Seika Sumi,H Goto,JS Pooranakaran,0,0,,,,,,"",""
ball,1,0.2,Japan,Seika Sumi,H Goto,JS Pooranakaran,1,0,,,,,,"",""
ball,1,0.3,Japan,H Goto,Seika Sumi,JS Pooranakaran,0,0,,,,,,"",""
ball,1,0.4,Japan,H Goto,Seika Sumi,JS Pooranakaran,1,0,,,,,,"",""
ball,1,0.5,Japan,Seika Sumi,H Goto,JS Pooranakaran,0,0,,,,,,"",""
ball,1,0.6,Japan,Seika Sumi,H Goto,JS Pooranakaran,0,1,1,,,,,"",""
ball,1,0.7,Japan,Seika Sumi,H Goto,JS Pooranakaran,0,0,,,,,,bowled,Seika Sumi
ball,1,1.1,Japan,H Goto,M Yanagida,C Boyle,0,1,1,,,,,"",""
ball,1,1.2,Japan,H Goto,M Yanagida,C Boyle,0,1,1,,,,,"",""
ball,1,1.3,Japan,H Goto,M Yanagida,C Boyle,0,1,1,,,,,"",""
ball,1,1.4,Japan,H Goto,M Yanagida,C Boyle,1,0,,,,,,"",""
ball,1,1.5,Japan,M Yanagida,H Goto,C Boyle,2,0,,,,,,"",""
ball,1,1.6,Japan,M Yanagida,H Goto,C Boyle,0,0,,,,,,"",""
ball,1,1.7,Japan,M Yanagida,H Goto,C Boyle,1,0,,,,,,"",""
ball,1,1.8,Japan,H Goto,M Yanagida,C Boyle,0,0,,,,,,"",""
ball,1,1.9,Japan,H Goto,M Yanagida,C Boyle,4,0,,,,,,"",""
ball,1,2.1,Japan,M Yanagida,H Goto,JS Pooranakaran,0,0,,,,,,"",""
ball,1,2.2,Japan,M Yanagida,H Goto,JS Pooranakaran,0,0,,,,,,"",""
ball,1,2.3,Japan,M Yanagida,H Goto,JS Pooranakaran,0,0,,,,,,"",""
ball,1,2.4,Japan,M Yanagida,H Goto,JS Pooranakaran,0,0,,,,,,"",""
ball,1,2.5,Japan,M Yanagida,H Goto,JS Pooranakaran,0,2,,1,1,,,"",""
ball,1,2.6,Japan,H Goto,M Yanagida,JS Pooranakaran,0,0,,,,,,"",""
