version,1.7.0
info,balls_per_over,6
info,team,Bermuda
info,team,Argentina
info,gender,male
info,season,2022/23
info,date,2023/02/26
info,event,ICC Men's T20 World Cup Americas Region Qualifier
info,match_number,4
info,venue,"Belgrano Athletic Club Ground, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Bermuda
info,toss_decision,bat
info,player_of_match,DMW Rawlins
info,umpire,AR Maddela
info,umpire,Vijaya Mallela
info,reserve_umpire,SN Bandekar
info,match_referee,Reon King
info,winner,Bermuda
info,winner_runs,110
info,player,Bermuda,KS Leverock
info,player,Bermuda,T Manders
info,player,Bermuda,TS Fray
info,player,Bermuda,DMW Rawlins
info,player,Bermuda,D Sabir
info,player,Bermuda,MO Jones
info,player,Bermuda,Z Burgess
info,player,Bermuda,JDP Albertze
info,player,Bermuda,S Smith
info,player,Bermuda,JE Pitcher
info,player,Bermuda,DL Brangman
info,player,Argentina,P Baron
info,player,Argentina,LA Musiani
info,player,Argentina,A Ferguson
info,player,Argentina,R Escobar
info,player,Argentina,A Kirschbaum
info,player,Argentina,T Rossi
info,player,Argentina,D Mauro
info,player,Argentina,S Rossi
info,player,Argentina,AAP Rivero
info,player,Argentina,H Fennell
info,player,Argentina,A Husain
info,registry,people,A Ferguson,4a8d1b14
info,registry,people,A Husain,034d3c52
info,registry,people,A Kirschbaum,d953bf92
info,registry,people,AAP Rivero,1911dcbc
info,registry,people,AR Maddela,5c861579
info,registry,people,D Mauro,5f0f398d
info,registry,people,D Sabir,04bc296f
info,registry,people,DL Brangman,dab18aa5
info,registry,people,DMW Rawlins,f1eb3c73
info,registry,people,H Fennell,0d38ab25
info,registry,people,JDP Albertze,80782209
info,registry,people,JE Pitcher,ab126ea8
info,registry,people,KS Leverock,e1592949
info,registry,people,LA Musiani,efbd35a9
info,registry,people,MO Jones,0e0afd8b
info,registry,people,P Baron,c6d1b1e4
info,registry,people,R Escobar,9fa5496f
info,registry,people,Reon King,20fbf68c
info,registry,people,S Rossi,56544f81
info,registry,people,S Smith,18a0ba24
info,registry,people,SN Bandekar,350528bb
info,registry,people,T Manders,6d2b9724
info,registry,people,T Rossi,5470418a
info,registry,people,TS Fray,c7537f8a
info,registry,people,Vijaya Mallela,85b6244a
info,registry,people,Z Burgess,d0042e16
ball,1,0.1,Bermuda,KS Leverock,T Manders,A Kirschbaum,1,0,,,,,,"",""
ball,1,0.2,Bermuda,T Manders,KS Leverock,A Kirschbaum,0,0,,,,,,"",""
ball,1,0.3,Bermuda,T Manders,KS Leverock,A Kirschbaum,0,0,,,,,,"",""
ball,1,0.4,Bermuda,T Manders,KS Leverock,A Kirschbaum,6,0,,,,,,"",""
ball,1,0.5,Bermuda,T Manders,KS Leverock,A Kirschbaum,4,0,,,,,,"",""
ball,1,0.6,Bermuda,T Manders,KS Leverock,A Kirschbaum,4,0,,,,,,"",""
ball,1,1.1,Bermuda,KS Leverock,T Manders,H Fennell,0,0,,,,,,"",""
ball,1,1.2,Bermuda,KS Leverock,T Manders,H Fennell,0,0,,,,,,"",""
ball,1,1.3,Bermuda,KS Leverock,T Manders,H Fennell,0,0,,,,,,"",""
ball,1,1.4,Bermuda,KS Leverock,T Manders,H Fennell,2,0,,,,,,"",""
ball,1,1.5,Bermuda,KS Leverock,T Manders,H Fennell,0,0,,,,,,"",""
ball,1,1.6,Bermuda,KS Leverock,T Manders,H Fennell,0,0,,,,,,caught,KS Leverock
ball,1,2.1,Bermuda,T Manders,TS Fray,T Rossi,1,0,,,,,,"",""
ball,1,2.2,Bermuda,TS Fray,T Manders,T Rossi,1,0,,,,,,"",""
ball,1,2.3,Bermuda,T Manders,TS Fray,T Rossi,4,0,,,,,,"",""
ball,1,2.4,Bermuda,T Manders,TS Fray,T Rossi,0,0,,,,,,"",""
ball,1,2.5,Bermuda,T Manders,TS Fray,T Rossi,4,0,,,,,,"",""
ball,1,2.6,Bermuda,T Manders,TS Fray,T Rossi,4,0,,,,,,"",""
ball,1,3.1,Bermuda,TS Fray,T Manders,H Fennell,1,0,,,,,,"",""
ball,1,3.2,Bermuda,T Manders,TS Fray,H Fennell,0,0,,,,,,"",""
ball,1,3.3,Bermuda,T Manders,TS Fray,H Fennell,0,3,,,,3,,"",""
ball,1,3.4,Bermuda,TS Fray,T Manders,H Fennell,1,0,,,,,,"",""
ball,1,3.5,Bermuda,T Manders,TS Fray,H Fennell,1,0,,,,,,"",""
ball,1,3.6,Bermuda,TS Fray,T Manders,H Fennell,0,0,,,,,,"",""
ball,1,4.1,Bermuda,T Manders,TS Fray,T Rossi,4,0,,,,,,"",""
ball,1,4.2,Bermuda,T Manders,TS Fray,T Rossi,1,0,,,,,,"",""
ball,1,4.3,Bermuda,TS Fray,T Manders,T Rossi,1,0,,,,,,"",""
ball,1,4.4,Bermuda,T Manders,TS Fray,T Rossi,0,0,,,,,,"",""
ball,1,4.5,Bermuda,T Manders,TS Fray,T Rossi,0,1,,,,1,,"",""
ball,1,4.6,Bermuda,TS Fray,T Manders,T Rossi,0,0,,,,,,"",""
ball,1,5.1,Bermuda,T Manders,TS Fray,S Rossi,1,0,,,,,,"",""
ball,1,5.2,Bermuda,TS Fray,T Manders,S Rossi,4,0,,,,,,"",""
ball,1,5.3,Bermuda,TS Fray,T Manders,S Rossi,1,0,,,,,,"",""
ball,1,5.4,Bermuda,T Manders,TS Fray,S Rossi,0,0,,,,,,"",""
ball,1,5.5,Bermuda,T Manders,TS Fray,S Rossi,6,0,,,,,,"",""
ball,1,5.6,Bermuda,T Manders,TS Fray,S Rossi,1,0,,,,,,"",""
ball,1,6.1,Bermuda,T Manders,TS Fray,A Husain,1,0,,,,,,"",""
ball,1,6.2,Bermuda,TS Fray,T Manders,A Husain,4,0,,,,,,"",""
ball,1,6.3,Bermuda,TS Fray,T Manders,A Husain,0,0,,,,,,"",""
ball,1,6.4,Bermuda,TS Fray,T Manders,A Husain,0,0,,,,,,"",""
ball,1,6.5,Bermuda,TS Fray,T Manders,A Husain,2,0,,,,,,"",""
ball,1,6.6,Bermuda,TS Fray,T Manders,A Husain,0,0,,,,,,"",""
ball,1,7.1,Bermuda,T Manders,TS Fray,S Rossi,0,3,3,,,,,"",""
ball,1,7.2,Bermuda,T Manders,TS Fray,S Rossi,1,0,,,,,,"",""
ball,1,7.3,Bermuda,TS Fray,T Manders,S Rossi,1,0,,,,,,"",""
ball,1,7.4,Bermuda,T Manders,TS Fray,S Rossi,1,0,,,,,,"",""
ball,1,7.5,Bermuda,TS Fray,T Manders,S Rossi,1,0,,,,,,"",""
ball,1,7.6,Bermuda,T Manders,TS Fray,S Rossi,0,0,,,,,,"",""
ball,1,7.7,Bermuda,T Manders,TS Fray,S Rossi,4,0,,,,,,"",""
ball,1,8.1,Bermuda,TS Fray,T Manders,A Kirschbaum,0,0,,,,,,"",""
ball,1,8.2,Bermuda,TS Fray,T Manders,A Kirschbaum,1,0,,,,,,"",""
ball,1,8.3,Bermuda,T Manders,TS Fray,A Kirschbaum,0,0,,,,,,"",""
