version,1.7.0
info,balls_per_over,6
info,team,Sierra Leone
info,team,Nigeria
info,gender,male
info,season,2022/23
info,date,2022/12/02
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,5
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Nigeria
info,toss_decision,field
info,player_of_match,P Aho
info,umpire,C Phiri
info,umpire,Lauren Agenbag
info,reserve_umpire,Stephen Harris
info,match_referee,SA Fritz
info,winner,Nigeria
info,winner_wickets,6
info,player,Sierra Leone,J Bangura
info,player,Sierra Leone,I Kamara
info,player,Sierra Leone,G Ngegba
info,player,Sierra Leone,A Gbla
info,player,Sierra Leone,L Lamin
info,player,Sierra Leone,M Kpaka
info,player,Sierra Leone,S Conteh
info,player,Sierra Leone,R Coker
info,player,Sierra Leone,Mohamed Khan
info,player,Sierra Leone,G Sesay
info,player,Sierra Leone,C Bah
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,AA Onikoyi
info,player,Nigeria,A Shreshta
info,player,Nigeria,AE Isesele
info,player,Nigeria,CN Onwuzulike
info,player,Nigeria,IO Okpe
info,player,Nigeria,P Aho
info,player,Nigeria,P Useni
info,player,Nigeria,R Abdulkareem
info,player,Nigeria,SA Okpe
info,player,Nigeria,C Udekwe
info,registry,people,A Gbla,34ab1e6e
info,registry,people,A Shreshta,4e9af8f6
info,registry,people,AA Onikoyi,409ce380
info,registry,people,AE Isesele,5249f9c4
info,registry,people,C Bah,7213d757
info,registry,people,C Phiri,ade73404
info,registry,people,C Udekwe,74a578d0
info,registry,people,CN Onwuzulike,715dbf27
info,registry,people,G Ngegba,69caf2be
info,registry,people,G Sesay,c556b9d2
info,registry,people,I Kamara,38702fb5
info,registry,people,IO Okpe,1c5c3dce
info,registry,people,J Bangura,d7acab5d
info,registry,people,L Lamin,5a970aab
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M Kpaka,c381cec5
info,registry,people,Mohamed Khan,13501ff4
info,registry,people,P Aho,2e392afa
info,registry,people,P Useni,71fa64d6
info,registry,people,R Abdulkareem,b9e07e44
info,registry,people,R Coker,3239c8a9
info,registry,people,S Conteh,8f70fff7
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SA Okpe,681f522f
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,Sulaimon Runsewe,c25d26dc
ball,1,0.1,Sierra Leone,J Bangura,I Kamara,P Aho,0,0,,,,,,bowled,J Bangura
ball,1,0.2,Sierra Leone,G Ngegba,I Kamara,P Aho,0,0,,,,,,"",""
ball,1,0.3,Sierra Leone,G Ngegba,I Kamara,P Aho,0,0,,,,,,"",""
ball,1,0.4,Sierra Leone,G Ngegba,I Kamara,P Aho,0,0,,,,,,"",""
ball,1,0.5,Sierra Leone,G Ngegba,I Kamara,P Aho,0,1,1,,,,,"",""
ball,1,0.6,Sierra Leone,G Ngegba,I Kamara,P Aho,0,0,,,,,,caught,G Ngegba
ball,1,0.7,Sierra Leone,A Gbla,I Kamara,P Aho,0,0,,,,,,"",""
ball,1,1.1,Sierra Leone,I Kamara,A Gbla,P Useni,0,0,,,,,,"",""
ball,1,1.2,Sierra Leone,I Kamara,A Gbla,P Useni,0,0,,,,,,"",""
ball,1,1.3,Sierra Leone,I Kamara,A Gbla,P Useni,0,0,,,,,,"",""
ball,1,1.4,Sierra Leone,I Kamara,A Gbla,P Useni,1,0,,,,,,"",""
ball,1,1.5,Sierra Leone,A Gbla,I Kamara,P Useni,0,0,,,,,,"",""
ball,1,1.6,Sierra Leone,A Gbla,I Kamara,P Useni,0,0,,,,,,"",""
ball,1,2.1,Sierra Leone,I Kamara,A Gbla,P Aho,0,0,,,,,,run out,I Kamara
ball,1,2.2,Sierra Leone,A Gbla,L Lamin,P Aho,0,0,,,,,,"",""
ball,1,2.3,Sierra Leone,A Gbla,L Lamin,P Aho,1,0,,,,,,"",""
ball,1,2.4,Sierra Leone,L Lamin,A Gbla,P Aho,0,0,,,,,,"",""
ball,1,2.5,Sierra Leone,L Lamin,A Gbla,P Aho,1,0,,,,,,"",""
ball,1,2.6,Sierra Leone,A Gbla,L Lamin,P Aho,0,0,,,,,,"",""
ball,1,3.1,Sierra Leone,L Lamin,A Gbla,P Useni,0,0,,,,,,"",""
ball,1,3.2,Sierra Leone,L Lamin,A Gbla,P Useni,0,0,,,,,,"",""
ball,1,3.3,Sierra Leone,L Lamin,A Gbla,P Useni,0,0,,,,,,"",""
ball,1,3.4,Sierra Leone,L Lamin,A Gbla,P Useni,1,0,,,,,,"",""
ball,1,3.5,Sierra Leone,A Gbla,L Lamin,P Useni,1,0,,,,,,"",""
