version,1.7.0
info,balls_per_over,6
info,team,Denmark
info,team,Guernsey
info,gender,male
info,season,2024
info,date,2024/08/28
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C
info,venue,"King George V Sports Ground, Castel"
info,city,Castel
info,toss_winner,Guernsey
info,toss_decision,field
info,player_of_match,MWR Stokes
info,umpire,AY Harris
info,umpire,AA Baig
info,reserve_umpire,RJ Veillard
info,match_referee,GH Pienaar
info,winner,Guernsey
info,winner_wickets,6
info,player,Denmark,T Bharaj
info,player,Denmark,HAM Shah
info,player,Denmark,S Thanikaithasan
info,player,Denmark,SA Ahmad
info,player,Denmark,Surya Anand
info,player,Denmark,ND Laegsgaard
info,player,Denmark,OD Hald
info,player,Denmark,Delawar Khan
info,player,Denmark,Saran Aslam
info,player,Denmark,E Karimi
info,player,Denmark,Toqeer Ahmad
info,player,Guernsey,LB Ferbrache
info,player,Guernsey,J Butler
info,player,Guernsey,B Fitchet
info,player,Guernsey,T Nightingale
info,player,Guernsey,MWR Stokes
info,player,Guernsey,IDA Damarell
info,player,Guernsey,OB Nightingale
info,player,Guernsey,LT Bichard
info,player,Guernsey,A Martel
info,player,Guernsey,M Dale-Bradley
info,player,Guernsey,C Forshaw
info,player,Guernsey,Harry Johnson
info,registry,people,A Martel,65cd62a9
info,registry,people,AA Baig,5c67c7a6
info,registry,people,AY Harris,90d95b82
info,registry,people,B Fitchet,d77ecd14
info,registry,people,C Forshaw,0ed66ce6
info,registry,people,Delawar Khan,28b99edd
info,registry,people,E Karimi,95bd9407
info,registry,people,GH Pienaar,3516e46b
info,registry,people,HAM Shah,007113d7
info,registry,people,Harry Johnson,80b92515
info,registry,people,IDA Damarell,580ae7f2
info,registry,people,J Butler,efcb778e
info,registry,people,LB Ferbrache,0f72f582
info,registry,people,LT Bichard,dfcdb11e
info,registry,people,M Dale-Bradley,62b2aa65
info,registry,people,MWR Stokes,c573d173
info,registry,people,ND Laegsgaard,b0f2d3bd
info,registry,people,OB Nightingale,1deb4c0c
info,registry,people,OD Hald,38189be1
info,registry,people,RJ Veillard,0a8ebf05
info,registry,people,S Thanikaithasan,498aacac
info,registry,people,SA Ahmad,8de618ab
info,registry,people,Saran Aslam,2a00735b
info,registry,people,Surya Anand,ef141f36
info,registry,people,T Bharaj,49556abb
info,registry,people,T Nightingale,51a125b3
info,registry,people,Toqeer Ahmad,d4f2a7b0
ball,1,0.1,Denmark,T Bharaj,HAM Shah,Harry Johnson,0,0,,,,,,"",""
ball,1,0.2,Denmark,T Bharaj,HAM Shah,Harry Johnson,0,0,,,,,,"",""
ball,1,0.3,Denmark,T Bharaj,HAM Shah,Harry Johnson,0,0,,,,,,"",""
ball,1,0.4,Denmark,T Bharaj,HAM Shah,Harry Johnson,0,0,,,,,,"",""
ball,1,0.5,Denmark,T Bharaj,HAM Shah,Harry Johnson,1,0,,,,,,"",""
ball,1,0.6,Denmark,HAM Shah,T Bharaj,Harry Johnson,4,0,,,,,,"",""
ball,1,1.1,Denmark,T Bharaj,HAM Shah,LT Bichard,0,1,,,,1,,"",""
ball,1,1.2,Denmark,HAM Shah,T Bharaj,LT Bichard,0,0,,,,,,"",""
ball,1,1.3,Denmark,HAM Shah,T Bharaj,LT Bichard,0,0,,,,,,"",""
ball,1,1.4,Denmark,HAM Shah,T Bharaj,LT Bichard,0,0,,,,,,"",""
ball,1,1.5,Denmark,HAM Shah,T Bharaj,LT Bichard,1,0,,,,,,"",""
ball,1,1.6,Denmark,T Bharaj,HAM Shah,LT Bichard,4,0,,,,,,"",""
ball,1,2.1,Denmark,HAM Shah,T Bharaj,C Forshaw,6,0,,,,,,"",""
ball,1,2.2,Denmark,HAM Shah,T Bharaj,C Forshaw,1,0,,,,,,"",""
ball,1,2.3,Denmark,T Bharaj,HAM Shah,C Forshaw,4,0,,,,,,"",""
ball,1,2.4,Denmark,T Bharaj,HAM Shah,C Forshaw,0,0,,,,,,caught,T Bharaj
ball,1,2.5,Denmark,S Thanikaithasan,HAM Shah,C Forshaw,0,0,,,,,,caught,S Thanikaithasan
ball,1,2.6,Denmark,SA Ahmad,HAM Shah,C Forshaw,0,0,,,,,,"",""
ball,1,3.1,Denmark,HAM Shah,SA Ahmad,M Dale-Bradley,0,0,,,,,,"",""
ball,1,3.2,Denmark,HAM Shah,SA Ahmad,M Dale-Bradley,4,0,,,,,,"",""
ball,1,3.3,Denmark,HAM Shah,SA Ahmad,M Dale-Bradley,0,0,,,,,,"",""
ball,1,3.4,Denmark,HAM Shah,SA Ahmad,M Dale-Bradley,4,0,,,,,,"",""
ball,1,3.5,Denmark,HAM Shah,SA Ahmad,M Dale-Bradley,0,0,,,,,,"",""
ball,1,3.6,Denmark,HAM Shah,SA Ahmad,M Dale-Bradley,0,0,,,,,,"",""
