version,1.7.0
info,balls_per_over,6
info,team,Malta
info,team,Hungary
info,gender,male
info,season,2024/25
info,date,2025/02/04
info,event,Malta Tri-Nation T20I Series
info,match_number,4
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,Malta
info,toss_decision,bat
info,player_of_match,Sheikh Rasik
info,umpire,V Sridhar
info,umpire,Vinay Malhotra
info,reserve_umpire,S Fernando
info,winner,Hungary
info,winner_wickets,8
info,player,Malta,DR Patankar
info,player,Malta,R Dianish
info,player,Malta,E Mathew
info,player,Malta,VP Thamotharam
info,player,Malta,Sobu George
info,player,Malta,Washeem Abbas
info,player,Malta,Jaspal Singh
info,player,Malta,Niyas Pullariyil
info,player,Malta,Amar Sharma
info,player,Malta,C Sudarsanan
info,player,Malta,D Marks
info,player,Hungary,Abbas Ghani
info,player,Hungary,JN du Plooy
info,player,Hungary,Zeeshan Kukikhel
info,player,Hungary,Sheikh Rasik
info,player,Hungary,Zahir Mohammed
info,player,Hungary,Muhammad Usman
info,player,Hungary,TV Valivarthi
info,player,Hungary,MP Ainsworth
info,player,Hungary,Amal Jacob
info,player,Hungary,SA Mohandas
info,player,Hungary,Muhammad Saqlain
info,registry,people,Abbas Ghani,a8f91f78
info,registry,people,Amal Jacob,5772882c
info,registry,people,Amar Sharma,14e1fdab
info,registry,people,C Sudarsanan,391a825b
info,registry,people,D Marks,0813a8b1
info,registry,people,DR Patankar,e661915c
info,registry,people,E Mathew,e00acf74
info,registry,people,JN du Plooy,945f5357
info,registry,people,Jaspal Singh,adca37a2
info,registry,people,MP Ainsworth,ae4a47d8
info,registry,people,Muhammad Saqlain,f094e3b8
info,registry,people,Muhammad Usman,b7621723
info,registry,people,Niyas Pullariyil,7f3f0c0d
info,registry,people,R Dianish,17e2a2d6
info,registry,people,S Fernando,bbeb5b15
info,registry,people,SA Mohandas,8b0b3bba
info,registry,people,Sheikh Rasik,5f25b104
info,registry,people,Sobu George,bed559c8
info,registry,people,TV Valivarthi,56153e74
info,registry,people,V Sridhar,42314166
info,registry,people,VP Thamotharam,eb40ed89
info,registry,people,Vinay Malhotra,452837d1
info,registry,people,Washeem Abbas,6de4e430
info,registry,people,Zahir Mohammed,7c38942a
info,registry,people,Zeeshan Kukikhel,5d6a1f76
ball,1,0.1,Malta,DR Patankar,R Dianish,Muhammad Saqlain,4,0,,,,,,"",""
ball,1,0.2,Malta,DR Patankar,R Dianish,Muhammad Saqlain,0,0,,,,,,"",""
ball,1,0.3,Malta,DR Patankar,R Dianish,Muhammad Saqlain,0,1,1,,,,,"",""
ball,1,0.4,Malta,DR Patankar,R Dianish,Muhammad Saqlain,1,0,,,,,,"",""
ball,1,0.5,Malta,R Dianish,DR Patankar,Muhammad Saqlain,1,0,,,,,,"",""
ball,1,0.6,Malta,DR Patankar,R Dianish,Muhammad Saqlain,0,0,,,,,,"",""
ball,1,0.7,Malta,DR Patankar,R Dianish,Muhammad Saqlain,4,0,,,,,,"",""
ball,1,1.1,Malta,R Dianish,DR Patankar,Sheikh Rasik,2,0,,,,,,"",""
ball,1,1.2,Malta,R Dianish,DR Patankar,Sheikh Rasik,2,0,,,,,,"",""
ball,1,1.3,Malta,R Dianish,DR Patankar,Sheikh Rasik,1,0,,,,,,"",""
ball,1,1.4,Malta,DR Patankar,R Dianish,Sheikh Rasik,1,0,,,,,,"",""
ball,1,1.5,Malta,R Dianish,DR Patankar,Sheikh Rasik,0,0,,,,,,"",""
ball,1,1.6,Malta,R Dianish,DR Patankar,Sheikh Rasik,0,0,,,,,,"",""
ball,1,2.1,Malta,DR Patankar,R Dianish,Muhammad Saqlain,6,0,,,,,,"",""
ball,1,2.2,Malta,DR Patankar,R Dianish,Muhammad Saqlain,0,0,,,,,,"",""
ball,1,2.3,Malta,DR Patankar,R Dianish,Muhammad Saqlain,0,0,,,,,,"",""
ball,1,2.4,Malta,DR Patankar,R Dianish,Muhammad Saqlain,0,0,,,,,,"",""
ball,1,2.5,Malta,DR Patankar,R Dianish,Muhammad Saqlain,4,0,,,,,,"",""
ball,1,2.6,Malta,DR Patankar,R Dianish,Muhammad Saqlain,1,0,,,,,,"",""
ball,1,3.1,Malta,DR Patankar,R Dianish,Sheikh Rasik,1,0,,,,,,"",""
ball,1,3.2,Malta,R Dianish,DR Patankar,Sheikh Rasik,0,0,,,,,,"",""
ball,1,3.3,Malta,R Dianish,DR Patankar,Sheikh Rasik,0,0,,,,,,"",""
ball,1,3.4,Malta,R Dianish,DR Patankar,Sheikh Rasik,6,0,,,,,,"",""
