version,1.7.0
info,balls_per_over,6
info,team,Guernsey
info,team,Germany
info,gender,male
info,season,2023
info,date,2023/08/15
info,event,Germany tour of Netherlands
info,match_number,3
info,venue,"Sportpark Het Schootsveld, Deventer"
info,city,Deventer
info,toss_winner,Guernsey
info,toss_decision,bat
info,player_of_match,J Butler
info,umpire,M Hancock
info,umpire,M Prabhudesa
info,reserve_umpire,BV Arya
info,match_referee,Adriaan van den Dries
info,winner,Guernsey
info,winner_runs,10
info,player,Guernsey,J Butler
info,player,Guernsey,GH Smit
info,player,Guernsey,MWR Stokes
info,player,Guernsey,T Nightingale
info,player,Guernsey,A Martel
info,player,Guernsey,LT Bichard
info,player,Guernsey,A Bushell
info,player,Guernsey,LB Ferbrache
info,player,Guernsey,DR Hooper
info,player,Guernsey,D Mullen
info,player,Guernsey,OB Nightingale
info,player,Germany,V Ganesan
info,player,Germany,Shahid Afridi
info,player,Germany,Talha Khan
info,player,Germany,Faisal Mubashir
info,player,Germany,Ahmed Wardak
info,player,Germany,Sachin Mandy
info,player,Germany,Fayaz Khan
info,player,Germany,Muslim Yar
info,player,Germany,Zahid Zadran
info,player,Germany,Ghulam Ahmadi
info,player,Germany,SVE Bharathi
info,registry,people,A Bushell,2d645c00
info,registry,people,A Martel,65cd62a9
info,registry,people,Adriaan van den Dries,94b5ec3b
info,registry,people,Ahmed Wardak,3daaabaa
info,registry,people,BV Arya,0bf06c6d
info,registry,people,D Mullen,61da7440
info,registry,people,DR Hooper,0ac067e8
info,registry,people,Faisal Mubashir,ad5342dc
info,registry,people,Fayaz Khan,373954ca
info,registry,people,GH Smit,24776ac5
info,registry,people,Ghulam Ahmadi,2dfe0612
info,registry,people,J Butler,efcb778e
info,registry,people,LB Ferbrache,0f72f582
info,registry,people,LT Bichard,dfcdb11e
info,registry,people,M Hancock,deb8c9a5
info,registry,people,M Prabhudesa,c36bcd1e
info,registry,people,MWR Stokes,c573d173
info,registry,people,Muslim Yar,37d8d19a
info,registry,people,OB Nightingale,1deb4c0c
info,registry,people,SVE Bharathi,6a63c29c
info,registry,people,Sachin Mandy,501fca0d
info,registry,people,Shahid Afridi,5b2acc3f
info,registry,people,T Nightingale,51a125b3
info,registry,people,Talha Khan,8e5a1a7a
info,registry,people,V Ganesan,baa7dd37
info,registry,people,Zahid Zadran,a819f6c8
ball,1,0.1,Guernsey,J Butler,GH Smit,Fayaz Khan,0,0,,,,,,"",""
ball,1,0.2,Guernsey,J Butler,GH Smit,Fayaz Khan,0,1,1,,,,,"",""
ball,1,0.3,Guernsey,J Butler,GH Smit,Fayaz Khan,2,0,,,,,,"",""
ball,1,0.4,Guernsey,J Butler,GH Smit,Fayaz Khan,4,0,,,,,,"",""
ball,1,0.5,Guernsey,J Butler,GH Smit,Fayaz Khan,0,0,,,,,,"",""
ball,1,0.6,Guernsey,J Butler,GH Smit,Fayaz Khan,0,0,,,,,,"",""
ball,1,0.7,Guernsey,J Butler,GH Smit,Fayaz Khan,1,0,,,,,,"",""
ball,1,1.1,Guernsey,J Butler,GH Smit,Zahid Zadran,4,0,,,,,,"",""
ball,1,1.2,Guernsey,J Butler,GH Smit,Zahid Zadran,0,0,,,,,,"",""
ball,1,1.3,Guernsey,J Butler,GH Smit,Zahid Zadran,0,5,5,,,,,"",""
ball,1,1.4,Guernsey,J Butler,GH Smit,Zahid Zadran,0,0,,,,,,"",""
ball,1,1.5,Guernsey,J Butler,GH Smit,Zahid Zadran,0,0,,,,,,"",""
ball,1,1.6,Guernsey,J Butler,GH Smit,Zahid Zadran,2,0,,,,,,"",""
ball,1,1.7,Guernsey,J Butler,GH Smit,Zahid Zadran,0,0,,,,,,"",""
ball,1,2.1,Guernsey,GH Smit,J Butler,Fayaz Khan,0,0,,,,,,"",""
ball,1,2.2,Guernsey,GH Smit,J Butler,Fayaz Khan,0,1,,,,1,,"",""
ball,1,2.3,Guernsey,J Butler,GH Smit,Fayaz Khan,4,0,,,,,,"",""
ball,1,2.4,Guernsey,J Butler,GH Smit,Fayaz Khan,1,0,,,,,,"",""
ball,1,2.5,Guernsey,GH Smit,J Butler,Fayaz Khan,0,0,,,,,,"",""
ball,1,2.6,Guernsey,GH Smit,J Butler,Fayaz Khan,2,0,,,,,,"",""
ball,1,3.1,Guernsey,J Butler,GH Smit,Zahid Zadran,0,0,,,,,,"",""
ball,1,3.2,Guernsey,J Butler,GH Smit,Zahid Zadran,2,0,,,,,,"",""
ball,1,3.3,Guernsey,J Butler,GH Smit,Zahid Zadran,0,0,,,,,,"",""
ball,1,3.4,Guernsey,J Butler,GH Smit,Zahid Zadran,2,0,,,,,,"",""
ball,1,3.5,Guernsey,J Butler,GH Smit,Zahid Zadran,1,0,,,,,,"",""
ball,1,3.6,Guernsey,GH Smit,J Butler,Zahid Zadran,0,0,,,,,,"",""
ball,1,4.1,Guernsey,J Butler,GH Smit,Muslim Yar,0,0,,,,,,"",""
ball,1,4.2,Guernsey,J Butler,GH Smit,Muslim Yar,0,0,,,,,,"",""
ball,1,4.3,Guernsey,J Butler,GH Smit,Muslim Yar,0,0,,,,,,"",""
ball,1,4.4,Guernsey,J Butler,GH Smit,Muslim Yar,1,0,,,,,,"",""
ball,1,4.5,Guernsey,GH Smit,J Butler,Muslim Yar,0,0,,,,,,"",""
ball,1,4.6,Guernsey,GH Smit,J Butler,Muslim Yar,0,0,,,,,,"",""
ball,1,5.1,Guernsey,J Butler,GH Smit,Zahid Zadran,0,1,,,1,,,"",""
ball,1,5.2,Guernsey,GH Smit,J Butler,Zahid Zadran,2,0,,,,,,"",""
ball,1,5.3,Guernsey,GH Smit,J Butler,Zahid Zadran,4,0,,,,,,"",""
ball,1,5.4,Guernsey,GH Smit,J Butler,Zahid Zadran,1,0,,,,,,"",""
ball,1,5.5,Guernsey,J Butler,GH Smit,Zahid Zadran,0,0,,,,,,"",""
ball,1,5.6,Guernsey,J Butler,GH Smit,Zahid Zadran,1,0,,,,,,"",""
ball,1,6.1,Guernsey,J Butler,GH Smit,Muslim Yar,0,0,,,,,,"",""
ball,1,6.2,Guernsey,J Butler,GH Smit,Muslim Yar,1,0,,,,,,"",""
ball,1,6.3,Guernsey,GH Smit,J Butler,Muslim Yar,0,0,,,,,,"",""
ball,1,6.4,Guernsey,GH Smit,J Butler,Muslim Yar,1,0,,,,,,"",""
ball,1,6.5,Guernsey,J Butler,GH Smit,Muslim Yar,6,0,,,,,,"",""
ball,1,6.6,Guernsey,J Butler,GH Smit,Muslim Yar,1,0,,,,,,"",""
ball,1,7.1,Guernsey,J Butler,GH Smit,SVE Bharathi,0,2,,,2,,,"",""
ball,1,7.2,Guernsey,J Butler,GH Smit,SVE Bharathi,2,0,,,,,,"",""
ball,1,7.3,Guernsey,J Butler,GH Smit,SVE Bharathi,0,0,,,,,,"",""
ball,1,7.4,Guernsey,J Butler,GH Smit,SVE Bharathi,1,0,,,,,,"",""
ball,1,7.5,Guernsey,GH Smit,J Butler,SVE Bharathi,1,0,,,,,,"",""
ball,1,7.6,Guernsey,J Butler,GH Smit,SVE Bharathi,1,0,,,,,,"",""
ball,1,8.1,Guernsey,J Butler,GH Smit,Muslim Yar,6,0,,,,,,"",""
ball,1,8.2,Guernsey,J Butler,GH Smit,Muslim Yar,6,0,,,,,,"",""
ball,1,8.3,Guernsey,J Butler,GH Smit,Muslim Yar,1,0,,,,,,"",""
ball,1,8.4,Guernsey,GH Smit,J Butler,Muslim Yar,0,0,,,,,,"",""
