version,1.7.0
info,balls_per_over,6
info,team,Cook Islands
info,team,Philippines
info,gender,female
info,season,2025
info,date,2025/09/15
info,event,ICC Women's T20 World Cup East Asia Pacific Qualifier
info,venue,"Albert Park 2, Suva"
info,city,Suva
info,toss_winner,Cook Islands
info,toss_decision,bat
info,player_of_match,KK Donovan
info,umpire,H Atai
info,umpire,Kim Cotton
info,reserve_umpire,M Kenni
info,match_referee,TL Anderson
info,winner,Philippines
info,winner_wickets,4
info,player,Cook Islands,T Maika
info,player,Cook Islands,GES Sullivan
info,player,Cook Islands,ZP Ikiua
info,player,Cook Islands,S Vaia
info,player,Cook Islands,ET Williams
info,player,Cook Islands,K Mataora
info,player,Cook Islands,S Samuels
info,player,Cook Islands,RV Auora
info,player,Cook Islands,Lily Lamb
info,player,Cook Islands,R Bowers-Fleming
info,player,Cook Islands,T Elikana
info,player,Philippines,ABY Smith
info,player,Philippines,AR Valdez
info,player,Philippines,JKD Andreano
info,player,Philippines,Karri Gullem Keen
info,player,Philippines,KK Donovan
info,player,Philippines,AS Miranda
info,player,Philippines,Kyte Gullem Keen
info,player,Philippines,Angela Busa
info,player,Philippines,JY Masaya
info,player,Philippines,JR Medianesta
info,player,Philippines,R Castillo
info,registry,people,ABY Smith,fcb4448f
info,registry,people,AR Valdez,3c3f34b0
info,registry,people,AS Miranda,283e47fa
info,registry,people,Angela Busa,cbef5af4
info,registry,people,ET Williams,90410756
info,registry,people,GES Sullivan,165b9097
info,registry,people,H Atai,0460d756
info,registry,people,JKD Andreano,757baa30
info,registry,people,JR Medianesta,538cb58a
info,registry,people,JY Masaya,44368e16
info,registry,people,K Mataora,281cc1e8
info,registry,people,KK Donovan,ef2a7af4
info,registry,people,Karri Gullem Keen,bb7b014a
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,Kyte Gullem Keen,f3f654c2
info,registry,people,Lily Lamb,69fc75bb
info,registry,people,M Kenni,1feb0d3c
info,registry,people,R Bowers-Fleming,0eb829be
info,registry,people,R Castillo,716ba9ef
info,registry,people,RV Auora,672cee0a
info,registry,people,S Samuels,d852095e
info,registry,people,S Vaia,78103121
info,registry,people,T Elikana,2bea8bda
info,registry,people,T Maika,9782087e
info,registry,people,TL Anderson,f52ddf8d
info,registry,people,ZP Ikiua,3bd86723
ball,1,0.1,Cook Islands,T Maika,GES Sullivan,JKD Andreano,1,0,,,,,,"",""
ball,1,0.2,Cook Islands,GES Sullivan,T Maika,JKD Andreano,0,0,,,,,,"",""
ball,1,0.3,Cook Islands,GES Sullivan,T Maika,JKD Andreano,1,0,,,,,,"",""
ball,1,0.4,Cook Islands,T Maika,GES Sullivan,JKD Andreano,0,0,,,,,,"",""
ball,1,0.5,Cook Islands,T Maika,GES Sullivan,JKD Andreano,0,0,,,,,,"",""
ball,1,0.6,Cook Islands,T Maika,GES Sullivan,JKD Andreano,1,0,,,,,,"",""
ball,1,1.1,Cook Islands,T Maika,GES Sullivan,KK Donovan,0,1,,,,1,,"",""
ball,1,1.2,Cook Islands,GES Sullivan,T Maika,KK Donovan,0,0,,,,,,"",""
ball,1,1.3,Cook Islands,GES Sullivan,T Maika,KK Donovan,0,0,,,,,,bowled,GES Sullivan
ball,1,1.4,Cook Islands,ZP Ikiua,T Maika,KK Donovan,0,0,,,,,,"",""
ball,1,1.5,Cook Islands,ZP Ikiua,T Maika,KK Donovan,0,0,,,,,,"",""
ball,1,1.6,Cook Islands,ZP Ikiua,T Maika,KK Donovan,4,0,,,,,,"",""
ball,1,2.1,Cook Islands,T Maika,ZP Ikiua,JKD Andreano,0,0,,,,,,"",""
ball,1,2.2,Cook Islands,T Maika,ZP Ikiua,JKD Andreano,1,0,,,,,,"",""
ball,1,2.3,Cook Islands,ZP Ikiua,T Maika,JKD Andreano,0,0,,,,,,"",""
ball,1,2.4,Cook Islands,ZP Ikiua,T Maika,JKD Andreano,0,0,,,,,,"",""
ball,1,2.5,Cook Islands,ZP Ikiua,T Maika,JKD Andreano,4,0,,,,,,"",""
ball,1,2.6,Cook Islands,ZP Ikiua,T Maika,JKD Andreano,4,0,,,,,,"",""
ball,1,3.1,Cook Islands,T Maika,ZP Ikiua,KK Donovan,4,0,,,,,,"",""
ball,1,3.2,Cook Islands,T Maika,ZP Ikiua,KK Donovan,0,0,,,,,,"",""
ball,1,3.3,Cook Islands,T Maika,ZP Ikiua,KK Donovan,0,5,5,,,,,"",""
ball,1,3.4,Cook Islands,T Maika,ZP Ikiua,KK Donovan,0,0,,,,,,"",""
