version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,Bangladesh
info,gender,female
info,season,2022/23
info,date,2022/12/04
info,event,Bangladesh Women tour of New Zealand
info,match_number,2
info,venue,"University Oval, Dunedin"
info,city,Dunedin
info,toss_winner,New Zealand
info,toss_decision,bat
info,umpire,JM Dempsey
info,umpire,Kim Cotton
info,reserve_umpire,C High
info,tv_umpire,C Black
info,match_referee,JJ Crowe
info,winner,New Zealand
info,winner_runs,37
info,player,New Zealand,SFM Devine
info,player,New Zealand,SW Bates
info,player,New Zealand,GE Plimmer
info,player,New Zealand,RM Burns
info,player,New Zealand,AC Kerr
info,player,New Zealand,ML Green
info,player,New Zealand,LR Down
info,player,New Zealand,HNK Jensen
info,player,New Zealand,LMM Tahuhu
info,player,New Zealand,EJ Carson
info,player,New Zealand,FC Jonas
info,player,Bangladesh,Murshida Khatun
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,Sharmin Akhter
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Fargana Hoque
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Rumana Ahmed
info,player,Bangladesh,Marufa Akter
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Jahanara Alam
info,player,Bangladesh,Salma Khatun
info,registry,people,AC Kerr,7673c908
info,registry,people,C Black,75b42f71
info,registry,people,C High,ed55e0da
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,EJ Carson,7693851c
info,registry,people,FC Jonas,6df697a9
info,registry,people,Fargana Hoque,6e96c956
info,registry,people,GE Plimmer,575494db
info,registry,people,HNK Jensen,b8cce99f
info,registry,people,JJ Crowe,2e760301
info,registry,people,JM Dempsey,153c9f33
info,registry,people,Jahanara Alam,752183c1
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,LMM Tahuhu,60471339
info,registry,people,LR Down,19147fe0
info,registry,people,ML Green,865eae1f
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Murshida Khatun,712bbd92
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,RM Burns,94fe4708
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,Rumana Ahmed,a92763ea
info,registry,people,SFM Devine,de69af96
info,registry,people,SW Bates,89bbc67a
info,registry,people,Salma Khatun,037f2b86
info,registry,people,Sharmin Akhter,84fdd3cf
ball,1,0.1,New Zealand,SFM Devine,SW Bates,Jahanara Alam,0,0,,,,,,"",""
ball,1,0.2,New Zealand,SFM Devine,SW Bates,Jahanara Alam,1,0,,,,,,"",""
ball,1,0.3,New Zealand,SW Bates,SFM Devine,Jahanara Alam,1,0,,,,,,"",""
ball,1,0.4,New Zealand,SFM Devine,SW Bates,Jahanara Alam,4,0,,,,,,"",""
ball,1,0.5,New Zealand,SFM Devine,SW Bates,Jahanara Alam,2,0,,,,,,"",""
ball,1,0.6,New Zealand,SFM Devine,SW Bates,Jahanara Alam,0,0,,,,,,"",""
ball,1,1.1,New Zealand,SW Bates,SFM Devine,Marufa Akter,0,0,,,,,,"",""
ball,1,1.2,New Zealand,SW Bates,SFM Devine,Marufa Akter,0,0,,,,,,"",""
ball,1,1.3,New Zealand,SW Bates,SFM Devine,Marufa Akter,0,1,,,,1,,"",""
ball,1,1.4,New Zealand,SFM Devine,SW Bates,Marufa Akter,0,0,,,,,,"",""
ball,1,1.5,New Zealand,SFM Devine,SW Bates,Marufa Akter,0,0,,,,,,"",""
ball,1,1.6,New Zealand,SFM Devine,SW Bates,Marufa Akter,2,0,,,,,,"",""
ball,1,2.1,New Zealand,SW Bates,SFM Devine,Jahanara Alam,1,0,,,,,,"",""
ball,1,2.2,New Zealand,SFM Devine,SW Bates,Jahanara Alam,0,0,,,,,,"",""
ball,1,2.3,New Zealand,SFM Devine,SW Bates,Jahanara Alam,4,0,,,,,,"",""
ball,1,2.4,New Zealand,SFM Devine,SW Bates,Jahanara Alam,4,0,,,,,,"",""
ball,1,2.5,New Zealand,SFM Devine,SW Bates,Jahanara Alam,1,0,,,,,,"",""
ball,1,2.6,New Zealand,SW Bates,SFM Devine,Jahanara Alam,0,0,,,,,,"",""
ball,1,3.1,New Zealand,SFM Devine,SW Bates,Marufa Akter,1,0,,,,,,"",""
ball,1,3.2,New Zealand,SW Bates,SFM Devine,Marufa Akter,0,0,,,,,,"",""
ball,1,3.3,New Zealand,SW Bates,SFM Devine,Marufa Akter,1,0,,,,,,"",""
ball,1,3.4,New Zealand,SFM Devine,SW Bates,Marufa Akter,0,0,,,,,,caught,SFM Devine
ball,1,3.5,New Zealand,GE Plimmer,SW Bates,Marufa Akter,0,0,,,,,,"",""
ball,1,3.6,New Zealand,GE Plimmer,SW Bates,Marufa Akter,0,0,,,,,,"",""
ball,1,4.1,New Zealand,SW Bates,GE Plimmer,Salma Khatun,1,0,,,,,,"",""
ball,1,4.2,New Zealand,GE Plimmer,SW Bates,Salma Khatun,2,0,,,,,,"",""
ball,1,4.3,New Zealand,GE Plimmer,SW Bates,Salma Khatun,1,0,,,,,,"",""
ball,1,4.4,New Zealand,SW Bates,GE Plimmer,Salma Khatun,2,0,,,,,,"",""
ball,1,4.5,New Zealand,SW Bates,GE Plimmer,Salma Khatun,0,0,,,,,,"",""
ball,1,4.6,New Zealand,SW Bates,GE Plimmer,Salma Khatun,0,0,,,,,,"",""
ball,1,5.1,New Zealand,GE Plimmer,SW Bates,Marufa Akter,0,0,,,,,,lbw,GE Plimmer
ball,1,5.2,New Zealand,RM Burns,SW Bates,Marufa Akter,0,0,,,,,,"",""
ball,1,5.3,New Zealand,RM Burns,SW Bates,Marufa Akter,0,1,,,,1,,"",""
ball,1,5.4,New Zealand,SW Bates,RM Burns,Marufa Akter,1,0,,,,,,"",""
ball,1,5.5,New Zealand,RM Burns,SW Bates,Marufa Akter,1,0,,,,,,"",""
ball,1,5.6,New Zealand,SW Bates,RM Burns,Marufa Akter,4,0,,,,,,"",""
ball,1,6.1,New Zealand,RM Burns,SW Bates,Salma Khatun,1,0,,,,,,"",""
ball,1,6.2,New Zealand,SW Bates,RM Burns,Salma Khatun,0,1,1,,,,,"",""
ball,1,6.3,New Zealand,SW Bates,RM Burns,Salma Khatun,1,0,,,,,,"",""
ball,1,6.4,New Zealand,RM Burns,SW Bates,Salma Khatun,0,0,,,,,,"",""
ball,1,6.5,New Zealand,RM Burns,SW Bates,Salma Khatun,0,0,,,,,,"",""
ball,1,6.6,New Zealand,RM Burns,SW Bates,Salma Khatun,4,0,,,,,,"",""
ball,1,6.7,New Zealand,RM Burns,SW Bates,Salma Khatun,0,0,,,,,,"",""
ball,1,7.1,New Zealand,SW Bates,RM Burns,Nahida Akter,1,0,,,,,,"",""
ball,1,7.2,New Zealand,RM Burns,SW Bates,Nahida Akter,0,0,,,,,,"",""
ball,1,7.3,New Zealand,RM Burns,SW Bates,Nahida Akter,1,0,,,,,,"",""
ball,1,7.4,New Zealand,SW Bates,RM Burns,Nahida Akter,0,0,,,,,,"",""
ball,1,7.5,New Zealand,SW Bates,RM Burns,Nahida Akter,1,0,,,,,,"",""
ball,1,7.6,New Zealand,RM Burns,SW Bates,Nahida Akter,4,0,,,,,,"",""
ball,1,8.1,New Zealand,SW Bates,RM Burns,Ritu Moni,0,0,,,,,,"",""
ball,1,8.2,New Zealand,SW Bates,RM Burns,Ritu Moni,1,0,,,,,,"",""
