version,1.7.0
info,balls_per_over,6
info,team,Scotland
info,team,France
info,gender,female
info,season,2023
info,date,2023/09/12
info,event,ICC Women's T20 World Cup Europe Region Qualifier
info,match_number,11
info,venue,"Desert Springs Cricket Ground, Almeria"
info,city,Almeria
info,toss_winner,Scotland
info,toss_decision,bat
info,player_of_match,KE Bryce
info,umpire,HE Kearns
info,umpire,Rizwan Akram
info,reserve_umpire,Adnan Khan
info,match_referee,DT Jukes
info,winner,Scotland
info,winner_runs,155
info,player,Scotland,KE Bryce
info,player,Scotland,DEM Carter
info,player,Scotland,SJ Bryce
info,player,Scotland,A Lister
info,player,Scotland,PA Chatterji
info,player,Scotland,EL Watson
info,player,Scotland,AH Maqsood
info,player,Scotland,L Jack
info,player,Scotland,M McColl
info,player,Scotland,HRA Rainey
info,player,Scotland,C Abel
info,player,France,L Wykes-Templeman
info,player,France,TE Britton
info,player,France,ME Violleau
info,player,France,IY Mckeon
info,player,France,Ganesh Pooja
info,player,France,AL Seddon
info,player,France,B Verdon
info,player,France,A Bester
info,player,France,Emma Patel
info,player,France,DL Graham
info,player,France,PKM Mahawattage
info,registry,people,A Bester,047d293e
info,registry,people,A Lister,090c0213
info,registry,people,AH Maqsood,f61e2829
info,registry,people,AL Seddon,d12ec7b3
info,registry,people,Adnan Khan,45ec7a99
info,registry,people,B Verdon,d1e75f95
info,registry,people,C Abel,d92d3563
info,registry,people,DEM Carter,c3394c16
info,registry,people,DL Graham,907e30d9
info,registry,people,DT Jukes,7c215d14
info,registry,people,EL Watson,45dd7433
info,registry,people,Emma Patel,030a38e0
info,registry,people,Ganesh Pooja,ab144207
info,registry,people,HE Kearns,fd4959c8
info,registry,people,HRA Rainey,7027d12f
info,registry,people,IY Mckeon,59ff3c57
info,registry,people,KE Bryce,f13d3eba
info,registry,people,L Jack,e565ceb7
info,registry,people,L Wykes-Templeman,46c9b2bc
info,registry,people,M McColl,d5fa2ab3
info,registry,people,ME Violleau,69f47625
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,PKM Mahawattage,a413b433
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,TE Britton,5eceeb7f
ball,1,0.1,Scotland,KE Bryce,DEM Carter,AL Seddon,1,0,,,,,,"",""
ball,1,0.2,Scotland,DEM Carter,KE Bryce,AL Seddon,1,0,,,,,,"",""
ball,1,0.3,Scotland,KE Bryce,DEM Carter,AL Seddon,4,0,,,,,,"",""
ball,1,0.4,Scotland,KE Bryce,DEM Carter,AL Seddon,1,0,,,,,,"",""
ball,1,0.5,Scotland,DEM Carter,KE Bryce,AL Seddon,0,0,,,,,,"",""
ball,1,0.6,Scotland,DEM Carter,KE Bryce,AL Seddon,0,0,,,,,,"",""
ball,1,1.1,Scotland,KE Bryce,DEM Carter,DL Graham,0,0,,,,,,"",""
ball,1,1.2,Scotland,KE Bryce,DEM Carter,DL Graham,4,0,,,,,,"",""
ball,1,1.3,Scotland,KE Bryce,DEM Carter,DL Graham,1,0,,,,,,"",""
ball,1,1.4,Scotland,DEM Carter,KE Bryce,DL Graham,0,2,2,,,,,"",""
ball,1,1.5,Scotland,KE Bryce,DEM Carter,DL Graham,1,0,,,,,,"",""
ball,1,1.6,Scotland,DEM Carter,KE Bryce,DL Graham,4,0,,,,,,"",""
ball,1,1.7,Scotland,DEM Carter,KE Bryce,DL Graham,0,0,,,,,,"",""
ball,1,2.1,Scotland,KE Bryce,DEM Carter,AL Seddon,0,0,,,,,,"",""
ball,1,2.2,Scotland,KE Bryce,DEM Carter,AL Seddon,1,0,,,,,,"",""
ball,1,2.3,Scotland,DEM Carter,KE Bryce,AL Seddon,0,0,,,,,,"",""
ball,1,2.4,Scotland,DEM Carter,KE Bryce,AL Seddon,4,0,,,,,,"",""
ball,1,2.5,Scotland,DEM Carter,KE Bryce,AL Seddon,0,1,,,,1,,"",""
ball,1,2.6,Scotland,KE Bryce,DEM Carter,AL Seddon,4,1,,1,,,,"",""
ball,1,2.7,Scotland,KE Bryce,DEM Carter,AL Seddon,0,0,,,,,,"",""
ball,1,3.1,Scotland,DEM Carter,KE Bryce,DL Graham,0,0,,,,,,"",""
ball,1,3.2,Scotland,DEM Carter,KE Bryce,DL Graham,4,0,,,,,,"",""
ball,1,3.3,Scotland,DEM Carter,KE Bryce,DL Graham,0,0,,,,,,"",""
ball,1,3.4,Scotland,DEM Carter,KE Bryce,DL Graham,1,0,,,,,,"",""
ball,1,3.5,Scotland,KE Bryce,DEM Carter,DL Graham,0,2,,1,1,,,"",""
ball,1,3.6,Scotland,DEM Carter,KE Bryce,DL Graham,4,0,,,,,,"",""
ball,1,3.7,Scotland,DEM Carter,KE Bryce,DL Graham,0,0,,,,,,"",""
ball,1,4.1,Scotland,KE Bryce,DEM Carter,A Bester,1,0,,,,,,"",""
ball,1,4.2,Scotland,DEM Carter,KE Bryce,A Bester,0,1,,,,1,,"",""
ball,1,4.3,Scotland,KE Bryce,DEM Carter,A Bester,0,0,,,,,,"",""
ball,1,4.4,Scotland,KE Bryce,DEM Carter,A Bester,4,0,,,,,,"",""
ball,1,4.5,Scotland,KE Bryce,DEM Carter,A Bester,4,0,,,,,,"",""
ball,1,4.6,Scotland,KE Bryce,DEM Carter,A Bester,0,0,,,,,,"",""
ball,1,5.1,Scotland,DEM Carter,KE Bryce,PKM Mahawattage,0,0,,,,,,"",""
ball,1,5.2,Scotland,DEM Carter,KE Bryce,PKM Mahawattage,1,0,,,,,,"",""
ball,1,5.3,Scotland,KE Bryce,DEM Carter,PKM Mahawattage,1,0,,,,,,"",""
ball,1,5.4,Scotland,DEM Carter,KE Bryce,PKM Mahawattage,0,0,,,,,,"",""
ball,1,5.5,Scotland,DEM Carter,KE Bryce,PKM Mahawattage,0,0,,,,,,"",""
ball,1,5.6,Scotland,DEM Carter,KE Bryce,PKM Mahawattage,1,0,,,,,,"",""
ball,1,6.1,Scotland,DEM Carter,KE Bryce,A Bester,1,0,,,,,,"",""
ball,1,6.2,Scotland,KE Bryce,DEM Carter,A Bester,1,0,,,,,,"",""
ball,1,6.3,Scotland,DEM Carter,KE Bryce,A Bester,1,0,,,,,,"",""
ball,1,6.4,Scotland,KE Bryce,DEM Carter,A Bester,1,0,,,,,,"",""
ball,1,6.5,Scotland,DEM Carter,KE Bryce,A Bester,0,3,3,,,,,"",""
ball,1,6.6,Scotland,DEM Carter,KE Bryce,A Bester,0,0,,,,,,"",""
ball,1,6.7,Scotland,DEM Carter,KE Bryce,A Bester,2,0,,,,,,"",""
