version,1.7.0
info,balls_per_over,6
info,team,Netherlands
info,team,Oman
info,gender,male
info,season,2024/25
info,date,2024/11/16
info,event,Netherlands tour of Oman
info,match_number,3
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Oman
info,toss_decision,field
info,player_of_match,K Klein
info,umpire,Harikrishna Pillai
info,umpire,Rahul Asher
info,reserve_umpire,Vinod Babu
info,match_referee,Neeyamur Rashid
info,winner,Netherlands
info,winner_runs,29
info,player,Netherlands,M Levitt
info,player,Netherlands,MP O'Dowd
info,player,Netherlands,AT Nidamanuru
info,player,Netherlands,SA Edwards
info,player,Netherlands,CN Ackermann
info,player,Netherlands,BFW de Leede
info,player,Netherlands,NRJ Croes
info,player,Netherlands,K Klein
info,player,Netherlands,RE van der Merwe
info,player,Netherlands,PA van Meekeren
info,player,Netherlands,VJ Kingma
info,player,Oman,Jatinder Singh
info,player,Oman,Aamir Kaleem
info,player,Oman,AR Odedara
info,player,Oman,Hammad Mirza
info,player,Oman,Mohammad Nadeem
info,player,Oman,Sandeep Goud
info,player,Oman,Sufyan Mehmood
info,player,Oman,Mehran Khan
info,player,Oman,Jay Odedra
info,player,Oman,Shakeel Ahmed
info,player,Oman,Muzahir Raza
info,registry,people,AR Odedara,a7a6c1c2
info,registry,people,AT Nidamanuru,a319edf8
info,registry,people,Aamir Kaleem,7ecb9a14
info,registry,people,BFW de Leede,fc4375ef
info,registry,people,CN Ackermann,e734d090
info,registry,people,Hammad Mirza,0b7b78c6
info,registry,people,Harikrishna Pillai,ed918c90
info,registry,people,Jatinder Singh,b80dd12c
info,registry,people,Jay Odedra,526e006d
info,registry,people,K Klein,374bb5e7
info,registry,people,M Levitt,6a71ba3a
info,registry,people,MP O'Dowd,b699df47
info,registry,people,Mehran Khan,d7bfcc0b
info,registry,people,Mohammad Nadeem,c5d7b244
info,registry,people,Muzahir Raza,60606200
info,registry,people,NRJ Croes,f427e63e
info,registry,people,Neeyamur Rashid,bd81a027
info,registry,people,PA van Meekeren,4557dc54
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,Rahul Asher,4956b0bf
info,registry,people,SA Edwards,b59db04f
info,registry,people,Sandeep Goud,4e1c9f6e
info,registry,people,Shakeel Ahmed,e29e9c12
info,registry,people,Sufyan Mehmood,bf172ae6
info,registry,people,VJ Kingma,3a7ea906
info,registry,people,Vinod Babu,37e6187d
ball,1,0.1,Netherlands,M Levitt,MP O'Dowd,Muzahir Raza,0,0,,,,,,"",""
ball,1,0.2,Netherlands,M Levitt,MP O'Dowd,Muzahir Raza,1,0,,,,,,"",""
ball,1,0.3,Netherlands,MP O'Dowd,M Levitt,Muzahir Raza,0,0,,,,,,"",""
ball,1,0.4,Netherlands,MP O'Dowd,M Levitt,Muzahir Raza,0,0,,,,,,"",""
ball,1,0.5,Netherlands,MP O'Dowd,M Levitt,Muzahir Raza,0,0,,,,,,"",""
ball,1,0.6,Netherlands,MP O'Dowd,M Levitt,Muzahir Raza,0,0,,,,,,"",""
ball,1,1.1,Netherlands,M Levitt,MP O'Dowd,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,1.2,Netherlands,M Levitt,MP O'Dowd,Shakeel Ahmed,1,0,,,,,,"",""
ball,1,1.3,Netherlands,MP O'Dowd,M Levitt,Shakeel Ahmed,1,0,,,,,,"",""
ball,1,1.4,Netherlands,M Levitt,MP O'Dowd,Shakeel Ahmed,0,0,,,,,,bowled,M Levitt
ball,1,1.5,Netherlands,AT Nidamanuru,MP O'Dowd,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,1.6,Netherlands,AT Nidamanuru,MP O'Dowd,Shakeel Ahmed,1,0,,,,,,"",""
ball,1,2.1,Netherlands,AT Nidamanuru,MP O'Dowd,Muzahir Raza,0,0,,,,,,"",""
ball,1,2.2,Netherlands,AT Nidamanuru,MP O'Dowd,Muzahir Raza,0,0,,,,,,"",""
ball,1,2.3,Netherlands,AT Nidamanuru,MP O'Dowd,Muzahir Raza,0,0,,,,,,"",""
ball,1,2.4,Netherlands,AT Nidamanuru,MP O'Dowd,Muzahir Raza,0,0,,,,,,"",""
ball,1,2.5,Netherlands,AT Nidamanuru,MP O'Dowd,Muzahir Raza,0,0,,,,,,"",""
ball,1,2.6,Netherlands,AT Nidamanuru,MP O'Dowd,Muzahir Raza,1,0,,,,,,"",""
ball,1,3.1,Netherlands,AT Nidamanuru,MP O'Dowd,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,3.2,Netherlands,AT Nidamanuru,MP O'Dowd,Shakeel Ahmed,0,1,1,,,,,"",""
ball,1,3.3,Netherlands,AT Nidamanuru,MP O'Dowd,Shakeel Ahmed,2,0,,,,,,"",""
ball,1,3.4,Netherlands,AT Nidamanuru,MP O'Dowd,Shakeel Ahmed,2,0,,,,,,"",""
ball,1,3.5,Netherlands,AT Nidamanuru,MP O'Dowd,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,3.6,Netherlands,AT Nidamanuru,MP O'Dowd,Shakeel Ahmed,4,0,,,,,,"",""
ball,1,3.7,Netherlands,AT Nidamanuru,MP O'Dowd,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,4.1,Netherlands,MP O'Dowd,AT Nidamanuru,Mehran Khan,0,0,,,,,,"",""
ball,1,4.2,Netherlands,MP O'Dowd,AT Nidamanuru,Mehran Khan,0,0,,,,,,"",""
ball,1,4.3,Netherlands,MP O'Dowd,AT Nidamanuru,Mehran Khan,4,0,,,,,,"",""
ball,1,4.4,Netherlands,MP O'Dowd,AT Nidamanuru,Mehran Khan,0,1,1,,,,,"",""
ball,1,4.5,Netherlands,MP O'Dowd,AT Nidamanuru,Mehran Khan,0,0,,,,,,"",""
ball,1,4.6,Netherlands,MP O'Dowd,AT Nidamanuru,Mehran Khan,1,0,,,,,,"",""
ball,1,4.7,Netherlands,AT Nidamanuru,MP O'Dowd,Mehran Khan,1,0,,,,,,"",""
ball,1,5.1,Netherlands,AT Nidamanuru,MP O'Dowd,Aamir Kaleem,1,0,,,,,,"",""
ball,1,5.2,Netherlands,MP O'Dowd,AT Nidamanuru,Aamir Kaleem,4,0,,,,,,"",""
ball,1,5.3,Netherlands,MP O'Dowd,AT Nidamanuru,Aamir Kaleem,4,0,,,,,,"",""
ball,1,5.4,Netherlands,MP O'Dowd,AT Nidamanuru,Aamir Kaleem,0,0,,,,,,"",""
ball,1,5.5,Netherlands,MP O'Dowd,AT Nidamanuru,Aamir Kaleem,2,0,,,,,,"",""
ball,1,5.6,Netherlands,MP O'Dowd,AT Nidamanuru,Aamir Kaleem,0,0,,,,,,"",""
ball,1,6.1,Netherlands,AT Nidamanuru,MP O'Dowd,Mehran Khan,4,0,,,,,,"",""
ball,1,6.2,Netherlands,AT Nidamanuru,MP O'Dowd,Mehran Khan,6,0,,,,,,"",""
ball,1,6.3,Netherlands,AT Nidamanuru,MP O'Dowd,Mehran Khan,1,0,,,,,,"",""
ball,1,6.4,Netherlands,MP O'Dowd,AT Nidamanuru,Mehran Khan,1,0,,,,,,"",""
ball,1,6.5,Netherlands,AT Nidamanuru,MP O'Dowd,Mehran Khan,1,0,,,,,,"",""
ball,1,6.6,Netherlands,MP O'Dowd,AT Nidamanuru,Mehran Khan,1,0,,,,,,"",""
ball,1,7.1,Netherlands,MP O'Dowd,AT Nidamanuru,Aamir Kaleem,0,0,,,,,,"",""
ball,1,7.2,Netherlands,MP O'Dowd,AT Nidamanuru,Aamir Kaleem,0,0,,,,,,"",""
ball,1,7.3,Netherlands,MP O'Dowd,AT Nidamanuru,Aamir Kaleem,0,0,,,,,,"",""
ball,1,7.4,Netherlands,MP O'Dowd,AT Nidamanuru,Aamir Kaleem,0,0,,,,,,"",""
ball,1,7.5,Netherlands,MP O'Dowd,AT Nidamanuru,Aamir Kaleem,2,0,,,,,,"",""
ball,1,7.6,Netherlands,MP O'Dowd,AT Nidamanuru,Aamir Kaleem,1,0,,,,,,"",""
ball,1,8.1,Netherlands,MP O'Dowd,AT Nidamanuru,Sufyan Mehmood,1,0,,,,,,"",""
ball,1,8.2,Netherlands,AT Nidamanuru,MP O'Dowd,Sufyan Mehmood,0,0,,,,,,"",""
ball,1,8.3,Netherlands,AT Nidamanuru,MP O'Dowd,Sufyan Mehmood,6,0,,,,,,"",""
ball,1,8.4,Netherlands,AT Nidamanuru,MP O'Dowd,Sufyan Mehmood,6,0,,,,,,"",""
ball,1,8.5,Netherlands,AT Nidamanuru,MP O'Dowd,Sufyan Mehmood,0,0,,,,,,bowled,AT Nidamanuru
