version,1.7.0
info,balls_per_over,6
info,team,Nepal
info,team,Thailand
info,gender,female
info,season,2024/25
info,date,2025/02/07
info,event,Nepal Women's T20I Tri-Series
info,match_number,9
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Nepal
info,toss_decision,bat
info,player_of_match,O Kamchomphu
info,umpire,U Regmi
info,umpire,VK Jha
info,reserve_umpire,RC Pandey
info,tv_umpire,Kamalesh Thakur
info,match_referee,Mohammed Shafique
info,winner,Thailand
info,winner_wickets,7
info,player,Nepal,Samjhana Khadka
info,player,Nepal,B Rawal
info,player,Nepal,Puja Mahato
info,player,Nepal,RC Belbashi
info,player,Nepal,I Barma
info,player,Nepal,K Joshi
info,player,Nepal,SR Magar
info,player,Nepal,AK Yadav
info,player,Nepal,R Airee
info,player,Nepal,R Chaudhary
info,player,Nepal,M Upadhayay
info,player,Thailand,N Boochatham
info,player,Thailand,A Suwanchonrathi
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chaiwai
info,player,Thailand,P Maya
info,player,Thailand,C Sutthiruang
info,player,Thailand,O Kamchomphu
info,player,Thailand,N Chantam
info,player,Thailand,S Laomi
info,player,Thailand,T Putthawong
info,player,Thailand,S Khiaoto
info,registry,people,A Suwanchonrathi,43a2244f
info,registry,people,AK Yadav,a1886d3f
info,registry,people,B Rawal,4d1cc284
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,I Barma,521abce2
info,registry,people,K Joshi,0cd297b9
info,registry,people,Kamalesh Thakur,6926399e
info,registry,people,M Upadhayay,cdda92be
info,registry,people,Mohammed Shafique,a9ca87b8
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,Puja Mahato,4b95058b
info,registry,people,R Airee,4b3057bc
info,registry,people,R Chaudhary,bc6f4dac
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,RC Pandey,1b807976
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,SR Magar,61c22ad0
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,U Regmi,d1ce9fb5
info,registry,people,VK Jha,5d46eb72
ball,1,0.1,Nepal,Samjhana Khadka,B Rawal,C Sutthiruang,1,0,,,,,,"",""
ball,1,0.2,Nepal,B Rawal,Samjhana Khadka,C Sutthiruang,0,0,,,,,,"",""
ball,1,0.3,Nepal,B Rawal,Samjhana Khadka,C Sutthiruang,0,0,,,,,,"",""
ball,1,0.4,Nepal,B Rawal,Samjhana Khadka,C Sutthiruang,0,1,1,,,,,"",""
ball,1,0.5,Nepal,B Rawal,Samjhana Khadka,C Sutthiruang,0,0,,,,,,"",""
ball,1,0.6,Nepal,B Rawal,Samjhana Khadka,C Sutthiruang,1,0,,,,,,"",""
ball,1,0.7,Nepal,Samjhana Khadka,B Rawal,C Sutthiruang,0,0,,,,,,"",""
ball,1,1.1,Nepal,B Rawal,Samjhana Khadka,P Maya,0,0,,,,,,"",""
ball,1,1.2,Nepal,B Rawal,Samjhana Khadka,P Maya,0,0,,,,,,"",""
ball,1,1.3,Nepal,B Rawal,Samjhana Khadka,P Maya,0,0,,,,,,"",""
ball,1,1.4,Nepal,B Rawal,Samjhana Khadka,P Maya,0,0,,,,,,"",""
ball,1,1.5,Nepal,B Rawal,Samjhana Khadka,P Maya,4,0,,,,,,"",""
ball,1,1.6,Nepal,B Rawal,Samjhana Khadka,P Maya,0,0,,,,,,"",""
ball,1,2.1,Nepal,Samjhana Khadka,B Rawal,C Sutthiruang,0,0,,,,,,"",""
ball,1,2.2,Nepal,Samjhana Khadka,B Rawal,C Sutthiruang,0,0,,,,,,"",""
ball,1,2.3,Nepal,Samjhana Khadka,B Rawal,C Sutthiruang,0,0,,,,,,"",""
ball,1,2.4,Nepal,Samjhana Khadka,B Rawal,C Sutthiruang,4,0,,,,,,"",""
ball,1,2.5,Nepal,Samjhana Khadka,B Rawal,C Sutthiruang,1,0,,,,,,"",""
ball,1,2.6,Nepal,B Rawal,Samjhana Khadka,C Sutthiruang,0,0,,,,,,"",""
ball,1,3.1,Nepal,Samjhana Khadka,B Rawal,P Maya,0,0,,,,,,"",""
ball,1,3.2,Nepal,Samjhana Khadka,B Rawal,P Maya,0,0,,,,,,"",""
ball,1,3.3,Nepal,Samjhana Khadka,B Rawal,P Maya,0,0,,,,,,"",""
ball,1,3.4,Nepal,Samjhana Khadka,B Rawal,P Maya,0,0,,,,,,"",""
