version,1.7.0
info,balls_per_over,6
info,team,Serbia
info,team,Turkey
info,gender,male
info,season,2023
info,date,2023/06/23
info,event,Quadrangular Twenty20 Series (Bulgaria)
info,match_number,1
info,venue,"National Sports Academy, Sofia"
info,city,Sofia
info,toss_winner,Serbia
info,toss_decision,bat
info,player_of_match,A Dizija
info,winner,Serbia
info,winner_runs,70
info,player,Serbia,A Dizija
info,player,Serbia,S Tosic
info,player,Serbia,LA Dunbar
info,player,Serbia,WAE Burton
info,player,Serbia,MV Pavlovic
info,player,Serbia,N Zimonjic
info,player,Serbia,V Zimonjic
info,player,Serbia,NR Johns-Wickberg
info,player,Serbia,Rahman Ademi
info,player,Serbia,AA Gajic
info,player,Serbia,B Dugic
info,player,Turkey,I Elec
info,player,Turkey,Ilyas Ataullah
info,player,Turkey,BC Sahin
info,player,Turkey,R Nath
info,player,Turkey,M Ozturk
info,player,Turkey,A Turkmen
info,player,Turkey,Muhammed Turkmen
info,player,Turkey,Murat Yilmaz
info,player,Turkey,Murat Ipek
info,player,Turkey,Muhammet Bicer
info,player,Turkey,Muhammet Kursat
info,registry,people,A Dizija,6483c062
info,registry,people,A Turkmen,e56f4180
info,registry,people,AA Gajic,a768a762
info,registry,people,B Dugic,5edaa34d
info,registry,people,BC Sahin,57cb4044
info,registry,people,I Elec,4d0d5b7d
info,registry,people,Ilyas Ataullah,357484e9
info,registry,people,LA Dunbar,f50433e9
info,registry,people,M Ozturk,d62f04f5
info,registry,people,MV Pavlovic,2809b390
info,registry,people,Muhammed Turkmen,8e7e982c
info,registry,people,Muhammet Bicer,7990dc16
info,registry,people,Muhammet Kursat,dc53a969
info,registry,people,Murat Ipek,86f471ae
info,registry,people,Murat Yilmaz,f2990906
info,registry,people,N Zimonjic,638f451b
info,registry,people,NR Johns-Wickberg,3924b2ee
info,registry,people,R Nath,126f1e28
info,registry,people,Rahman Ademi,a9fd6ca3
info,registry,people,S Tosic,1c40f69f
info,registry,people,V Zimonjic,7f784eb8
info,registry,people,WAE Burton,b0358c6d
ball,1,0.1,Serbia,A Dizija,S Tosic,A Turkmen,0,0,,,,,,"",""
ball,1,0.2,Serbia,A Dizija,S Tosic,A Turkmen,0,1,1,,,,,"",""
ball,1,0.3,Serbia,A Dizija,S Tosic,A Turkmen,0,0,,,,,,"",""
ball,1,0.4,Serbia,A Dizija,S Tosic,A Turkmen,0,1,1,,,,,"",""
ball,1,0.5,Serbia,A Dizija,S Tosic,A Turkmen,4,0,,,,,,"",""
ball,1,0.6,Serbia,A Dizija,S Tosic,A Turkmen,0,1,1,,,,,"",""
ball,1,0.7,Serbia,A Dizija,S Tosic,A Turkmen,1,0,,,,,,"",""
ball,1,0.8,Serbia,S Tosic,A Dizija,A Turkmen,0,0,,,,,,"",""
ball,1,0.9,Serbia,S Tosic,A Dizija,A Turkmen,0,0,,,,,,"",""
ball,1,1.1,Serbia,A Dizija,S Tosic,M Ozturk,1,0,,,,,,"",""
ball,1,1.2,Serbia,S Tosic,A Dizija,M Ozturk,0,0,,,,,,"",""
ball,1,1.3,Serbia,S Tosic,A Dizija,M Ozturk,0,1,1,,,,,"",""
ball,1,1.4,Serbia,S Tosic,A Dizija,M Ozturk,1,0,,,,,,"",""
ball,1,1.5,Serbia,A Dizija,S Tosic,M Ozturk,1,0,,,,,,"",""
ball,1,1.6,Serbia,S Tosic,A Dizija,M Ozturk,1,0,,,,,,"",""
ball,1,1.7,Serbia,A Dizija,S Tosic,M Ozturk,4,0,,,,,,"",""
ball,1,2.1,Serbia,S Tosic,A Dizija,A Turkmen,1,0,,,,,,"",""
ball,1,2.2,Serbia,A Dizija,S Tosic,A Turkmen,2,0,,,,,,"",""
ball,1,2.3,Serbia,A Dizija,S Tosic,A Turkmen,0,1,1,,,,,"",""
ball,1,2.4,Serbia,A Dizija,S Tosic,A Turkmen,0,0,,,,,,"",""
ball,1,2.5,Serbia,A Dizija,S Tosic,A Turkmen,1,0,,,,,,"",""
ball,1,2.6,Serbia,S Tosic,A Dizija,A Turkmen,1,0,,,,,,"",""
