version,1.7.0
info,balls_per_over,6
info,team,Portugal
info,team,Austria
info,gender,male
info,season,2024
info,date,2024/06/12
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier
info,match_number,10
info,venue,"Simar Cricket Ground, Rome"
info,city,Rome
info,toss_winner,Portugal
info,toss_decision,bat
info,player_of_match,Karanbir Singh
info,umpire,I McDonald
info,umpire,MJ Saggers
info,reserve_umpire,J Jensen
info,match_referee,G McCrea
info,winner,Austria
info,winner_wickets,7
info,player,Portugal,J Vijay
info,player,Portugal,Azhar Andani
info,player,Portugal,Suman Ghimire
info,player,Portugal,ARA Chambers
info,player,Portugal,Najjam Shahzad
info,player,Portugal,Amandeep Singh
info,player,Portugal,Amir Zaib
info,player,Portugal,F Stoman
info,player,Portugal,JAM Henri
info,player,Portugal,Sirajullah Khadim
info,player,Portugal,Syed Maisam Ali
info,player,Austria,I Asif
info,player,Austria,Karanbir Singh
info,player,Austria,Bilal Zalmai
info,player,Austria,Aqib Iqbal
info,player,Austria,Abrar Bilal
info,player,Austria,A Randhawa
info,player,Austria,Amar Naeem
info,player,Austria,Abdullah Akbarjan
info,player,Austria,Baseer Khan
info,player,Austria,Waqar Zalmai
info,player,Austria,Zeshan Arif
info,registry,people,A Randhawa,1798078c
info,registry,people,ARA Chambers,8db27a28
info,registry,people,Abdullah Akbarjan,5de198db
info,registry,people,Abrar Bilal,6ddaee2d
info,registry,people,Amandeep Singh,d0d32c30
info,registry,people,Amar Naeem,f9dc404a
info,registry,people,Amir Zaib,973006cc
info,registry,people,Aqib Iqbal,14157abf
info,registry,people,Azhar Andani,b5bd99da
info,registry,people,Baseer Khan,75ebfe19
info,registry,people,Bilal Zalmai,33b67317
info,registry,people,F Stoman,69e53eb3
info,registry,people,G McCrea,46f4a901
info,registry,people,I Asif,663ad386
info,registry,people,I McDonald,37b55799
info,registry,people,J Jensen,fc80e7a2
info,registry,people,J Vijay,709525fc
info,registry,people,JAM Henri,04df9697
info,registry,people,Karanbir Singh,6a97c7a4
info,registry,people,MJ Saggers,402d5937
info,registry,people,Najjam Shahzad,58aa33cd
info,registry,people,Sirajullah Khadim,ff36e706
info,registry,people,Suman Ghimire,7d990412
info,registry,people,Syed Maisam Ali,e204b898
info,registry,people,Waqar Zalmai,74571ec4
info,registry,people,Zeshan Arif,6829b373
ball,1,0.1,Portugal,J Vijay,Azhar Andani,Aqib Iqbal,0,0,,,,,,"",""
ball,1,0.2,Portugal,J Vijay,Azhar Andani,Aqib Iqbal,0,0,,,,,,"",""
ball,1,0.3,Portugal,J Vijay,Azhar Andani,Aqib Iqbal,0,0,,,,,,"",""
ball,1,0.4,Portugal,J Vijay,Azhar Andani,Aqib Iqbal,0,0,,,,,,"",""
ball,1,0.5,Portugal,J Vijay,Azhar Andani,Aqib Iqbal,1,0,,,,,,"",""
ball,1,0.6,Portugal,Azhar Andani,J Vijay,Aqib Iqbal,0,0,,,,,,"",""
ball,1,1.1,Portugal,J Vijay,Azhar Andani,Waqar Zalmai,2,0,,,,,,"",""
ball,1,1.2,Portugal,J Vijay,Azhar Andani,Waqar Zalmai,1,0,,,,,,"",""
ball,1,1.3,Portugal,Azhar Andani,J Vijay,Waqar Zalmai,0,0,,,,,,"",""
ball,1,1.4,Portugal,Azhar Andani,J Vijay,Waqar Zalmai,1,0,,,,,,"",""
ball,1,1.5,Portugal,J Vijay,Azhar Andani,Waqar Zalmai,0,0,,,,,,"",""
ball,1,1.6,Portugal,J Vijay,Azhar Andani,Waqar Zalmai,4,0,,,,,,"",""
ball,1,2.1,Portugal,Azhar Andani,J Vijay,Aqib Iqbal,0,0,,,,,,lbw,Azhar Andani
ball,1,2.2,Portugal,Suman Ghimire,J Vijay,Aqib Iqbal,2,0,,,,,,"",""
ball,1,2.3,Portugal,Suman Ghimire,J Vijay,Aqib Iqbal,0,0,,,,,,"",""
ball,1,2.4,Portugal,Suman Ghimire,J Vijay,Aqib Iqbal,0,0,,,,,,"",""
ball,1,2.5,Portugal,Suman Ghimire,J Vijay,Aqib Iqbal,4,0,,,,,,"",""
ball,1,2.6,Portugal,Suman Ghimire,J Vijay,Aqib Iqbal,4,0,,,,,,"",""
ball,1,3.1,Portugal,J Vijay,Suman Ghimire,Waqar Zalmai,4,0,,,,,,"",""
ball,1,3.2,Portugal,J Vijay,Suman Ghimire,Waqar Zalmai,0,0,,,,,,"",""
ball,1,3.3,Portugal,J Vijay,Suman Ghimire,Waqar Zalmai,0,0,,,,,,"",""
ball,1,3.4,Portugal,J Vijay,Suman Ghimire,Waqar Zalmai,0,0,,,,,,"",""
ball,1,3.5,Portugal,J Vijay,Suman Ghimire,Waqar Zalmai,0,0,,,,,,"",""
ball,1,3.6,Portugal,J Vijay,Suman Ghimire,Waqar Zalmai,0,0,,,,,,"",""
ball,1,4.1,Portugal,Suman Ghimire,J Vijay,Aqib Iqbal,1,0,,,,,,"",""
ball,1,4.2,Portugal,J Vijay,Suman Ghimire,Aqib Iqbal,0,0,,,,,,"",""
ball,1,4.3,Portugal,J Vijay,Suman Ghimire,Aqib Iqbal,1,0,,,,,,"",""
ball,1,4.4,Portugal,Suman Ghimire,J Vijay,Aqib Iqbal,0,0,,,,,,"",""
ball,1,4.5,Portugal,Suman Ghimire,J Vijay,Aqib Iqbal,1,0,,,,,,"",""
ball,1,4.6,Portugal,J Vijay,Suman Ghimire,Aqib Iqbal,0,0,,,,,,"",""
ball,1,5.1,Portugal,Suman Ghimire,J Vijay,Waqar Zalmai,1,0,,,,,,"",""
ball,1,5.2,Portugal,J Vijay,Suman Ghimire,Waqar Zalmai,1,0,,,,,,"",""
ball,1,5.3,Portugal,Suman Ghimire,J Vijay,Waqar Zalmai,1,0,,,,,,"",""
ball,1,5.4,Portugal,J Vijay,Suman Ghimire,Waqar Zalmai,6,0,,,,,,"",""
ball,1,5.5,Portugal,J Vijay,Suman Ghimire,Waqar Zalmai,4,0,,,,,,"",""
