version,1.7.0
info,balls_per_over,6
info,team,Qatar
info,team,Kenya
info,gender,female
info,season,2022/23
info,date,2022/12/15
info,event,Kenya Quadrangular Women's T20 Series
info,match_number,6
info,venue,"Gymkhana Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Qatar
info,toss_decision,bat
info,player_of_match,Q Abel
info,umpire,D Odhiambo
info,umpire,Y Kaparo
info,reserve_umpire,J Karuri
info,winner,Kenya
info,winner_wickets,9
info,player,Qatar,S Dhadwal
info,player,Qatar,Aleena Khan
info,player,Qatar,Aysha
info,player,Qatar,SK Rana
info,player,Qatar,H Agarwal
info,player,Qatar,Shahreeennawab
info,player,Qatar,A Mare
info,player,Qatar,Khadija Imtiaz
info,player,Qatar,SA Panayan
info,player,Qatar,RS Quyn
info,player,Qatar,Lavanya Pillai
info,player,Kenya,Q Abel
info,player,Kenya,M Mwangi
info,player,Kenya,V Ooko
info,player,Kenya,E Wachira
info,player,Kenya,L Idambo
info,player,Kenya,D Njoroge
info,player,Kenya,M Ndhambi
info,player,Kenya,F Odhiambo
info,player,Kenya,MI Khagoitsa
info,player,Kenya,K Ogola
info,player,Kenya,V Abuga
info,registry,people,A Mare,57a25400
info,registry,people,Aleena Khan,97f2faf0
info,registry,people,Aysha,37ceee4e
info,registry,people,D Njoroge,626fbc80
info,registry,people,D Odhiambo,45994517
info,registry,people,E Wachira,f5e70dd4
info,registry,people,F Odhiambo,97eb9a07
info,registry,people,H Agarwal,3f886270
info,registry,people,J Karuri,5a9b694c
info,registry,people,K Ogola,7f7dc2ee
info,registry,people,Khadija Imtiaz,1438d928
info,registry,people,L Idambo,27339093
info,registry,people,Lavanya Pillai,d3cb9663
info,registry,people,M Mwangi,72de0105
info,registry,people,M Ndhambi,76e56ac6
info,registry,people,MI Khagoitsa,2d772f77
info,registry,people,Q Abel,2e988457
info,registry,people,RS Quyn,41721f6b
info,registry,people,S Dhadwal,7e2c16a3
info,registry,people,SA Panayan,cad60789
info,registry,people,SK Rana,47884f8e
info,registry,people,Shahreeennawab,faa8843f
info,registry,people,V Abuga,1ce58052
info,registry,people,V Ooko,2ae76bf6
info,registry,people,Y Kaparo,d993628f
ball,1,0.1,Qatar,S Dhadwal,Aleena Khan,L Idambo,1,0,,,,,,"",""
ball,1,0.2,Qatar,Aleena Khan,S Dhadwal,L Idambo,0,0,,,,,,"",""
ball,1,0.3,Qatar,Aleena Khan,S Dhadwal,L Idambo,0,0,,,,,,"",""
ball,1,0.4,Qatar,Aleena Khan,S Dhadwal,L Idambo,0,0,,,,,,"",""
ball,1,0.5,Qatar,Aleena Khan,S Dhadwal,L Idambo,0,0,,,,,,"",""
ball,1,0.6,Qatar,Aleena Khan,S Dhadwal,L Idambo,0,0,,,,,,bowled,Aleena Khan
ball,1,1.1,Qatar,S Dhadwal,Aysha,MI Khagoitsa,0,0,,,,,,"",""
ball,1,1.2,Qatar,S Dhadwal,Aysha,MI Khagoitsa,1,0,,,,,,"",""
ball,1,1.3,Qatar,Aysha,S Dhadwal,MI Khagoitsa,0,0,,,,,,"",""
ball,1,1.4,Qatar,Aysha,S Dhadwal,MI Khagoitsa,0,0,,,,,,"",""
ball,1,1.5,Qatar,Aysha,S Dhadwal,MI Khagoitsa,1,0,,,,,,"",""
ball,1,1.6,Qatar,S Dhadwal,Aysha,MI Khagoitsa,0,0,,,,,,"",""
ball,1,2.1,Qatar,Aysha,S Dhadwal,L Idambo,0,0,,,,,,"",""
ball,1,2.2,Qatar,Aysha,S Dhadwal,L Idambo,0,0,,,,,,"",""
ball,1,2.3,Qatar,Aysha,S Dhadwal,L Idambo,0,0,,,,,,"",""
ball,1,2.4,Qatar,Aysha,S Dhadwal,L Idambo,0,0,,,,,,"",""
ball,1,2.5,Qatar,Aysha,S Dhadwal,L Idambo,4,0,,,,,,"",""
ball,1,2.6,Qatar,Aysha,S Dhadwal,L Idambo,0,0,,,,,,"",""
ball,1,3.1,Qatar,S Dhadwal,Aysha,MI Khagoitsa,0,0,,,,,,"",""
ball,1,3.2,Qatar,S Dhadwal,Aysha,MI Khagoitsa,0,0,,,,,,caught,S Dhadwal
ball,1,3.3,Qatar,SK Rana,Aysha,MI Khagoitsa,0,0,,,,,,"",""
ball,1,3.4,Qatar,SK Rana,Aysha,MI Khagoitsa,4,0,,,,,,"",""
ball,1,3.5,Qatar,SK Rana,Aysha,MI Khagoitsa,0,0,,,,,,"",""
ball,1,3.6,Qatar,SK Rana,Aysha,MI Khagoitsa,1,0,,,,,,"",""
ball,1,4.1,Qatar,SK Rana,Aysha,L Idambo,1,0,,,,,,"",""
ball,1,4.2,Qatar,Aysha,SK Rana,L Idambo,0,0,,,,,,"",""
ball,1,4.3,Qatar,Aysha,SK Rana,L Idambo,2,0,,,,,,"",""
ball,1,4.4,Qatar,Aysha,SK Rana,L Idambo,0,0,,,,,,"",""
ball,1,4.5,Qatar,Aysha,SK Rana,L Idambo,0,0,,,,,,"",""
ball,1,4.6,Qatar,Aysha,SK Rana,L Idambo,1,0,,,,,,"",""
ball,1,5.1,Qatar,Aysha,SK Rana,MI Khagoitsa,0,1,1,,,,,"",""
ball,1,5.2,Qatar,Aysha,SK Rana,MI Khagoitsa,4,0,,,,,,"",""
